loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
94;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:145-308;Innermost;9.68;4.36;4.36;4.36;4.36;0;1;
99;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:144-307;Innermost;9.16;4.12;4.12;4.12;4.12;0;1;
115;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:145-308;Innermost;8.97;4.04;4.04;4.04;4.04;0;1;
116;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:54-136;Innermost;4.29;1.93;1.93;1.93;1.93;0;1;
101;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:54-136;Innermost;3.43;1.55;1.55;1.55;1.55;0;1;
96;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:56-138;Innermost;2.79;1.26;1.26;1.26;1.26;0;1;
58;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:185-229;Innermost;1.97;0.88;0.88;0.88;0.88;0;1;
69;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:80-129;Innermost;1.95;0.88;0.88;0.88;0.88;0;1;
50;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:295-340;Innermost;1.9;0.85;0.85;0.85;0.85;0;1;
73;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:37-47;Innermost;1.51;0.68;0.68;0.68;0.68;0;1;
98;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:393-397;Innermost;1.46;0.66;0.66;0.66;0.66;0;1;
112;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:414-420;Innermost;1.14;0.51;0.51;0.51;0.51;0;1;
93;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:394-398;Innermost;1.12;0.5;0.5;0.5;0.5;0;1;
111;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:51-420;Outermost;1.04;0.47;0.47;0.47;0.47;0;1;
72;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:64-64;Innermost;0.9;0.41;0.41;0.41;0.41;0;1;
68;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:149-154;Innermost;0.81;0.37;0.37;0.37;0.37;0;1;
