block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
1566;bt-mz.A.x;solve_subs.f90:206-481;23.04;5.12;4.97;5.12;5.27;0.95792031288147;2;
1564;bt-mz.A.x;solve_subs.f90:56-199;13.45;2.99;2.93;2.99;3.04;0.3489738702774;2;
1302;bt-mz.A.x;y_solve.f90:144-307;8.1;1.8;1.64;1.8;1.96;1.0047144889832;2;
1244;bt-mz.A.x;x_solve.f90:145-308;7.97;1.77;1.63;1.77;1.91;0.87543082237244;2;
1586;bt-mz.A.x;z_solve.f90:145-308;6.36;1.41;1.36;1.41;1.47;0.3515003323555;2;
1581;bt-mz.A.x;z_solve.f90:54-136;3.98;0.88;0.84;0.88;0.93;0.25915151834488;2;
1562;bt-mz.A.x;solve_subs.f90:27-51;3.68;0.82;0.81;0.82;0.83;0.064250342547894;2;
1296;bt-mz.A.x;y_solve.f90:54-136;3.63;0.81;0.77;0.81;0.84;0.2425721436739;2;
1240;bt-mz.A.x;x_solve.f90:56-138;3.04;0.68;0.63;0.68;0.73;0.32126671075821;2;
717;bt-mz.A.x;rhs.f90:80-129;2.08;0.46;0.43;0.46;0.49;0.16979524493217;2;
737;bt-mz.A.x;rhs.f90:185-229;2.02;0.45;0.45;0.45;0.45;0.0085264761000872;2;
768;bt-mz.A.x;rhs.f90:295-340;1.99;0.44;0.42;0.44;0.46;0.10525045543909;2;
1326;bt-mz.A.x;y_solve.f90:393-397;1.53;0.34;0.33;0.34;0.35;0.074722066521645;2;
1304;bt-mz.A.x;y_solve.f90:247-247;1.47;0.33;0.3;0.33;0.35;0.13606570661068;2;
1246;bt-mz.A.x;x_solve.f90:248-248;1.37;0.3;0.26;0.3;0.35;0.2817274928093;2;
458;bt-mz.A.x;initialize.f90:214-248;1.16;0.26;0.24;0.26;0.28;0.1412046700716;2;
677;bt-mz.A.x;rhs.f90:37-47;1.16;0.26;0.23;0.26;0.29;0.20613703131676;2;
1588;bt-mz.A.x;z_solve.f90:248-248;1.15;0.25;0.25;0.25;0.26;0.0048446115106344;2;
1267;bt-mz.A.x;x_solve.f90:394-398;1.1;0.24;0.24;0.24;0.25;0.037116959691048;2;
749;bt-mz.A.x;rhs.f90:272-277;0.94;0.21;0.15;0.21;0.27;0.36110037565231;2;
1567;bt-mz.A.x;solve_subs.f90:508-639;0.85;0.19;0.15;0.19;0.22;0.22367817163467;2;
848;bt-mz.A.x;rhs.f90:64-64;0.81;0.18;0.17;0.18;0.19;0.052138898521662;2;
780;bt-mz.A.x;rhs.f90:383-388;0.71;0.16;0.16;0.16;0.16;0.0030036373063922;2;
1636;bt-mz.A.x;z_solve.f90:418-420;0.7;0.16;0.13;0.16;0.18;0.14905296266079;2;
720;bt-mz.A.x;rhs.f90:149-154;0.59;0.13;0.11;0.13;0.15;0.11116083711386;2;
1585;bt-mz.A.x;z_solve.f90:147-248;0.51;0.11;0.11;0.11;0.12;0.030334562063217;2;
1243;bt-mz.A.x;x_solve.f90:147-248;0.36;0.08;0.07;0.08;0.09;0.047197431325912;2;
796;bt-mz.A.x;rhs.f90:402-404;0.33;0.07;0.06;0.07;0.09;0.079760484397411;2;
1301;bt-mz.A.x;y_solve.f90:146-247;0.29;0.06;0.05;0.06;0.08;0.082376562058926;2;
1637;bt-mz.A.x;z_solve.f90:414-420;0.24;0.05;0.04;0.05;0.07;0.0821827724576;2;
1593;bt-mz.A.x;z_solve.f90:313-313;0.24;0.05;0.05;0.05;0.06;0.047681890428066;2;
1681;bt-mz.A.x;add.f90:29-29;0.21;0.05;0.04;0.05;0.05;0.033338189125061;2;
460;bt-mz.A.x;exact_solution.f90:24-28;0.16;0.04;0.03;0.04;0.05;0.064254090189934;2;
849;bt-mz.A.x;rhs.f90:64-64;0.16;0.04;0.02;0.04;0.05;0.09672024846077;2;
1633;bt-mz.A.x;z_solve.f90:420-420;0.11;0.03;0.02;0.03;0.03;0.031981706619263;2;
836;bt-mz.A.x;rhs.f90:356-360;0.11;0.03;0.03;0.03;0.03;0.00048446221626364;2;
1613;bt-mz.A.x;z_solve.f90:386-386;0.08;0.02;0.01;0.02;0.03;0.080826297402382;2;
1255;bt-mz.A.x;x_solve.f90:347-347;0.08;0.02;0.02;0.02;0.02;0.016572203487158;2;
1239;bt-mz.A.x;x_solve.f90:58-138;0.08;0.02;0.02;0.02;0.02;0.016572203487158;2;
1312;bt-mz.A.x;y_solve.f90:368-368;0.07;0.02;0.01;0.02;0.03;0.065223008394241;2;
767;bt-mz.A.x;rhs.f90:296-340;0.07;0.02;0.02;0.02;0.02;0.00029067101422697;2;
1316;bt-mz.A.x;y_solve.f90:344-359;0.07;0.02;0.01;0.02;0.02;0.032175492495298;2;
1589;bt-mz.A.x;z_solve.f90:313-313;0.06;0.01;0.01;0.01;0.02;0.048457022756338;2;
1599;bt-mz.A.x;z_solve.f90:343-343;0.06;0.01;0.01;0.01;0.02;0.048457022756338;2;
1632;bt-mz.A.x;z_solve.f90:414-420;0.06;0.01;0.01;0.01;0.02;0.016475308686495;2;
1619;bt-mz.A.x;z_solve.f90:374-374;0.06;0.01;0.01;0.01;0.02;0.015990853309631;2;
1580;bt-mz.A.x;z_solve.f90:56-130;0.06;0.01;0.01;0.01;0.02;0.048457022756338;2;
1295;bt-mz.A.x;y_solve.f90:56-130;0.06;0.01;0.01;0.01;0.02;0.048941478133202;2;
838;bt-mz.A.x;rhs.f90:245-249;0.06;0.01;0.01;0.01;0.02;0.016475308686495;2;
736;bt-mz.A.x;rhs.f90:186-229;0.05;0.01;0.01;0.01;0.02;0.032659944146872;2;
1254;bt-mz.A.x;x_solve.f90:371-378;0.05;0.01;0.01;0.01;0.02;0.032659944146872;2;
1305;bt-mz.A.x;y_solve.f90:330-330;0.05;0.01;0.02;0.02;0.02;0;1;
715;bt-mz.A.x;rhs.f90:80-149;0.05;0.01;0.01;0.01;0.02;0.032659944146872;2;
1420;bt-mz.A.x;exch_qbc.f90:261-261;0.05;0.01;0.01;0.01;0.02;0.032659944146872;2;
841;bt-mz.A.x;rhs.f90:254-258;0.05;0.01;0.02;0.02;0.02;0;1;
1627;bt-mz.A.x;z_solve.f90:350-350;0.03;0.01;0.02;0.02;0.02;0;1;
1604;bt-mz.A.x;z_solve.f90:358-374;0.03;0.01;0.02;0.02;0.02;0;1;
1299;bt-mz.A.x;y_solve.f90:143-144;0.03;0.01;0.01;0.01;0.01;0.016087746247649;2;
718;bt-mz.A.x;rhs.f90:162-169;0.03;0.01;0.01;0.01;0.01;0.016087746247649;2;
1415;bt-mz.A.x;exch_qbc.f90:261-261;0.03;0.01;0.01;0.01;0.01;0.016087746247649;2;
1394;bt-mz.A.x;exch_qbc.f90:250-250;0.03;0.01;0.01;0.01;0.01;0.016087746247649;2;
853;bt-mz.A.x;rhs.f90:62-64;0.03;0.01;0.02;0.02;0.02;0;1;
1399;bt-mz.A.x;exch_qbc.f90:250-250;0.03;0.01;0.01;0.01;0.01;0.016087746247649;2;
1258;bt-mz.A.x;x_solve.f90:347-347;0.03;0.01;0.01;0.01;0.01;0.016378421336412;2;
1635;bt-mz.A.x;z_solve.f90:420-420;0.03;0.01;0.01;0.01;0.01;0.016087746247649;2;
807;bt-mz.A.x;rhs.f90:374-378;0.03;0.01;0.01;0.01;0.01;0.016378421336412;2;
810;bt-mz.A.x;rhs.f90:263-267;0.03;0.01;0.02;0.02;0.02;0;1;
866;bt-mz.A.x;rhs.f90:365-369;0.03;0.01;0.02;0.02;0.02;0;1;
812;bt-mz.A.x;rhs.f90:236-240;0.03;0.01;0.02;0.02;0.02;0;1;
1639;bt-mz.A.x;z_solve.f90:414-414;0.02;0.01;0.01;0.01;0.01;0;1;
1611;bt-mz.A.x;z_solve.f90:374-374;0.02;0.01;0.01;0.01;0.01;0;1;
748;bt-mz.A.x;rhs.f90:277-277;0.02;0.01;0.01;0.01;0.01;0;1;
1677;bt-mz.A.x;add.f90:29-29;0.02;0.01;0.01;0.01;0.01;0;1;
1264;bt-mz.A.x;x_solve.f90:394-394;0.02;0.01;0.01;0.01;0.01;9.6891650173347e-05;2;
1614;bt-mz.A.x;z_solve.f90:350-358;0.02;0.01;0.01;0.01;0.01;9.6891650173347e-05;2;
1325;bt-mz.A.x;y_solve.f90:393-397;0.02;0.01;0.01;0.01;0.01;0;1;
1617;bt-mz.A.x;z_solve.f90:358-374;0.02;0.01;0.01;0.01;0.01;0;1;
1592;bt-mz.A.x;z_solve.f90:313-313;0.02;0.01;0.01;0.01;0.01;0;1;
1373;bt-mz.A.x;exch_qbc.f90:222-222;0.02;0.01;0.01;0.01;0.01;9.6891650173347e-05;2;
1352;bt-mz.A.x;exch_qbc.f90:211-211;0.02;0.01;0.01;0.01;0.01;9.6891650173347e-05;2;
1315;bt-mz.A.x;y_solve.f90:359-359;0.02;0.01;0.01;0.01;0.01;0;1;
1688;bt-mz.A.x;add.f90:29-29;0.02;0.01;0.01;0.01;0.01;0;1;
678;bt-mz.A.x;rhs.f90:37-47;0.02;0.01;0.01;0.01;0.01;0;1;
545;bt-mz.A.x;exact_rhs.f90:170-201;0.02;0.01;0.01;0.01;0.01;9.6891650173347e-05;2;
1319;bt-mz.A.x;y_solve.f90:336-359;0.02;0.01;0.01;0.01;0.01;0;1;
