block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
1566;bt-mz.A.x;solve_subs.f90:206-481;23.56;2.84;;;;;;
1564;bt-mz.A.x;solve_subs.f90:56-199;12.37;1.49;;;;;;
1302;bt-mz.A.x;y_solve.f90:144-307;8.45;1.02;;;;;;
1244;bt-mz.A.x;x_solve.f90:145-308;7.31;0.88;;;;;;
1586;bt-mz.A.x;z_solve.f90:145-308;6.46;0.78;;;;;;
1296;bt-mz.A.x;y_solve.f90:54-136;3.25;0.39;;;;;;
1581;bt-mz.A.x;z_solve.f90:54-136;3.21;0.39;;;;;;
1562;bt-mz.A.x;solve_subs.f90:27-51;3.04;0.37;;;;;;
1240;bt-mz.A.x;x_solve.f90:56-138;2.91;0.35;;;;;;
717;bt-mz.A.x;rhs.f90:80-129;2.28;0.28;;;;;;
737;bt-mz.A.x;rhs.f90:185-229;1.69;0.2;;;;;;
768;bt-mz.A.x;rhs.f90:295-340;1.65;0.2;;;;;;
1326;bt-mz.A.x;y_solve.f90:393-397;1.56;0.19;;;;;;
1588;bt-mz.A.x;z_solve.f90:248-248;1.52;0.18;;;;;;
1246;bt-mz.A.x;x_solve.f90:248-248;1.35;0.16;;;;;;
1267;bt-mz.A.x;x_solve.f90:394-398;1.31;0.16;;;;;;
458;bt-mz.A.x;initialize.f90:214-248;1.1;0.13;;;;;;
1304;bt-mz.A.x;y_solve.f90:247-247;1.1;0.13;;;;;;
677;bt-mz.A.x;rhs.f90:37-47;1.06;0.13;;;;;;
848;bt-mz.A.x;rhs.f90:64-64;0.89;0.11;;;;;;
720;bt-mz.A.x;rhs.f90:149-154;0.8;0.1;;;;;;
1567;bt-mz.A.x;solve_subs.f90:508-639;0.72;0.09;;;;;;
749;bt-mz.A.x;rhs.f90:272-277;0.63;0.08;;;;;;
780;bt-mz.A.x;rhs.f90:383-388;0.55;0.07;;;;;;
1585;bt-mz.A.x;z_solve.f90:147-248;0.46;0.06;;;;;;
1636;bt-mz.A.x;z_solve.f90:418-420;0.46;0.06;;;;;;
1633;bt-mz.A.x;z_solve.f90:420-420;0.38;0.05;;;;;;
1637;bt-mz.A.x;z_solve.f90:414-420;0.34;0.04;;;;;;
1243;bt-mz.A.x;x_solve.f90:147-248;0.25;0.03;;;;;;
1681;bt-mz.A.x;add.f90:29-29;0.25;0.03;;;;;;
1593;bt-mz.A.x;z_solve.f90:313-313;0.25;0.03;;;;;;
796;bt-mz.A.x;rhs.f90:402-404;0.25;0.03;;;;;;
1301;bt-mz.A.x;y_solve.f90:146-247;0.17;0.02;;;;;;
849;bt-mz.A.x;rhs.f90:64-64;0.17;0.02;;;;;;
810;bt-mz.A.x;rhs.f90:263-267;0.17;0.02;;;;;;
460;bt-mz.A.x;exact_solution.f90:24-28;0.13;0.02;;;;;;
1254;bt-mz.A.x;x_solve.f90:371-378;0.13;0.02;;;;;;
1239;bt-mz.A.x;x_solve.f90:58-138;0.13;0.02;;;;;;
814;bt-mz.A.x;rhs.f90:347-351;0.13;0.02;;;;;;
1632;bt-mz.A.x;z_solve.f90:414-420;0.08;0.01;;;;;;
767;bt-mz.A.x;rhs.f90:296-340;0.08;0.01;;;;;;
1617;bt-mz.A.x;z_solve.f90:358-374;0.08;0.01;;;;;;
715;bt-mz.A.x;rhs.f90:80-149;0.08;0.01;;;;;;
1420;bt-mz.A.x;exch_qbc.f90:261-261;0.08;0.01;;;;;;
1635;bt-mz.A.x;z_solve.f90:420-420;0.08;0.01;;;;;;
1580;bt-mz.A.x;z_solve.f90:56-130;0.08;0.01;;;;;;
