block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
1241;bt-mz.A.x;solve_subs.f90:206-481;25.16;6.34;;;;;;
1239;bt-mz.A.x;solve_subs.f90:56-199;14.38;3.62;;;;;;
954;bt-mz.A.x;x_solve.f90:145-308;7.81;1.97;;;;;;
1263;bt-mz.A.x;z_solve.f90:145-308;7.81;1.97;;;;;;
1003;bt-mz.A.x;y_solve.f90:144-307;7.67;1.93;;;;;;
1237;bt-mz.A.x;solve_subs.f90:27-51;3.34;0.84;;;;;;
1257;bt-mz.A.x;z_solve.f90:54-136;3.22;0.81;;;;;;
998;bt-mz.A.x;y_solve.f90:54-136;2.94;0.74;;;;;;
950;bt-mz.A.x;x_solve.f90:56-138;2.58;0.65;;;;;;
615;bt-mz.A.x;rhs.f90:185-229;1.83;0.46;;;;;;
646;bt-mz.A.x;rhs.f90:295-340;1.83;0.46;;;;;;
595;bt-mz.A.x;rhs.f90:80-129;1.67;0.42;;;;;;
1019;bt-mz.A.x;y_solve.f90:393-397;1.29;0.32;;;;;;
956;bt-mz.A.x;x_solve.f90:248-248;1.25;0.31;;;;;;
1265;bt-mz.A.x;z_solve.f90:248-248;1.15;0.29;;;;;;
374;bt-mz.A.x;initialize.f90:214-248;1.11;0.28;;;;;;
1005;bt-mz.A.x;y_solve.f90:247-247;1.09;0.27;;;;;;
969;bt-mz.A.x;x_solve.f90:394-398;0.97;0.24;;;;;;
558;bt-mz.A.x;rhs.f90:37-47;0.81;0.2;;;;;;
1290;bt-mz.A.x;z_solve.f90:418-420;0.7;0.17;;;;;;
702;bt-mz.A.x;rhs.f90:64-64;0.7;0.17;;;;;;
627;bt-mz.A.x;rhs.f90:272-277;0.66;0.16;;;;;;
598;bt-mz.A.x;rhs.f90:149-154;0.64;0.16;;;;;;
1243;bt-mz.A.x;solve_subs.f90:508-639;0.58;0.14;;;;;;
658;bt-mz.A.x;rhs.f90:383-388;0.56;0.14;;;;;;
1325;bt-mz.A.x;add.f90:29-29;0.46;0.12;;;;;;
1270;bt-mz.A.x;z_solve.f90:313-313;0.42;0.11;;;;;;
1262;bt-mz.A.x;z_solve.f90:147-248;0.38;0.1;;;;;;
1291;bt-mz.A.x;z_solve.f90:414-420;0.32;0.08;;;;;;
1002;bt-mz.A.x;y_solve.f90:146-247;0.3;0.08;;;;;;
953;bt-mz.A.x;x_solve.f90:147-248;0.2;0.05;;;;;;
674;bt-mz.A.x;rhs.f90:402-404;0.14;0.04;;;;;;
376;bt-mz.A.x;exact_solution.f90:24-28;0.14;0.03;;;;;;
1079;bt-mz.A.x;exch_qbc.f90:250-250;0.14;0.03;;;;;;
1287;bt-mz.A.x;z_solve.f90:420-420;0.12;0.03;;;;;;
1277;bt-mz.A.x;z_solve.f90:358-358;0.08;0.02;;;;;;
1046;bt-mz.A.x;exch_qbc.f90:211-211;0.08;0.02;;;;;;
1289;bt-mz.A.x;z_solve.f90:420-420;0.08;0.02;;;;;;
711;bt-mz.A.x;rhs.f90:365-369;0.08;0.02;;;;;;
1008;bt-mz.A.x;y_solve.f90:344-344;0.06;0.01;;;;;;
1010;bt-mz.A.x;y_solve.f90:359-359;0.06;0.01;;;;;;
949;bt-mz.A.x;x_solve.f90:58-138;0.06;0.01;;;;;;
691;bt-mz.A.x;rhs.f90:245-249;0.06;0.01;;;;;;
687;bt-mz.A.x;rhs.f90:347-351;0.06;0.01;;;;;;
1266;bt-mz.A.x;z_solve.f90:313-313;0.04;0.01;;;;;;
645;bt-mz.A.x;rhs.f90:296-340;0.04;0.01;;;;;;
1286;bt-mz.A.x;z_solve.f90:414-420;0.04;0.01;;;;;;
593;bt-mz.A.x;rhs.f90:80-149;0.04;0.01;;;;;;
596;bt-mz.A.x;rhs.f90:162-169;0.04;0.01;;;;;;
1095;bt-mz.A.x;exch_qbc.f90:261-261;0.04;0.01;;;;;;
959;bt-mz.A.x;x_solve.f90:347-347;0.04;0.01;;;;;;
1256;bt-mz.A.x;z_solve.f90:56-130;0.04;0.01;;;;;;
1011;bt-mz.A.x;y_solve.f90:336-359;0.04;0.01;;;;;;
947;bt-mz.A.x;x_solve.f90:56-56;0.02;0;;;;;;
1201;bt-mz.A.x;exch_qbc.f90:135-145;0.02;0;;;;;;
1013;bt-mz.A.x;y_solve.f90:368-368;0.02;0;;;;;;
963;bt-mz.A.x;x_solve.f90:371-371;0.02;0;;;;;;
1015;bt-mz.A.x;y_solve.f90:383-383;0.02;0;;;;;;
614;bt-mz.A.x;rhs.f90:186-229;0.02;0;;;;;;
1276;bt-mz.A.x;z_solve.f90:350-350;0.02;0;;;;;;
1022;bt-mz.A.x;y_solve.f90:393-393;0.02;0;;;;;;
706;bt-mz.A.x;rhs.f90:64-64;0.02;0;;;;;;
600;bt-mz.A.x;rhs.f90:169-169;0.02;0;;;;;;
654;bt-mz.A.x;rhs.f90:374-374;0.02;0;;;;;;
1007;bt-mz.A.x;y_solve.f90:330-330;0.02;0;;;;;;
957;bt-mz.A.x;x_solve.f90:335-335;0.02;0;;;;;;
623;bt-mz.A.x;rhs.f90:263-263;0.02;0;;;;;;
961;bt-mz.A.x;x_solve.f90:363-363;0.02;0;;;;;;
