Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.22;94.86;4.56;9477;0.08;0.01;0;0.05;0.18;12.07;0;0.03;
fob1;_ALL;_ALL;0.22;94.86;4.56;9477;0.08;0.01;0;0.05;0.18;12.07;0;0.03;
fob1;526201;_ALL;0.17;93.2;6.42;2366;0.08;0;0;0.04;0.08;12.04;0;0;
fob1;526201;526201;0.17;93.2;6.42;2366;0.08;0;0;0.04;0.08;12.04;0;0;
fob1;526195;_ALL;0.25;93.17;5.9;2373;0.13;0;0;0.13;0.38;12.07;0;0.04;
fob1;526195;526195;0.25;93.45;5.92;2366;0.13;0;0;0.13;0.08;12.07;0;0.04;
fob1;526195;526197;0;0;0;7;0;0;0;0;100;0.17;0;0;
fob1;526193;_ALL;0.21;94.13;5.23;2369;0.13;0.04;0;0.04;0.13;12.07;0;0.08;
fob1;526193;526205;0;0;0;1;0;0;0;0;100;0.03;0;0;
fob1;526193;526193;0.21;94.17;5.24;2368;0.13;0.04;0;0.04;0.08;12.07;0;0.08;
fob1;526198;_ALL;0.25;98.94;0.68;2369;0;0;0;0;0.13;12.05;0;0;
fob1;526198;526206;0;0;0;1;0;0;0;0;100;0.03;0;0;
fob1;526198;526198;0.25;98.99;0.68;2368;0;0;0;0;0.08;12.05;0;0;
