function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
34;bt-mz.A.x;binvcrhs;solve_subs.f90:206-481;24.85;3;2.84;3;3.32;1.825280547142;4;"100,0,0,0,0,0,0,0,0,0";
23;bt-mz.A.x;y_solve_._omp_fn.0;y_solve.f90:44-397;14.13;1.71;1.62;1.71;1.77;0.52273905277252;4;"100,0,0,0,0,0,0,0,0,0";
21;bt-mz.A.x;x_solve_._omp_fn.0;x_solve.f90:47-398;13.74;1.66;1.53;1.66;1.84;1.064740896225;4;"100,0,0,0,0,0,0,0,0,0";
36;bt-mz.A.x;z_solve_._omp_fn.0;z_solve.f90:44-420;12.95;1.56;1.45;1.56;1.64;0.72388559579849;4;"100,0,0,0,0,0,0,0,0,0";
33;bt-mz.A.x;matmul_sub;solve_subs.f90:56-199;12.7;1.53;1.47;1.53;1.67;0.77487027645111;4;"100,0,0,0,0,0,0,0,0,0";
17;bt-mz.A.x;compute_rhs_._omp_fn.0;rhs.f90:30-404;10.4;1.26;1.14;1.26;1.3;0.66258281469345;4;"100,0,0,0,0,0,0,0,0,0";
32;bt-mz.A.x;matvec_sub;solve_subs.f90:27-51;3.72;0.45;0.37;0.45;0.53;0.55428731441498;4;"100,0,0,0,0,0,0,0,0,0";
65;mca_btl_vader.so;mca_btl_vader_component_progress;;2.99;0.36;0.04;0.36;0.52;1.8220700025558;4;"0,100,0,0,0,0,0,0,0,0";
11;bt-mz.A.x;lhsinit;initialize.f90:214-248;0.81;0.1;0.05;0.1;0.13;0.33512485027313;4;"100,0,0,0,0,0,0,0,0,0";
907;libopen-pal.so.40.10.1;opal_progress;;0.7;0.08;0.01;0.08;0.13;0.45580619573593;4;"0,100,0,0,0,0,0,0,0,0";
35;bt-mz.A.x;binvrhs;solve_subs.f90:508-639;0.66;0.08;0.06;0.08;0.1;0.15951731801033;4;"100,0,0,0,0,0,0,0,0,0";
70;mca_coll_libnbc.so;ompi_coll_libnbc_progress;;0.42;0.05;0.02;0.05;0.08;0.22634114325047;4;"0,100,0,0,0,0,0,0,0,0";
38;bt-mz.A.x;add_._omp_fn.0;add.f90:24-29;0.39;0.05;0.03;0.05;0.06;0.11633174866438;4;"100,0,0,0,0,0,0,0,0,0";
2535;libopen-pal.so.40.10.1;opal_timer_linux_get_cycles_sys_timer;;0.26;0.03;0.01;0.03;0.06;0.17385673522949;4;"0,100,0,0,0,0,0,0,0,0";
12;bt-mz.A.x;exact_solution;exact_solution.f90:24-28;0.16;0.02;0.02;0.02;0.03;0.040416415780783;4;"100,0,0,0,0,0,0,0,0,0";
28;bt-mz.A.x;copy_x_face_._omp_fn.1;exch_qbc.f90:257-261;0.11;0.01;0.01;0.01;0.02;0.05451837182045;4;"100,0,0,0,0,0,0,0,0,0";
1318;libc-2.31.so;process_vm_readv;;0.09;0.01;0.01;0.01;0.02;0.021156534552574;4;"0,0,0,0,100,0,0,0,0,0";
13;bt-mz.A.x;exact_rhs_._omp_fn.0;exact_rhs.f90:23-347;0.09;0.01;0.01;0.01;0.02;0.021156534552574;4;"100,0,0,0,0,0,0,0,0,0";
1063;libc-2.31.so;__poll;;0.08;0.01;0.03;0.1;0.17;0;2;"0,0,0,0,0,0,100,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.08;0.01;0.01;0.01;0.02;0.024371100589633;3;"0,0,100,0,0,0,0,0,0,0";
0;ld-2.31.so;Unknown function;;0.07;0.01;0.01;0.01;0.01;0.021108942106366;4;"0,0,0,0,100,0,0,0,0,0";
920;libmpi.so.40.10.1;ompi_request_default_wait_all;;0.06;0.01;0.01;0.01;0.02;0.042283274233341;3;"0,100,0,0,0,0,0,0,0,0";
27;bt-mz.A.x;copy_x_face_._omp_fn.0;exch_qbc.f90:246-250;0.05;0.01;0.01;0.01;0.01;0.021144619211555;4;"100,0,0,0,0,0,0,0,0,0";
493;libmpi.so.40.10.1;opal_progress@plt;;0.03;0;0.01;0.01;0.01;2.0608940758393e-05;3;"0,100,0,0,0,0,0,0,0,0";
