Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0025;1.0081;1.0518;1.0431;
2;1.0042;1.016;1.1061;1.0877;
3;1.0056;1.0239;1.1647;1.1349;
4;1.0068;1.0318;1.2053;1.147;
5;1.0075;1.0394;1.2396;1.1584;
6;1.008;1.0451;1.269;1.166;
7;1.0084;1.0498;1.2923;1.1734;
8;1.0086;1.0516;1.316;1.1805;
9;1.0088;1.0533;1.3397;1.1856;
10;1.009;1.0546;1.3571;1.1886;
11;1.009;1.0558;1.3711;1.1913;
12;1.0091;1.0571;1.3835;1.194;
13;1.0091;1.0581;1.3951;1.1963;
14;1.0092;1.0585;1.4054;1.198;
15;1.0092;1.0587;1.4154;1.1996;
16;1.0092;1.059;1.4231;1.2012;
17;1.0092;1.059;1.4308;1.2026;
18;1.0092;1.0591;1.4382;1.2038;
19;1.0092;1.0591;1.4454;1.2048;
20;1.0092;1.0592;1.449;1.2055;
21;1.0092;1.0592;1.4513;1.2062;
22;1.0092;1.0592;1.4536;1.2069;
23;1.0092;1.0593;1.4555;1.2071;
24;1.0092;1.0593;1.4572;1.2074;
25;1.0092;1.0593;1.4587;1.2076;
26;1.0092;1.0593;1.4602;1.2078;
27;1.0092;1.0593;1.4613;1.208;
28;1.0092;1.0593;1.4623;1.2081;
29;1.0092;1.0593;1.4632;1.2082;
30;1.0092;1.0593;1.464;1.2083;
31;1.0092;1.0593;1.4648;1.2083;
32;1.0092;1.0593;1.4656;1.2083;
33;1.0092;1.0593;1.4663;1.2083;
34;1.0092;1.0593;1.4667;1.2083;
35;1.0092;1.0593;1.4671;1.2083;
36;1.0092;1.0593;1.4675;1.2083;
37;1.0092;1.0593;1.4679;1.2083;
38;1.0092;1.0593;1.4682;1.2083;
39;1.0092;1.0593;1.4685;1.2083;
40;1.0092;1.0593;1.4688;1.2083;
