function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;nbody_mpi;move_particles;nbody_mpi.c:25-86;99.1;23.77;23.7;23.76;23.82;0.41234049201012;2;"100,0,0,0,0,0,0,0,0,0";
542;libmpich.so.12.1.8;mpirinitf_;;0.28;0.07;0.14;0.14;0.14;0;1;"0,100,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.11;0.03;0.02;0.03;0.03;0.014814274385571;2;"0,0,0,0,0,0,0,0,0,100";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;0.08;0.02;0.02;0.02;0.02;4.9116883019451e-05;2;"0,100,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.06;0.02;0;0.01;0.02;0.059023827314377;2;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;0.06;0.02;0.01;0.01;0.02;3.6831079341937e-05;2;"0,0,0,0,0,0,0,0,0,100";
351;libc-2.31.so;psiginfo;;0.05;0.01;0;0.01;0.02;0.04420954734087;2;"0,0,0,0,100,0,0,0,0,0";
1;nbody_mpi;main;stdlib.h:375-375,stdio2.h:107-107,nbody_mpi.c:90-230;0.04;0.01;0;0.01;0.02;0.029468938708305;2;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;0.03;0.01;0.02;0.02;0.02;0;1;"0,100,0,0,0,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.02;0.01;0;0;0;1.2279220754863e-05;2;"0,49.977002784226,0,0,0,0,0,0,50.022997215774,0";
266;libc-2.31.so;__strtol_l;;0.02;0.01;0;0;0;1.2279220754863e-05;2;"0,0,0,0,0,0,0,100,0,0";
237;libc-2.31.so;rand;;0.02;0.01;0;0;0;1.2279220754863e-05;2;"0,0,0,0,0,0,0,0,0,100";
1016;libc-2.31.so;openat;;0.02;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,100,0,0,0";
589;libc-2.31.so;__libc_free;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
588;libc-2.31.so;__libc_malloc;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
525;libc-2.31.so;_IO_sputbackc;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
267;libpthread-2.31.so;__pthread_cleanup_push_defer;;0.01;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.01;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.01;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.01;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
546;libc-2.31.so;_IO_str_pbackfail;;0.01;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
