block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
146;nbody_mpi;nbody_mpi.c:45-61;24.88;0.13;0.08;0.11;0.17;6.682502746582;32;
157;nbody_mpi;nbody_mpi.c:45-61;0.89;0;0;0.01;0.02;0.59978353977203;19;
22;nbody_mpi;nbody_mpi.c:130-131;0.65;0;0;0.01;0.01;0.78715801239014;12;
155;nbody_mpi;nbody_mpi.c:45-61;0.55;0;0;0.01;0.01;0.5352024435997;11;
24;nbody_mpi;nbody_mpi.c:132-135;0.51;0;0;0.01;0.01;0.57052135467529;11;
25;nbody_mpi;nbody_mpi.c:135-136;0.44;0;0;0.01;0.01;0.58712768554688;10;
26;nbody_mpi;nbody_mpi.c:136-137;0.38;0;0;0;0;0.064886085689068;11;
23;nbody_mpi;nbody_mpi.c:131-132;0.34;0;0;0.01;0.01;0.5670450925827;8;
19;nbody_mpi;nbody_mpi.c:126-127;0.27;0;0;0;0;0.075126126408577;8;
152;nbody_mpi;nbody_mpi.c:45-45;0.27;0;0;0;0;0.046940911561251;8;
148;nbody_mpi;nbody_mpi.c:45-61;0.24;0;0;0.01;0.01;0.48785847425461;6;
181;nbody_mpi;nbody_mpi.c:72-77;0.24;0;0;0;0.01;0.061886638402939;7;
27;nbody_mpi;nbody_mpi.c:122-137;0.24;0;0;0;0;0.066900059580803;7;
18;nbody_mpi;nbody_mpi.c:125-126;0.21;0;0;0.01;0.01;0.54944682121277;5;
163;nbody_mpi;nbody_mpi.c:35-67;0.21;0;0;0.01;0.01;0.44303244352341;5;
145;nbody_mpi;nbody_mpi.c:45-45;0.14;0;0;0.01;0.01;0.58709990978241;3;
141;nbody_mpi;nbody_mpi.c:41-45;0.1;0;0;0;0;0.064749009907246;3;
151;nbody_mpi;nbody_mpi.c:48-61;0.1;0;0;0;0;0.02973759546876;3;
150;nbody_mpi;nbody_mpi.c:48-61;0.07;0;0;0;0;0.01957780122757;2;
147;nbody_mpi;nbody_mpi.c:45-45;0.03;0;0;0;0;0;1;
143;nbody_mpi;nbody_mpi.c:45-45;0.03;0;0;0;0;0;1;
156;nbody_mpi;nbody_mpi.c:45-45;0.03;0;0;0;0;0;1;
149;nbody_mpi;nbody_mpi.c:45-45;0.03;0;0;0;0;0;1;
20;nbody_mpi;nbody_mpi.c:130-130;0.03;0;0;0;0;0;1;
