Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;4.2;31.24;39.34;2926;0;17.33;0.92;2.46;2.77;0.5;0;1.74;
knl06;_ALL;_ALL;4.2;31.24;39.34;2926;0;17.33;0.92;2.46;2.77;0.5;0;1.74;
knl06;1986177;_ALL;4.35;33.7;36.96;92;0;16.3;2.17;2.17;3.26;0.46;0;1.09;
knl06;1986177;1986177;4.35;33.7;36.96;92;0;16.3;2.17;2.17;3.26;0.46;0;1.09;
knl06;1986193;_ALL;2.04;24.49;52.04;98;0;14.29;0;2.04;4.08;0.49;0;1.02;
knl06;1986193;1986193;2.04;24.49;52.04;98;0;14.29;0;2.04;4.08;0.49;0;1.02;
knl06;1986182;_ALL;4.88;46.34;15.85;82;0;25.61;0;6.1;0;0.41;0;1.22;
knl06;1986182;1986182;4.88;46.34;15.85;82;0;25.61;0;6.1;0;0.41;0;1.22;
knl06;1986198;_ALL;2;23;56;100;0;13;0;0;4;0.5;0;2;
knl06;1986198;1986198;2;23;56;100;0;13;0;0;4;0.5;0;2;
knl06;1986183;_ALL;4.65;27.91;46.51;86;0;12.79;1.16;2.33;4.65;0.43;0;0;
knl06;1986183;1986183;4.65;27.91;46.51;86;0;12.79;1.16;2.33;4.65;0.43;0;0;
knl06;1986199;_ALL;3.61;25.3;45.78;83;0;18.07;0;1.2;2.41;0.41;0;3.61;
knl06;1986199;1986199;3.61;25.3;45.78;83;0;18.07;0;1.2;2.41;0.41;0;3.61;
knl06;1986180;_ALL;2.38;36.9;29.76;84;0;20.24;0;5.95;3.57;0.42;0;1.19;
knl06;1986180;1986180;2.38;36.9;29.76;84;0;20.24;0;5.95;3.57;0.42;0;1.19;
knl06;1986196;_ALL;5.32;41.49;20.21;94;0;27.66;0;1.06;1.06;0.47;0;3.19;
knl06;1986196;1986196;5.32;41.49;20.21;94;0;27.66;0;1.06;1.06;0.47;0;3.19;
knl06;1986181;_ALL;6.98;45.35;15.12;86;0;24.42;1.16;2.33;3.49;0.43;0;1.16;
knl06;1986181;1986181;6.98;45.35;15.12;86;0;24.42;1.16;2.33;3.49;0.43;0;1.16;
knl06;1986197;_ALL;4.76;27.38;41.67;84;0;19.05;2.38;1.19;3.57;0.42;0;0;
knl06;1986197;1986197;4.76;27.38;41.67;84;0;19.05;2.38;1.19;3.57;0.42;0;0;
knl06;1986174;_ALL;2.22;28.89;47.78;90;0;12.22;2.22;3.33;1.11;0.45;0;2.22;
knl06;1986174;1986174;2.22;28.89;47.78;90;0;12.22;2.22;3.33;1.11;0.45;0;2.22;
knl06;1986186;_ALL;1.14;31.82;47.73;88;0;9.09;1.14;2.27;1.14;0.44;0;5.68;
knl06;1986186;1986186;1.14;31.82;47.73;88;0;9.09;1.14;2.27;1.14;0.44;0;5.68;
knl06;1986202;_ALL;3.96;24.75;54.46;101;0;9.9;0;0.99;2.97;0.5;0;2.97;
knl06;1986202;1986202;3.96;24.75;54.46;101;0;9.9;0;0.99;2.97;0.5;0;2.97;
knl06;1986187;_ALL;2.35;44.71;16.47;85;0;27.06;1.18;5.88;2.35;0.42;0;0;
knl06;1986187;1986187;2.35;44.71;16.47;85;0;27.06;1.18;5.88;2.35;0.42;0;0;
knl06;1986184;_ALL;5.49;25.27;47.25;91;0;12.09;2.2;4.4;3.3;0.46;0;0;
knl06;1986184;1986184;5.49;25.27;47.25;91;0;12.09;2.2;4.4;3.3;0.46;0;0;
knl06;1986200;_ALL;4.04;23.23;48.48;99;0;13.13;2.02;5.05;3.03;0.49;0;1.01;
knl06;1986200;1986200;4.04;23.23;48.48;99;0;13.13;2.02;5.05;3.03;0.49;0;1.01;
knl06;1986203;_ALL;4.08;23.47;51.02;98;0;13.27;1.02;1.02;5.1;0.49;0;1.02;
knl06;1986203;1986203;4.08;23.47;51.02;98;0;13.27;1.02;1.02;5.1;0.49;0;1.02;
knl06;1986185;_ALL;7.14;29.76;45.24;84;0;15.48;1.19;0;1.19;0.42;0;0;
knl06;1986185;1986185;7.14;29.76;45.24;84;0;15.48;1.19;0;1.19;0.42;0;0;
knl06;1986201;_ALL;5.15;23.71;47.42;97;0;14.43;2.06;4.12;1.03;0.48;0;2.06;
knl06;1986201;1986201;5.15;23.71;47.42;97;0;14.43;2.06;4.12;1.03;0.48;0;2.06;
knl06;1986190;_ALL;8.14;32.56;33.72;86;0;18.6;0;1.16;1.16;0.43;0;4.65;
knl06;1986190;1986190;8.14;32.56;33.72;86;0;18.6;0;1.16;1.16;0.43;0;4.65;
knl06;1986175;_ALL;3.45;26.44;49.43;87;0;13.79;0;1.15;4.6;0.44;0;1.15;
knl06;1986175;1986175;3.45;26.44;49.43;87;0;13.79;0;1.15;4.6;0.44;0;1.15;
knl06;1986191;_ALL;4.3;25.81;47.31;93;0;15.05;0;2.15;4.3;0.46;0;1.08;
knl06;1986191;1986191;4.3;25.81;47.31;93;0;15.05;0;2.15;4.3;0.46;0;1.08;
knl06;1986178;_ALL;3.09;28.87;40.21;97;0;20.62;0;4.12;2.06;0.49;0;1.03;
knl06;1986178;1986178;3.09;28.87;40.21;97;0;20.62;0;4.12;2.06;0.49;0;1.03;
