Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.31;95.8;2.59;5400;0;0.85;0.04;0.13;0.22;6.76;0;0.06;
knl06;_ALL;_ALL;0.31;95.8;2.59;5400;0;0.85;0.04;0.13;0.22;6.76;0;0.06;
knl06;1984507;_ALL;0.37;93.56;4.74;1350;0;0.81;0.07;0.15;0.3;6.75;0;0;
knl06;1984507;1984507;0.37;93.56;4.74;1350;0;0.81;0.07;0.15;0.3;6.75;0;0;
knl06;1984508;_ALL;0.22;98.3;0.52;1350;0;0.67;0;0.07;0.22;6.75;0;0;
knl06;1984508;1984508;0.22;98.3;0.52;1350;0;0.67;0;0.07;0.22;6.75;0;0;
knl06;1984506;_ALL;0.3;93.77;4.38;1348;0;1.04;0;0.15;0.3;6.74;0;0.07;
knl06;1984506;1984506;0.3;93.77;4.38;1348;0;1.04;0;0.15;0.3;6.74;0;0.07;
knl06;1984509;_ALL;0.37;97.56;0.74;1352;0;0.89;0.07;0.15;0.07;6.76;0;0.15;
knl06;1984509;1984509;0.37;97.56;0.74;1352;0;0.89;0.07;0.15;0.07;6.76;0;0.15;
