block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
136;nbody_omp;nbody_omp.c:68-81;99.47;131.27;;;;;;
143;nbody_omp;nbody_omp.c:85-87;0.25;0.32;;;;;;
140;nbody_omp;nbody_omp.c:68-81;0.13;0.17;;;;;;
133;nbody_omp;nbody_omp.c:61-65;0.02;0.03;;;;;;
138;nbody_omp;nbody_omp.c:68-81;0.02;0.02;;;;;;
142;nbody_omp;nbody_omp.c:81-81;0.02;0.02;;;;;;
109;nbody_omp;nbody_omp.c:94-96;0.02;0.02;;;;;;
137;nbody_omp;nbody_omp.c:63-63;0.01;0.01;;;;;;
163;nbody_omp;nbody_omp.c:33-34;0;0.01;;;;;;
165;nbody_omp;nbody_omp.c:35-38;0;0.01;;;;;;
167;nbody_omp;nbody_omp.c:39-40;0;0.01;;;;;;
