block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
136;nbody_omp;nbody_omp.c:68-81;99.57;37.39;37.28;37.33;37.36;0.1406741887331;4;
143;nbody_omp;nbody_omp.c:85-87;0.13;0.05;0.04;0.05;0.06;0.021675135940313;4;
140;nbody_omp;nbody_omp.c:68-81;0.06;0.02;0.01;0.02;0.05;0.049380347132683;4;
133;nbody_omp;nbody_omp.c:61-65;0.05;0.02;0;0.02;0.04;0.049202550202608;4;
142;nbody_omp;nbody_omp.c:81-81;0.03;0.01;0;0.01;0.02;0.025247415527701;4;
138;nbody_omp;nbody_omp.c:68-81;0.02;0.01;0;0.01;0.02;0.023046832531691;3;
109;nbody_omp;nbody_omp.c:94-96;0.01;0.01;0;0.01;0.01;0.018883874639869;2;
137;nbody_omp;nbody_omp.c:63-63;0;0;0;0;0;0;1;
166;nbody_omp;nbody_omp.c:38-39;0;0;0;0;0;0;1;
139;nbody_omp;nbody_omp.c:63-63;0;0;0;0;0;0;1;
