Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.07;99.79;0;31393;0.12;0.02;0;0;0;19.67;0;0;
knl06;_ALL;_ALL;0.07;99.79;0;31393;0.12;0.02;0;0;0;19.67;0;0;
knl06;1988817;_ALL;0.07;99.79;0;31393;0.12;0.02;0;0;0;19.67;0;0;
knl06;1988817;1989106;0.1;99.8;0;3923;0.1;0;0;0;0;19.61;0;0;
knl06;1988817;1989108;0.05;99.85;0;3922;0.1;0;0;0;0;19.61;0;0;
knl06;1988817;1989111;0.08;99.77;0;3924;0.15;0;0;0;0;19.62;0;0;
knl06;1988817;1988817;0.13;99.62;0;3934;0.1;0.15;0;0;0;19.67;0;0;
knl06;1988817;1989112;0.03;99.9;0;3922;0.08;0;0;0;0;19.61;0;0;
knl06;1988817;1989110;0.03;99.82;0;3923;0.15;0;0;0;0;19.62;0;0;
knl06;1988817;1989109;0.1;99.8;0;3923;0.1;0;0;0;0;19.61;0;0;
knl06;1988817;1989107;0.05;99.8;0;3922;0.15;0;0;0;0;19.61;0;0;
