Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.07;99.65;0;31244;0.25;0.03;0;0;0;13.07;0;0;
knl06;_ALL;_ALL;0.07;99.65;0;31244;0.25;0.03;0;0;0;13.07;0;0;
knl06;1989214;_ALL;0.07;99.65;0;31244;0.25;0.03;0;0;0;13.07;0;0;
knl06;1989214;1989510;0.08;99.62;0;2603;0.31;0;0;0;0;13.02;0;0;
knl06;1989214;1989503;0.08;99.69;0;2602;0.23;0;0;0;0;13.01;0;0;
knl06;1989214;1989508;0.08;99.62;0;2603;0.31;0;0;0;0;13.02;0;0;
knl06;1989214;1989509;0.08;99.65;0;2603;0.27;0;0;0;0;13.01;0;0;
knl06;1989214;1989505;0.04;99.65;0;2603;0.31;0;0;0;0;13.01;0;0;
knl06;1989214;1989506;0.04;99.77;0;2602;0.19;0;0;0;0;13.01;0;0;
knl06;1989214;1989511;0.04;99.62;0;2603;0.35;0;0;0;0;13.01;0;0;
knl06;1989214;1989507;0.04;99.73;0;2604;0.23;0;0;0;0;13.02;0;0;
knl06;1989214;1989504;0.12;99.58;0;2603;0.31;0;0;0;0;13.01;0;0;
knl06;1989214;1989512;0.08;99.77;0;2603;0.15;0;0;0;0;13.01;0;0;
knl06;1989214;1989214;0.15;99.46;0;2613;0.08;0.31;0;0;0;13.07;0;0;
knl06;1989214;1989513;0.04;99.65;0;2602;0.31;0;0;0;0;13.01;0;0;
