Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.05;99.88;0;25451;0;0.07;0;0;0;12.74;0;0;
knl06;_ALL;_ALL;0.05;99.88;0;25451;0;0.07;0;0;0;12.74;0;0;
knl06;2074657;_ALL;0.05;99.88;0;25451;0;0.07;0;0;0;12.74;0;0;
knl06;2074657;2075200;0.12;99.88;0;2539;0;0;0;0;0;12.69;0;0;
knl06;2074657;2075132;0;100;0;2541;0;0;0;0;0;12.7;0;0;
knl06;2074657;2075234;0.04;99.96;0;2548;0;0;0;0;0;12.74;0;0;
knl06;2074657;2075064;0.04;99.96;0;2542;0;0;0;0;0;12.71;0;0;
knl06;2074657;2075166;0.04;99.96;0;2549;0;0;0;0;0;12.74;0;0;
knl06;2074657;2075026;0;100;0;2546;0;0;0;0;0;12.73;0;0;
knl06;2074657;2074991;0.04;99.96;0;2542;0;0;0;0;0;12.71;0;0;
knl06;2074657;2075268;0.04;99.96;0;2543;0;0;0;0;0;12.71;0;0;
knl06;2074657;2075098;0.08;99.92;0;2544;0;0;0;0;0;12.72;0;0;
knl06;2074657;2074957;0.12;99.88;0;2540;0;0;0;0;0;12.7;0;0;
knl06;2074657;2074949;0;0;0;17;0;100;0;0;0;0.08;0;0;
