block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
128;nbody.g3;nbody3.c:94-108;95.32;9.25;6.72;8.02;9.31;0.32774943113327;256;
135;nbody.g3;nbody3.c:113-115;0.35;0.03;0;0.03;0.07;0.14591902494431;256;
125;nbody.g3;nbody3.c:91-96;0.25;0.02;0;0.02;0.06;0.12587761878967;243;
112;nbody.g3;nbody3.c:122-136;0.01;0;0;0.01;0.01;0.015046765096486;49;
134;nbody.g3;nbody3.c:108-108;0.01;0;0;0.01;0.01;0.0097097055986524;34;
127;nbody.g3;nbody3.c:96-96;0;0;0;0;0.01;0.0049551674164832;7;
110;nbody.g3;nbody3.c:119-136;0;0;0;0;0;0.00415307469666;4;
177;nbody.g3;nbody3.c:65-68;0;0;0.01;0.01;0.01;0;1;
117;nbody.g3;nbody3.c:81-82;0;0;0;0;0;0;1;
124;nbody.g3;nbody3.c:81-115;0;0;0;0;0;0;1;
167;nbody.g3;nbody3.c:48-49;0;0;0.01;0.01;0.01;0;1;
172;nbody.g3;nbody3.c:57-58;0;0;0.01;0.01;0.01;0;1;
176;nbody.g3;nbody3.c:64-65;0;0;0.01;0.01;0.01;0;1;
