Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.08;95.94;0;430627.59;3.98;0;0;0;0;9.7;0;0;
knl01;_ALL;_ALL;0.08;95.94;0;430627.59;3.98;0;0;0;0;9.7;0;0;
knl01;385542;_ALL;0.08;95.94;0;430627.59;3.98;0;0;0;0;9.7;0;0;
knl01;385542;385891;0.12;95.81;0;1645;4.07;0;0;0;0;8.22;0;0;
knl01;385542;386041;0;96.03;0;1711;3.97;0;0;0;0;8.55;0;0;
knl01;385542;385909;0;96.34;0;1829;3.66;0;0;0;0;9.14;0;0;
knl01;385542;385810;0;95.63;0;1556;4.37;0;0;0;0;7.78;0;0;
knl01;385542;385809;0.12;95.65;0;1655;4.23;0;0;0;0;8.27;0;0;
knl01;385542;385908;0;96.25;0;1575;3.75;0;0;0;0;7.87;0;0;
knl01;385542;386040;0.05;96.11;0;1826;3.83;0;0;0;0;9.13;0;0;
knl01;385542;385840;0.12;95.77;0;1726;4.11;0;0;0;0;8.63;0;0;
knl01;385542;385872;0;96.05;0;1746;3.95;0;0;0;0;8.73;0;0;
knl01;385542;385890;0.07;95.55;0;1483;4.38;0;0;0;0;7.41;0;0;
knl01;385542;385889;0.12;95.75;0;1625;4.12;0;0;0;0;8.12;0;0;
knl01;385542;385888;0.2;95.62;0;1483;4.18;0;0;0;0;7.41;0;0;
knl01;385542;385907;0.06;95.95;0;1801;4;0;0;0;0;9;0;0;
knl01;385542;386039;0.2;95.34;0;1482;4.45;0;0;0;0;7.41;0;0;
knl01;385542;386042;0.22;95.95;0;1827;3.83;0;0;0;0;9.13;0;0;
knl01;385542;385877;0.06;96.04;0;1792;3.91;0;0;0;0;8.96;0;0;
knl01;385542;385962;0.12;95.82;0;1697;4.07;0;0;0;0;8.48;0;0;
knl01;385542;385820;0;95.88;0;1482;4.12;0;0;0;0;7.41;0;0;
knl01;385542;385836;0.07;95.68;0;1480;4.26;0;0;0;0;7.4;0;0;
knl01;385542;385807;0.06;95.91;0;1689;4.03;0;0;0;0;8.44;0;0;
knl01;385542;385906;0.06;96.05;0;1696;3.89;0;0;0;0;8.48;0;0;
knl01;385542;386038;0;96.12;0;1778;3.88;0;0;0;0;8.89;0;0;
knl01;385542;385855;0.17;96.04;0;1766;3.79;0;0;0;0;8.83;0;0;
knl01;385542;386050;0.06;96.34;0;1641;3.6;0;0;0;0;8.2;0;0;
knl01;385542;385868;0.05;96.29;0;1832;3.66;0;0;0;0;9.16;0;0;
knl01;385542;385542;0.38;95.2;0;1561;3.59;0.83;0;0;0;7.8;0;0;
knl01;385542;386043;0.17;95.9;0;1754;3.93;0;0;0;0;8.77;0;0;
knl01;385542;385839;0;95.84;0;1585;4.16;0;0;0;0;7.92;0;0;
knl01;385542;385905;0.07;95.82;0;1532;4.11;0;0;0;0;7.66;0;0;
knl01;385542;386037;0;95.76;0;1486;4.24;0;0;0;0;7.43;0;0;
knl01;385542;385878;0.06;95.87;0;1623;4.07;0;0;0;0;8.11;0;0;
knl01;385542;385806;0.06;96.35;0;1755;3.59;0;0;0;0;8.77;0;0;
knl01;385542;386049;0.06;96;0;1698;3.95;0;0;0;0;8.49;0;0;
knl01;385542;385875;0.07;95.71;0;1467;4.23;0;0;0;0;7.33;0;0;
knl01;385542;385874;0.06;95.81;0;1599;4.13;0;0;0;0;7.99;0;0;
knl01;385542;385838;0.12;95.75;0;1622;4.13;0;0;0;0;8.11;0;0;
knl01;385542;385904;0.18;95.74;0;1665;4.08;0;0;0;0;8.32;0;0;
knl01;385542;386036;0.24;95.9;0;1682;3.86;0;0;0;0;8.41;0;0;
knl01;385542;385871;0.11;96.08;0;1835;3.81;0;0;0;0;9.17;0;0;
knl01;385542;385982;0.06;96.12;0;1727;3.82;0;0;0;0;8.63;0;0;
knl01;385542;385912;0.12;95.83;0;1703;4.05;0;0;0;0;8.52;0;0;
knl01;385542;385879;0.07;95.57;0;1423;4.36;0;0;0;0;7.11;0;0;
knl01;385542;385869;0.17;96.15;0;1792;3.68;0;0;0;0;8.96;0;0;
knl01;385542;385903;0.12;95.95;0;1654;3.93;0;0;0;0;8.27;0;0;
knl01;385542;386002;0.07;95.69;0;1486;4.24;0;0;0;0;7.43;0;0;
knl01;385542;385867;0.12;95.75;0;1696;4.13;0;0;0;0;8.48;0;0;
knl01;385542;385800;0.13;95.56;0;1531;4.31;0;0;0;0;7.65;0;0;
knl01;385542;385866;0.06;96.03;0;1815;3.91;0;0;0;0;9.07;0;0;
knl01;385542;385865;0.06;95.83;0;1678;4.11;0;0;0;0;8.39;0;0;
knl01;385542;386045;0.06;95.79;0;1687;4.15;0;0;0;0;8.43;0;0;
knl01;385542;385803;0.06;95.86;0;1716;4.08;0;0;0;0;8.58;0;0;
knl01;385542;385902;0;96.62;0;1862;3.38;0;0;0;0;9.31;0;0;
knl01;385542;386001;0;95.68;0;1506;4.32;0;0;0;0;7.53;0;0;
knl01;385542;385880;0.06;96.2;0;1761;3.75;0;0;0;0;8.8;0;0;
knl01;385542;385814;0.11;96.17;0;1881;3.72;0;0;0;0;9.4;0;0;
knl01;385542;385862;0.06;95.78;0;1588;4.16;0;0;0;0;7.94;0;0;
knl01;385542;385861;0.06;95.79;0;1687;4.15;0;0;0;0;8.43;0;0;
knl01;385542;385848;0;95.95;0;1727;4.05;0;0;0;0;8.63;0;0;
knl01;385542;385835;0;95.91;0;1713;4.09;0;0;0;0;8.56;0;0;
knl01;385542;385967;0.07;95.88;0;1528;4.06;0;0;0;0;7.64;0;0;
knl01;385542;386000;0.11;96.29;0;1777;3.6;0;0;0;0;8.88;0;0;
knl01;385542;385833;0;95.84;0;1585;4.16;0;0;0;0;7.92;0;0;
knl01;385542;385864;0.06;95.9;0;1730;4.05;0;0;0;0;8.65;0;0;
knl01;385542;386046;0.06;96.08;0;1811;3.87;0;0;0;0;9.05;0;0;
knl01;385542;385881;0.06;96.12;0;1598;3.82;0;0;0;0;7.99;0;0;
knl01;385542;385979;0.11;95.84;0;1755;4.05;0;0;0;0;8.77;0;0;
knl01;385542;385801;0.07;95.49;0;1463;4.44;0;0;0;0;7.31;0;0;
knl01;385542;385966;0.18;95.6;0;1705;4.22;0;0;0;0;8.52;0;0;
knl01;385542;386032;0.12;95.71;0;1703;4.17;0;0;0;0;8.51;0;0;
knl01;385542;385858;0;96.16;0;1770;3.84;0;0;0;0;8.85;0;0;
knl01;385542;385857;0.12;96.03;0;1715;3.85;0;0;0;0;8.57;0;0;
knl01;385542;385832;0.12;95.68;0;1691;4.2;0;0;0;0;8.45;0;0;
knl01;385542;385816;0.27;96.07;0;1830;3.66;0;0;0;0;9.15;0;0;
knl01;385542;385859;0.12;95.86;0;1665;4.02;0;0;0;0;8.32;0;0;
knl01;385542;385899;0.06;95.72;0;1612;4.22;0;0;0;0;8.06;0;0;
knl01;385542;385965;0.12;95.73;0;1663;4.15;0;0;0;0;8.31;0;0;
knl01;385542;386047;0.06;95.6;0;1613;4.34;0;0;0;0;8.06;0;0;
knl01;385542;385882;0;96.04;0;1642;3.96;0;0;0;0;8.21;0;0;
knl01;385542;385854;0.07;95.82;0;1508;4.11;0;0;0;0;7.54;0;0;
knl01;385542;385830;0.07;95.69;0;1484;4.25;0;0;0;0;7.42;0;0;
knl01;385542;385852;0.12;95.75;0;1718;4.13;0;0;0;0;8.59;0;0;
knl01;385542;385799;0.06;95.7;0;1674;4.24;0;0;0;0;8.37;0;0;
knl01;385542;385898;0;96.26;0;1738;3.74;0;0;0;0;8.69;0;0;
knl01;385542;385964;0.06;95.86;0;1691;4.08;0;0;0;0;8.45;0;0;
knl01;385542;385851;0.06;96.2;0;1814;3.75;0;0;0;0;9.07;0;0;
knl01;385542;385813;0.06;96.19;0;1732;3.75;0;0;0;0;8.66;0;0;
knl01;385542;385850;0.07;95.89;0;1508;4.05;0;0;0;0;7.54;0;0;
knl01;385542;386048;0.12;95.67;0;1734;4.21;0;0;0;0;8.67;0;0;
