block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
148;nbody.g4;nbody4.c:101-116;97.71;0.71;0.68;0.7;0.73;0.69635897874832;80;
155;nbody.g4;nbody4.c:93-122;0.21;0;0;0.01;0.01;0.20830963551998;22;
154;nbody.g4;nbody4.c:101-101;0.18;0;0;0.01;0.01;0.4268983900547;16;
166;nbody.g4;nbody4.c:126-142;0.1;0;0;0;0.01;0.0024591274559498;12;
150;nbody.g4;nbody4.c:101-116;0.05;0;0;0.01;0.01;0.32283028960228;5;
152;nbody.g4;nbody4.c:104-116;0.04;0;0;0.01;0.01;0.003556931624189;5;
118;nbody.g4;nbody4.c:45-46;0.03;0;0;0.01;0.01;2.8181793689728;2;
139;nbody.g4;nbody4.c:77-78;0.03;0;0;0;0;0;3;
120;nbody.g4;nbody4.c:47-50;0.02;0;0;0;0;0.26784390211105;2;
127;nbody.g4;nbody4.c:59-60;0.02;0;0;0;0;0.12809911370277;2;
145;nbody.g4;nbody4.c:101-106;0.02;0;0;0;0.01;0.0035316529683769;2;
147;nbody.g4;nbody4.c:106-106;0.02;0;0;0;0.01;0.0035821027122438;2;
114;nbody.g4;nbody4.c:40-41;0.01;0;0;0;0;0;1;
119;nbody.g4;nbody4.c:46-47;0.01;0;0;0;0;0;1;
121;nbody.g4;nbody4.c:50-51;0.01;0;0;0;0;0;1;
122;nbody.g4;nbody4.c:51-52;0.01;0;0;0;0;0;1;
123;nbody.g4;nbody4.c:37-54;0.01;0;0;0;0;0;1;
124;nbody.g4;nbody4.c:54-55;0.01;0;0;0;0;0;1;
128;nbody.g4;nbody4.c:60-61;0.01;0;0;0;0;0;1;
130;nbody.g4;nbody4.c:63-64;0.01;0;0;0;0;0;1;
137;nbody.g4;nbody4.c:73-74;0.01;0;0;0;0;0;1;
