Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.19;98.34;0;11493;0;1.15;0;0;0;0.73;0;0.32;
knl01;_ALL;_ALL;0.19;98.34;0;11493;0;1.15;0;0;0;0.73;0;0.32;
knl01;385186;_ALL;0.19;98.34;0;11493;0;1.15;0;0;0;0.73;0;0.32;
knl01;385186;385446;4.35;0;0;23;0;82.61;0;0;0;0.11;0;13.04;
knl01;385186;385512;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385462;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385528;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385511;0;100;0;146;0;0;0;0;0;0.73;0;0;
knl01;385186;385527;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385510;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385493;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385509;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385459;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385492;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385475;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385508;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385491;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385524;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385507;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385490;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385506;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385489;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385472;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385455;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385521;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385503;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385471;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385504;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385496;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385444;4.55;0;0;22;0;77.27;0;0;0;0.11;0;18.18;
knl01;385186;385454;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385520;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385460;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385468;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385470;0;99.3;0;142;0;0.7;0;0;0;0.71;0;0;
knl01;385186;385480;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385494;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385458;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385453;0;100;0;140;0;0;0;0;0;0.7;0;0;
knl01;385186;385466;0.7;99.3;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385497;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385474;0;100;0;142;0;0;0;0;0;0.71;0;0;
knl01;385186;385502;0;100;0;146;0;0;0;0;0;0.73;0;0;
knl01;385186;385478;0;100;0;141;0;0;0;0;0;0.7;0;0;
knl01;385186;385487;0;100;0;142;0;0;0;0;0;0.71;0;0;
