Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.02;99.75;0;98639.02;0.23;0;0;0;0;61.91;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;_ALL;_ALL;0.02;99.75;0;98639.02;0.23;0;0;0;0;61.91;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5917;_ALL;0.02;99.75;0;98639.02;0.23;0;0;0;0;61.91;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5917;5928;0.02;99.78;0;12303;0.2;0;0;0;0;61.52;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5917;5926;0.02;99.71;0;12301;0.28;0;0;0;0;61.5;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5917;5930;0.02;99.73;0;12302.01;0.25;0;0;0;0;61.51;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5917;5927;0.02;99.77;0;12339.99;0.21;0;0;0;0;61.7;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5917;5929;0.02;99.73;0;12381;0.26;0;0;0;0;61.91;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5917;5931;0.02;99.77;0;12362;0.21;0;0;0;0;61.81;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5917;5932;0.02;99.76;0;12336.01;0.22;0;0;0;0;61.68;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5917;5917;0.02;99.76;0;12314;0.22;0.01;0;0;0;61.57;0;0;
