function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
9;lbm;propagation._omp_fn.0;lbm_struct.h:130-130,lbm_phys.c:229-242;41.6;1.01;0.95;0.98;0.99;2.8732688426971;4;"100,0,0,0,0,0,0,0,0,0";
15;lbm;collision._omp_fn.0;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;37.28;0.91;0.87;0.87;0.88;2.6737315654755;4;"100,0,0,0,0,0,0,0,0,0";
542;libmpich.so.12.1.8;mpirinitf_;;12;0.29;0.02;0.28;0.37;7.119038105011;4;"0,100,0,0,0,0,0,0,0,0";
10;lbm;special_cells._omp_fn.0;lbm_struct.h:130-148,lbm_phys.c:123-200;1.76;0.04;0.03;0.04;0.06;0.78355914354324;4;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;1.28;0.03;0.04;0.04;0.05;0.20768731832504;3;"0,100,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.91;0.02;0.01;0.02;0.03;0.34483990073204;4;"0,17.646877895918,0,0,82.353122104082,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;0.8;0.02;0.01;0.02;0.02;0.27005091309547;4;"0,100,0,0,0,0,0,0,0,0";
8;lbm;setup_init_state;lbm_init.c:25-122,lbm_phys.c:98-145,lbm_struct.h:130-148;0.64;0.02;0.01;0.01;0.01;0.0478754080832;4;"100,0,0,0,0,0,0,0,0,0";
13;lbm;save_frame;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,main.c:77-109,lbm_phys.c:39-59;0.64;0.02;0.06;0.06;0.06;0;1;"100,0,0,0,0,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.48;0.01;0;0.01;0.02;0.38247367739677;4;"0,22.222653384951,0,0,0,0,0,0,77.777346615049,0";
1905;libc-2.31.so;__nss_database_lookup;;0.48;0.01;0;0.01;0.02;0.36140924692154;4;"0,11.112655349175,0,0,0,0,0,0,0,88.887344650825";
518;libc-2.31.so;_IO_default_xsputn;;0.43;0.01;0;0.01;0.01;0.17200337350368;4;"0,0,0,0,0,0,100,0,0,0";
1016;libc-2.31.so;openat;;0.32;0.01;0.01;0.01;0.01;0.2055516242981;3;"0,16.665971698882,0,0,0,0,83.334028301118,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.21;0.01;0;0.01;0.01;0.11113396286964;3;"0,0,0,0,0,100,0,0,0,0";
393;libmpich.so.12.1.8;MPI_Recv;;0.11;0;0;0;0.01;0.00029954817728139;2;"0,100,0,0,0,0,0,0,0,0";
515;libc-2.31.so;_IO_setb;;0.11;0;0;0;0.01;0.00030114976107143;2;"0,0,0,0,0,0,100,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.11;0;0;0;0.01;0.00030114976107143;2;"0,0,100,0,0,0,0,0,0,0";
54;libmpich.so.12.1.8;free@plt;;0.11;0;0;0;0;0.022863432765007;2;"0,100,0,0,0,0,0,0,0,0";
1028;libc-2.31.so;__close;;0.05;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,100,0,0,0,0";
588;libc-2.31.so;__libc_malloc;;0.05;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,100,0";
349;libc-2.31.so;__isoc99_sscanf;;0.05;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,100,0,0";
80;libgcc_s.so.1;__popcountdi2;;0.05;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
589;libc-2.31.so;__libc_free;;0.05;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
522;libc-2.31.so;_IO_enable_locks;;0.05;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
266;libc-2.31.so;__strtol_l;;0.05;0;0;0;0;0;1;"0,0,0,0,0,0,0,100,0,0";
187;libpthread-2.31.so;__pthread_cond_init;;0.05;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
205;libgomp.so.1.0.0;GOMP_parallel;;0.05;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
79;libmpich.so.12.1.8;poll@plt;;0.05;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.05;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
1453;libc-2.31.so;__sprintf_chk;;0.05;0;0;0;0;0;1;"0,0,0,0,0,0,0,100,0,0";
306;libc-2.31.so;cuserid;;0.05;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
265;libc-2.31.so;strtoul;;0.05;0;0;0;0;0;1;"0,0,0,0,0,0,0,100,0,0";
