block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
488;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;12.98;0.11;0.04;0.11;0.2;4.4177503585815;32;
368;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.69;0.01;0;0.02;0.03;1.1005736589432;29;
370;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.5;0.01;0;0.02;0.03;0.89342945814133;27;
372;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.43;0.01;0;0.01;0.03;0.80608654022217;27;
376;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.15;0.01;0;0.01;0.03;0.78296595811844;30;
378;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.12;0.01;0;0.01;0.02;0.70195996761322;28;
367;lbm;lbm_phys.c:236-241;0.99;0.01;0;0.01;0.02;0.71206545829773;26;
369;lbm;lbm_phys.c:236-241;0.95;0.01;0;0.01;0.02;0.77908277511597;23;
374;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.95;0.01;0;0.01;0.02;0.62496042251587;26;
380;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.9;0.01;0;0.01;0.02;0.51024562120438;28;
382;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.84;0.01;0;0.01;0.02;0.53067338466644;27;
379;lbm;lbm_phys.c:236-241;0.81;0.01;0;0.01;0.02;0.57926839590073;25;
377;lbm;lbm_phys.c:236-241;0.79;0.01;0;0.01;0.02;0.45275482535362;25;
375;lbm;lbm_phys.c:236-241;0.68;0.01;0;0.01;0.02;0.5098762512207;21;
371;lbm;lbm_phys.c:236-241;0.6;0.01;0;0.01;0.01;0.38126486539841;21;
373;lbm;lbm_phys.c:236-241;0.46;0;0;0.01;0.02;0.46293306350708;17;
339;lbm;lbm_phys.c:239-241;0.35;0;0;0.01;0.02;0.44466313719749;16;
286;lbm;lbm_init.c:51-58,lbm_phys.c:98-145,lbm_struct.h:130-148;0.26;0;0;0;0.01;0.0054214117117226;14;
443;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,main.c:89-95,lbm_phys.c:39-59;0.24;0;0.06;0.06;0.06;0;1;
396;lbm;lbm_struct.h:148-148,lbm_phys.c:192-192;0.16;0;0;0.01;0.01;0.21510463953018;8;
409;lbm;lbm_struct.h:148-148,lbm_phys.c:191-192;0.15;0;0;0.01;0.01;0.22734972834587;7;
364;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.15;0;0;0.01;0.01;0.30244880914688;6;
381;lbm;lbm_phys.c:236-236;0.13;0;0;0.01;0.01;0.52400696277618;5;
341;lbm;lbm_phys.c:239-241;0.09;0;0;0.01;0.01;0.28118008375168;4;
417;lbm;lbm_phys.c:192-192;0.09;0;0;0.01;0.01;0.27675950527191;4;
333;lbm;lbm_phys.c:234-236;0.09;0;0;0.01;0.01;0.29466784000397;4;
337;lbm;lbm_struct.h:130-130,lbm_phys.c:238-238;0.07;0;0;0;0;0.14959716796875;4;
366;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.07;0;0;0.01;0.01;0.34153410792351;3;
415;lbm;lbm_phys.c:191-191;0.05;0;0;0;0;0.0019397955620661;3;
407;lbm;lbm_phys.c:192-192;0.05;0;0;0;0;5.0046611477228e-07;3;
413;lbm;lbm_phys.c:192-192;0.04;0;0;0;0;0.0024327582214028;2;
411;lbm;lbm_phys.c:192-192;0.04;0;0;0;0;0.0023497710935771;2;
486;lbm;lbm_phys.c:215-215;0.04;0;0;0;0;2.5288107963206e-07;2;
383;lbm;lbm_phys.c:233-233;0.04;0;0;0;0;0.0024615444708616;2;
408;lbm;lbm_struct.h:130-130,lbm_phys.c:123-129;0.02;0;0;0;0;0;1;
335;lbm;lbm_phys.c:233-233;0.02;0;0;0;0;0;1;
447;lbm;main.c:84-84;0.02;0;0;0;0;0;1;
338;lbm;lbm_struct.h:130-130,lbm_phys.c:236-236;0.02;0;0;0;0;0;1;
343;lbm;lbm_phys.c:239-241;0.02;0;0;0;0;0;1;
479;lbm;lbm_phys.c:215-215;0.02;0;0;0;0;0;1;
390;lbm;lbm_phys.c:190-190;0.02;0;0;0;0;0;1;
