block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
488;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;19.65;0.17;;;;;;
379;lbm;lbm_phys.c:236-241;2.89;0.03;;;;;;
374;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.31;0.02;;;;;;
370;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.31;0.02;;;;;;
368;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.31;0.02;;;;;;
372;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.73;0.01;;;;;;
380;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.16;0.01;;;;;;
378;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.16;0.01;;;;;;
376;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.16;0.01;;;;;;
417;lbm;lbm_phys.c:192-192;1.16;0.01;;;;;;
486;lbm;lbm_phys.c:215-215;0.58;0.01;;;;;;
366;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.58;0.01;;;;;;
364;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.58;0.01;;;;;;
339;lbm;lbm_phys.c:239-241;0.58;0.01;;;;;;
371;lbm;lbm_phys.c:236-241;0.58;0.01;;;;;;
373;lbm;lbm_phys.c:236-241;0.58;0.01;;;;;;
409;lbm;lbm_struct.h:148-148,lbm_phys.c:191-192;0.58;0.01;;;;;;
377;lbm;lbm_phys.c:236-241;0.58;0.01;;;;;;
382;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.58;0.01;;;;;;
