Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;2.31;30.08;62;5456;0.38;0.4;0.62;1.54;1.76;0.88;0;0.9;
knl06;_ALL;_ALL;2.31;30.08;62;5456;0.38;0.4;0.62;1.54;1.76;0.88;0;0.9;
knl06;2169630;_ALL;1.16;26.01;67.63;173;0;0;0;2.31;2.31;0.86;0;0.58;
knl06;2169630;2169630;1.16;26.01;67.63;173;0;0;0;2.31;2.31;0.86;0;0.58;
knl06;2169616;_ALL;2.29;26.86;66.29;175;1.14;0;0;1.14;1.71;0.87;0;0.57;
knl06;2169616;2169616;2.29;26.86;66.29;175;1.14;0;0;1.14;1.71;0.87;0;0.57;
knl06;2169619;_ALL;3.45;22.41;68.97;174;0;0.57;0;1.72;2.87;0.87;0;0;
knl06;2169619;2169619;3.45;22.41;68.97;174;0;0.57;0;1.72;2.87;0.87;0;0;
knl06;2169618;_ALL;2.3;23.56;70.69;174;0;0.57;0;2.3;0.57;0.87;0;0;
knl06;2169618;2169618;2.3;23.56;70.69;174;0;0.57;0;2.3;0.57;0.87;0;0;
knl06;2169628;_ALL;2.33;28.49;63.95;172;0;0.58;1.16;0.58;2.91;0.86;0;0;
knl06;2169628;2169628;2.33;28.49;63.95;172;0;0.58;1.16;0.58;2.91;0.86;0;0;
knl06;2169621;_ALL;2.89;35.26;54.34;173;1.73;0;0.58;1.16;1.73;0.86;0;2.31;
knl06;2169621;2169621;2.89;35.26;54.34;173;1.73;0;0.58;1.16;1.73;0.86;0;2.31;
knl06;2169606;_ALL;1.75;35.09;58.48;171;0;0;0;0.58;2.92;0.86;0;1.17;
knl06;2169606;2169606;1.75;35.09;58.48;171;0;0;0;0.58;2.92;0.86;0;1.17;
knl06;2169623;_ALL;3.49;21.51;69.77;172;0.58;0.58;1.16;1.74;1.16;0.86;0;0;
knl06;2169623;2169623;3.49;21.51;69.77;172;0.58;0.58;1.16;1.74;1.16;0.86;0;0;
knl06;2169626;_ALL;4.05;34.68;54.91;173;0.58;0;1.16;2.31;0.58;0.86;0;1.73;
knl06;2169626;2169626;4.05;34.68;54.91;173;0.58;0;1.16;2.31;0.58;0.86;0;1.73;
knl06;2169609;_ALL;2.94;28.82;63.53;170;0.59;1.18;1.18;0;1.18;0.85;0;0.59;
knl06;2169609;2169609;2.94;28.82;63.53;170;0.59;1.18;1.18;0;1.18;0.85;0;0.59;
knl06;2169608;_ALL;1.75;26.32;67.25;171;0.58;0.58;0.58;0.58;1.75;0.86;0;0.58;
knl06;2169608;2169608;1.75;26.32;67.25;171;0.58;0.58;0.58;0.58;1.75;0.86;0;0.58;
knl06;2169611;_ALL;2.89;28.9;64.74;173;0;1.16;0.58;0.58;0.58;0.86;0;0.58;
knl06;2169611;2169611;2.89;28.9;64.74;173;0;1.16;0.58;0.58;0.58;0.86;0;0.58;
knl06;2169624;_ALL;0;28.07;62.57;171;1.75;1.17;1.75;2.92;1.75;0.86;0;0;
knl06;2169624;2169624;0;28.07;62.57;171;1.75;1.17;1.75;2.92;1.75;0.86;0;0;
knl06;2169613;_ALL;0.58;22.54;69.94;173;0;0;1.16;1.73;2.89;0.86;0;1.16;
knl06;2169613;2169613;0.58;22.54;69.94;173;0;0;1.16;1.73;2.89;0.86;0;1.16;
knl06;2169632;_ALL;2.29;29.14;64.57;175;0;0;0.57;2.29;1.14;0.88;0;0;
knl06;2169632;2169632;2.29;29.14;64.57;175;0;0;0.57;2.29;1.14;0.88;0;0;
knl06;2169615;_ALL;0.58;40.94;51.46;171;0.58;0;1.17;1.17;2.92;0.86;0;1.17;
knl06;2169615;2169615;0.58;40.94;51.46;171;0.58;0;1.17;1.17;2.92;0.86;0;1.17;
knl06;2169610;_ALL;2.37;36.69;52.07;169;0.59;1.18;0;4.14;1.18;0.84;0;1.78;
knl06;2169610;2169610;2.37;36.69;52.07;169;0.59;1.18;0;4.14;1.18;0.84;0;1.78;
knl06;2169633;_ALL;1.74;25;68.02;172;0;1.16;0.58;0.58;1.74;0.86;0;1.16;
knl06;2169633;2169633;1.74;25;68.02;172;0;1.16;0.58;0.58;1.74;0.86;0;1.16;
