Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;2.11;36.82;56.48;3982;0.35;0.65;0.68;0.75;1.31;1.04;0;0.85;
knl06;_ALL;_ALL;2.11;36.82;56.48;3982;0.35;0.65;0.68;0.75;1.31;1.04;0;0.85;
knl06;2169385;_ALL;2.93;36.1;57.07;205;0;0;0.98;0.49;1.46;1.03;0;0.98;
knl06;2169385;2169385;2.93;36.1;57.07;205;0;0;0.98;0.49;1.46;1.03;0;0.98;
knl06;2169386;_ALL;2.97;33.66;60.89;202;0;0;0.5;0.5;0.5;1.01;0;0.99;
knl06;2169386;2169386;2.97;33.66;60.89;202;0;0;0.5;0.5;0.5;1.01;0;0.99;
knl06;2169388;_ALL;2.5;31;62.5;200;0.5;1;1;0;0.5;1;0;1;
knl06;2169388;2169388;2.5;31;62.5;200;0.5;1;1;0;0.5;1;0;1;
knl06;2169390;_ALL;1.47;32.35;61.76;204;0.49;0.49;0.98;0.98;0.98;1.02;0;0.49;
knl06;2169390;2169390;1.47;32.35;61.76;204;0.49;0.49;0.98;0.98;0.98;1.02;0;0.49;
knl06;2169376;_ALL;2.9;32.85;59.42;207;0.48;0.97;0.48;0;1.45;1.04;0;1.45;
knl06;2169376;2169376;2.9;32.85;59.42;207;0.48;0.97;0.48;0;1.45;1.04;0;1.45;
knl06;2169378;_ALL;1.99;38.31;52.24;201;0;2.49;1;1.99;1.49;1.01;0;0.5;
knl06;2169378;2169378;1.99;38.31;52.24;201;0;2.49;1;1.99;1.49;1.01;0;0.5;
knl06;2169380;_ALL;1.48;35.47;59.61;203;0;1.48;0.49;0;0.49;1.01;0;0.99;
knl06;2169380;2169380;1.48;35.47;59.61;203;0;1.48;0.49;0;0.49;1.01;0;0.99;
knl06;2169382;_ALL;1.52;42.42;51.01;198;0;0;0.51;2.02;2.02;0.99;0;0.51;
knl06;2169382;2169382;1.52;42.42;51.01;198;0;0;0.51;2.02;2.02;0.99;0;0.51;
knl06;2169371;_ALL;1.97;40.39;51.72;203;0.49;0;1.97;0.99;0.49;1.01;0;1.97;
knl06;2169371;2169371;1.97;40.39;51.72;203;0.49;0;1.97;0.99;0.49;1.01;0;1.97;
knl06;2169372;_ALL;3.45;34.98;58.13;203;0.49;0.49;0.49;0;0.99;1.01;0;0.99;
knl06;2169372;2169372;3.45;34.98;58.13;203;0.49;0.49;0.49;0;0.99;1.01;0;0.99;
knl06;2169384;_ALL;2;36;57.5;200;0.5;0.5;0;1;1;1;0;1.5;
knl06;2169384;2169384;2;36;57.5;200;0.5;0.5;0;1;1;1;0;1.5;
knl06;2169374;_ALL;0.49;37.56;57.07;205;0;0.49;0.49;0.49;2.44;1.02;0;0.98;
knl06;2169374;2169374;0.49;37.56;57.07;205;0;0.49;0.49;0.49;2.44;1.02;0;0.98;
knl06;2169383;_ALL;1.48;36.45;58.13;203;0.49;0;0.99;0;1.48;1.02;0;0.99;
knl06;2169383;2169383;1.48;36.45;58.13;203;0.49;0;0.99;0;1.48;1.02;0;0.99;
knl06;2169373;_ALL;1.96;35.78;55.88;204;0.98;0.49;0.49;0.98;2.45;1.02;0;0.98;
knl06;2169373;2169373;1.96;35.78;55.88;204;0.98;0.49;0.49;0.98;2.45;1.02;0;0.98;
knl06;2169379;_ALL;2.45;32.84;61.27;204;0;0.49;0.49;0.98;1.47;1.02;0;0;
knl06;2169379;2169379;2.45;32.84;61.27;204;0;0.49;0.49;0.98;1.47;1.02;0;0;
knl06;2169389;_ALL;1.97;33;58.62;203;0.99;0.49;1.48;2.46;0;1.02;0;0.99;
knl06;2169389;2169389;1.97;33;58.62;203;0.99;0.49;1.48;2.46;0;1.02;0;0.99;
knl06;2169381;_ALL;0.49;39.22;54.41;204;0.49;1.47;0;0.98;2.45;1.02;0;0.49;
knl06;2169381;2169381;0.49;39.22;54.41;204;0.49;1.47;0;0.98;2.45;1.02;0;0.49;
knl06;2169387;_ALL;3.23;62.1;28.23;124;0;1.61;0.81;0;3.23;0.62;0;0.81;
knl06;2169387;2169387;3.23;62.1;28.23;124;0;1.61;0.81;0;3.23;0.62;0;0.81;
knl06;2169377;_ALL;3.94;40.39;52.22;203;0.99;0.99;0;0.49;0.99;1.01;0;0;
knl06;2169377;2169377;3.94;40.39;52.22;203;0.99;0.99;0;0.49;0.99;1.01;0;0;
knl06;2169375;_ALL;1.46;35.44;60.68;206;0;0;0.49;0.49;0.97;1.03;0;0.49;
knl06;2169375;2169375;1.46;35.44;60.68;206;0;0;0.49;0.49;0.97;1.03;0;0.49;
