loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
15;lbm;propagation._omp_fn.0;9;lbm_struct.h:130-130,lbm_phys.c:236-242;Innermost;47.7;3.27;3.27;3.27;3.27;0;1;
23;lbm;collision._omp_fn.0;15;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;Innermost;45.95;3.15;3.15;3.15;3.15;0;1;
14;lbm;propagation._omp_fn.0;9;lbm_struct.h:130-130,lbm_phys.c:233-242;InBetween;1.82;0.13;0.13;0.13;0.13;0;1;
16;lbm;special_cells._omp_fn.0;10;lbm_struct.h:130-148,lbm_phys.c:123-200;Innermost;1.75;0.12;0.12;0.12;0.12;0;1;
21;lbm;save_frame;13;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,main.c:84-98,lbm_phys.c:39-59;Innermost;0.58;0.04;0.04;0.04;0.04;0;1;
12;lbm;setup_init_state;8;lbm_init.c:51-58,lbm_phys.c:98-145,lbm_struct.h:130-148;Innermost;0.51;0.04;0.04;0.04;0.04;0;1;
24;lbm;collision._omp_fn.0;15;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;Outermost;0.22;0.02;0.01;0.01;0.01;0;1;
13;lbm;propagation._omp_fn.0;9;lbm_struct.h:130-130,lbm_phys.c:233-242;Outermost;0.22;0.02;0.01;0.01;0.01;0;1;
2;lbm;main;1;lbm_struct.h:139-139,main.c:114-211,lbm_comm.c:150-264,lbm_phys.c:187-229;Innermost;0.07;0.01;0;0;0;0;1;
6;lbm;setup_init_state;8;lbm_init.c:26-30,lbm_struct.h:148-148;Innermost;0.07;0.01;0;0;0;0;1;
