Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;1.61;71.34;23.58;2362;0.3;0.3;0.25;1.23;0.85;1.51;0;0.55;
knl06;_ALL;_ALL;1.61;71.34;23.58;2362;0.3;0.3;0.25;1.23;0.85;1.51;0;0.55;
knl06;2176937;_ALL;2;76.33;18.33;300;0.33;0.33;0.33;0.67;0.67;1.5;0;1;
knl06;2176937;2176937;2;76.33;18.33;300;0.33;0.33;0.33;0.67;0.67;1.5;0;1;
knl06;2176938;_ALL;1.52;66.29;26.89;264;0.76;1.14;0.76;0.76;0.76;1.32;0;1.14;
knl06;2176938;2176938;1.52;66.29;26.89;264;0.76;1.14;0.76;0.76;0.76;1.32;0;1.14;
knl06;2176941;_ALL;0;76;19;300;1;0.33;0.33;1.67;1.67;1.5;0;0;
knl06;2176941;2176941;0;76;19;300;1;0.33;0.33;1.67;1.67;1.5;0;0;
knl06;2176940;_ALL;0.67;56.9;38.72;297;0.34;0.34;0.34;0.67;1.35;1.49;0;0.67;
knl06;2176940;2176940;0.67;56.9;38.72;297;0.34;0.34;0.34;0.67;1.35;1.49;0;0.67;
knl06;2176935;_ALL;1.33;75.75;19.6;301;0;0;0;1.66;1;1.5;0;0.66;
knl06;2176935;2176935;1.33;75.75;19.6;301;0;0;0;1.66;1;1.5;0;0.66;
knl06;2176942;_ALL;2.68;71.24;24.75;299;0;0;0;0.33;0.67;1.49;0;0.33;
knl06;2176942;2176942;2.68;71.24;24.75;299;0;0;0;0.33;0.67;1.49;0;0.33;
knl06;2176939;_ALL;3.33;77.67;16.67;300;0;0;0;2.33;0;1.5;0;0;
knl06;2176939;2176939;3.33;77.67;16.67;300;0;0;0;2.33;0;1.5;0;0;
knl06;2176936;_ALL;1.33;69.77;25.25;301;0;0.33;0.33;1.66;0.66;1.51;0;0.66;
knl06;2176936;2176936;1.33;69.77;25.25;301;0;0.33;0.33;1.66;0.66;1.51;0;0.66;
