function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
9;lbm;propagation._omp_fn.0;lbm_struct.h:130-130,lbm_phys.c:229-242;36.79;0.55;0.4;0.54;0.6;4.3585977554321;8;"100,0,0,0,0,0,0,0,0,0";
15;lbm;collision._omp_fn.0;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;32.26;0.49;0.36;0.48;0.54;3.073089838028;8;"100,0,0,0,0,0,0,0,0,0";
542;libmpich.so.12.1.8;mpirinitf_;;19.98;0.3;0.21;0.29;0.51;6.6123480796814;8;"0,100,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;1.78;0.03;0.01;0.03;0.04;0.94695830345154;8;"0,100,0,0,0,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;1.35;0.02;0.01;0.02;0.03;0.33965954184532;8;"0,100,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;1.27;0.02;0;0.02;0.03;0.71399265527725;8;"0,6.6652650540614,0,0,93.334734945939,0,0,0,0,0";
10;lbm;special_cells._omp_fn.0;lbm_struct.h:130-148,lbm_phys.c:123-200;1.23;0.02;0;0.02;0.03;0.54720610380173;8;"100,0,0,0,0,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.85;0.01;0;0.01;0.02;0.47870945930481;8;"0,14.999546669866,0,0,0,0,0,0,85.000453330134,0";
8;lbm;setup_init_state;lbm_init.c:25-122,lbm_phys.c:98-145,lbm_struct.h:130-148;0.68;0.01;0;0.01;0.01;0.24355235695839;8;"100,0,0,0,0,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.47;0.01;0;0.01;0.01;0.14776195585728;6;"0,0,0,0,0,100,0,0,0,0";
588;libc-2.31.so;__libc_malloc;;0.38;0.01;0;0.01;0.02;0.25183805823326;7;"0,0,0,0,0,0,0,0,100,0";
13;lbm;save_frame;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,main.c:77-109,lbm_phys.c:39-59;0.34;0.01;0.04;0.04;0.04;0;1;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.3;0;0;0.01;0.01;0.17301812767982;6;"0,28.570142760755,28.569628094515,0,14.285791913114,28.574437231617,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.25;0;0;0.01;0.01;0.4011427462101;4;"0,0,0,0,0,0,0,0,0,100";
518;libc-2.31.so;_IO_default_xsputn;;0.25;0;0;0.01;0.01;0.14376917481422;5;"0,0,0,0,0,0,100,0,0,0";
1016;libc-2.31.so;openat;;0.21;0;0;0.01;0.02;0.38425421714783;3;"0,0,0,0,0,0,100,0,0,0";
266;libc-2.31.so;__strtol_l;;0.13;0;0;0;0;0.025688692927361;3;"0,0,0,0,0,0,0,100,0,0";
306;libc-2.31.so;cuserid;;0.08;0;0;0;0;0.0023798639886081;2;"0,0,0,0,100,0,0,0,0,0";
1455;libc-2.31.so;__snprintf_chk;;0.08;0;0;0;0;0.032140489667654;2;"0,0,0,0,0,0,0,100,0,0";
49;libc-2.31.so;.plt.sec@start;;0.08;0;0;0;0;3.793216478698e-07;2;"0,0,0,0,100,0,0,0,0,0";
205;libgomp.so.1.0.0;GOMP_parallel;;0.08;0;0.01;0.01;0.01;0;1;"0,0,100,0,0,0,0,0,0,0";
589;libc-2.31.so;__libc_free;;0.08;0;0;0;0;0.00078270910307765;2;"0,0,0,0,0,0,0,0,100,0";
826;libc-2.31.so;__clock_gettime;;0.08;0;0;0;0;0.0007882725331001;2;"0,0,0,0,100,0,0,0,0,0";
515;libc-2.31.so;_IO_setb;;0.08;0;0;0;0;0.0015718877548352;2;"0,0,0,0,0,0,100,0,0,0";
1018;libc-2.31.so;__read;;0.08;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,100,0,0,0";
546;libc-2.31.so;_IO_str_pbackfail;;0.04;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
522;libc-2.31.so;_IO_enable_locks;;0.04;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
514;libc-2.31.so;__uflow;;0.04;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
