function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
542;libmpich.so.12.1.8;mpirinitf_;;64.06;0.73;0.09;0.71;0.82;11.359819412231;32;"0,100,0,0,0,0,0,0,0,0";
9;lbm;propagation._omp_fn.0;lbm_struct.h:130-130,lbm_phys.c:229-242;12.26;0.14;0.08;0.14;0.27;6.4902467727661;32;"100,0,0,0,0,0,0,0,0,0";
15;lbm;collision._omp_fn.0;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;10.02;0.11;0.07;0.11;0.18;3.2037091255188;32;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;4.47;0.05;0.01;0.05;0.07;1.6324274539948;31;"0,100,0,0,0,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;1.75;0.02;0;0.02;0.04;0.67903167009354;32;"0,100,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;1.48;0.02;0;0.02;0.03;0.7586874961853;31;"0,8.5720292421191,0,0,91.427970757881,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.76;0.01;0;0.01;0.02;0.54837208986282;27;"0,12.963048270408,0,0,0,0,0,0,87.036951729592,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.61;0.01;0;0.01;0.02;0.46880704164505;24;"0,0,0,0,0,100,0,0,0,0";
10;lbm;special_cells._omp_fn.0;lbm_struct.h:130-148,lbm_phys.c:123-200;0.44;0;0;0.01;0.02;0.28888002038002;18;"100,0,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.38;0;0;0.01;0.02;0.49236926436424;16;"0,7.4081166531389,0,0,0,0,0,0,0,92.591883346861";
518;libc-2.31.so;_IO_default_xsputn;;0.3;0;0;0.01;0.02;0.32405367493629;15;"0,0,0,0,0,0,100,0,0,0";
1016;libc-2.31.so;openat;;0.24;0;0;0.01;0.01;0.19624516367912;14;"0,0,0,0,0,0,100,0,0,0";
266;libc-2.31.so;__strtol_l;;0.23;0;0;0.01;0.01;0.30699524283409;11;"0,0,0,0,0,0,0,100,0,0";
13;lbm;save_frame;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,main.c:77-109,lbm_phys.c:39-59;0.23;0;0.08;0.08;0.08;0;1;"100,0,0,0,0,0,0,0,0,0";
8;lbm;setup_init_state;lbm_init.c:25-122,lbm_phys.c:98-145,lbm_struct.h:130-148;0.21;0;0;0;0.01;0.076100438833237;15;"100,0,0,0,0,0,0,0,0,0";
589;libc-2.31.so;__libc_free;;0.21;0;0;0.01;0.01;0.32605850696564;12;"0,0,0,0,0,0,0,0,100,0";
522;libc-2.31.so;_IO_enable_locks;;0.2;0;0;0.01;0.02;0.28764912486076;11;"0,0,0,0,0,0,100,0,0,0";
546;libc-2.31.so;_IO_str_pbackfail;;0.2;0;0;0.01;0.01;0.17235654592514;12;"0,0,0,0,0,0,100,0,0,0";
588;libc-2.31.so;__libc_malloc;;0.2;0;0;0.01;0.01;0.12519899010658;13;"0,0,0,0,0,0,0,0,100,0";
1063;libc-2.31.so;__poll;;0.17;0;0;0.01;0.01;0.23786075413227;8;"0,0,0,0,0,0,100,0,0,0";
349;libc-2.31.so;__isoc99_sscanf;;0.11;0;0;0;0.01;0.0063442643731833;8;"0,0,0,0,0,0,0,100,0,0";
-1;kernel;unknown_kernel_region;;0.11;0;0;0.01;0.01;0.16902635991573;7;"0,12.499506931196,12.501395368997,0,62.502998759584,12.496098940224,0,0,0,0";
1453;libc-2.31.so;__sprintf_chk;;0.1;0;0;0.01;0.01;0.42330014705658;4;"0,0,0,0,0,0,0,100,0,0";
265;libc-2.31.so;strtoul;;0.1;0;0;0;0.01;0.11137156188488;7;"0,28.570922421266,0,0,0,0,0,71.429077578734,0,0";
306;libc-2.31.so;cuserid;;0.07;0;0;0.01;0.01;0.22456230223179;4;"0,0,0,0,100,0,0,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.07;0;0;0;0.01;0.003784291446209;5;"0,0,100,0,0,0,0,0,0,0";
79;libmpich.so.12.1.8;poll@plt;;0.06;0;0;0;0;0.0080897668376565;4;"0,100,0,0,0,0,0,0,0,0";
1028;libc-2.31.so;__close;;0.06;0;0;0;0;0.0015983537305146;4;"0,0,0,0,0,100,0,0,0,0";
1;lbm;main;lbm_struct.h:139-139,stdio2.h:100-265,main.c:27-270,lbm_comm.c:14-264,lbm_phys.c:187-229,lbm_config.c:16-119,lbm_struct.c:14-45;0.06;0;0;0;0.01;0.0059053800068796;4;"100,0,0,0,0,0,0,0,0,0";
515;libc-2.31.so;_IO_setb;;0.06;0;0;0.01;0.01;0.22737367451191;3;"0,0,0,0,0,0,100,0,0,0";
49;libc-2.31.so;.plt.sec@start;;0.06;0;0;0;0.01;0.0018588365055621;4;"0,0,0,0,100,0,0,0,0,0";
378;libc-2.31.so;_IO_ungetc;;0.04;0;0;0.01;0.01;0.31008636951447;2;"0,0,0,0,0,0,100,0,0,0";
397;libmpich.so.12.1.8;MPI_Send;;0.04;0;0;0;0.01;0.0030060419812799;3;"0,100,0,0,0,0,0,0,0,0";
