function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
542;libmpich.so.12.1.8;mpirinitf_;;68.61;0.76;;;;;;"0,100,0,0,0,0,0,0,0,0";
15;lbm;collision._omp_fn.0;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;11.21;0.13;;;;;;"100,0,0,0,0,0,0,0,0,0";
9;lbm;propagation._omp_fn.0;lbm_struct.h:130-130,lbm_phys.c:229-242;7.17;0.08;;;;;;"100,0,0,0,0,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;2.24;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;1.35;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;1.35;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
10;lbm;special_cells._omp_fn.0;lbm_struct.h:130-148,lbm_phys.c:123-200;1.35;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
1063;libc-2.31.so;__poll;;0.9;0.01;;;;;;"0,0,0,0,0,0,100,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.9;0.01;;;;;;"0,50,0,0,0,0,0,0,50,0";
588;libc-2.31.so;__libc_malloc;;0.9;0.01;;;;;;"0,0,0,0,0,0,0,0,100,0";
266;libc-2.31.so;__strtol_l;;0.9;0.01;;;;;;"0,0,0,0,0,0,0,100,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.45;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
546;libc-2.31.so;_IO_str_pbackfail;;0.45;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
518;libc-2.31.so;_IO_default_xsputn;;0.45;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.45;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
160;libpthread-2.31.so;__GI___pthread_mutex_unlock;;0.45;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.45;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
0;[vdso];Unknown function;;0.45;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
