Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;1.84;41.63;50.71;3536;0.4;0.48;0.9;1.27;2.01;0.92;0;0.76;
knl06;_ALL;_ALL;1.84;41.63;50.71;3536;0.4;0.48;0.9;1.27;2.01;0.92;0;0.76;
knl06;2177248;_ALL;1.64;38.8;53.55;183;0.55;0.55;1.64;2.19;1.09;0.91;0;0;
knl06;2177248;2177248;1.64;38.8;53.55;183;0.55;0.55;1.64;2.19;1.09;0.91;0;0;
knl06;2177251;_ALL;0.56;39.55;52.54;177;0.56;0;2.82;0.56;1.69;0.88;0;1.69;
knl06;2177251;2177251;0.56;39.55;52.54;177;0.56;0;2.82;0.56;1.69;0.88;0;1.69;
knl06;2177252;_ALL;3.3;39.01;52.75;182;0;1.1;0.55;1.1;1.1;0.91;0;1.1;
knl06;2177252;2177252;3.3;39.01;52.75;182;0;1.1;0.55;1.1;1.1;0.91;0;1.1;
knl06;2177254;_ALL;2.7;36.22;56.22;185;0.54;0;0.54;1.08;1.62;0.92;0;1.08;
knl06;2177254;2177254;2.7;36.22;56.22;185;0.54;0;0.54;1.08;1.62;0.92;0;1.08;
knl06;2177241;_ALL;2.29;37.14;56;175;0;1.71;1.14;1.71;0;0.88;0;0;
knl06;2177241;2177241;2.29;37.14;56;175;0;1.71;1.14;1.71;0;0.88;0;0;
knl06;2177242;_ALL;2.23;43.58;50.28;179;0;0;0.56;1.12;2.23;0.89;0;0;
knl06;2177242;2177242;2.23;43.58;50.28;179;0;0;0.56;1.12;2.23;0.89;0;0;
knl06;2177244;_ALL;1.63;45.11;48.37;184;0.54;0.54;1.09;0.54;2.17;0.92;0;0;
knl06;2177244;2177244;1.63;45.11;48.37;184;0.54;0.54;1.09;0.54;2.17;0.92;0;0;
knl06;2177246;_ALL;4.32;41.62;48.11;185;0.54;0.54;1.08;2.16;1.62;0.92;0;0;
knl06;2177246;2177246;4.32;41.62;48.11;185;0.54;0.54;1.08;2.16;1.62;0.92;0;0;
knl06;2177237;_ALL;1.12;44.69;44.69;179;1.12;0.56;0.56;0.56;4.47;0.9;0;2.23;
knl06;2177237;2177237;1.12;44.69;44.69;179;1.12;0.56;0.56;0.56;4.47;0.9;0;2.23;
knl06;2177250;_ALL;0.56;41.01;51.69;178;0;0;1.12;2.25;2.81;0.89;0;0.56;
knl06;2177250;2177250;0.56;41.01;51.69;178;0;0;1.12;2.25;2.81;0.89;0;0.56;
knl06;2177239;_ALL;1.18;47.06;47.65;170;0;0;0;0.59;2.94;0.85;0;0.59;
knl06;2177239;2177239;1.18;47.06;47.65;170;0;0;0;0.59;2.94;0.85;0;0.59;
knl06;2177249;_ALL;1.66;38.67;54.7;181;1.1;0;0.55;1.66;1.1;0.9;0;0.55;
knl06;2177249;2177249;1.66;38.67;54.7;181;1.1;0;0.55;1.66;1.1;0.9;0;0.55;
knl06;2177240;_ALL;2.81;37.08;54.49;178;1.12;1.69;0;1.12;1.12;0.89;0;0.56;
knl06;2177240;2177240;2.81;37.08;54.49;178;1.12;1.69;0;1.12;1.12;0.89;0;0.56;
knl06;2177238;_ALL;2.91;44.19;47.67;172;0;0;1.16;1.16;2.33;0.86;0;0.58;
knl06;2177238;2177238;2.91;44.19;47.67;172;0;0;1.16;1.16;2.33;0.86;0;0.58;
knl06;2177236;_ALL;2.23;44.69;49.72;179;0;0.56;0;0;1.68;0.9;0;1.12;
knl06;2177236;2177236;2.23;44.69;49.72;179;0;0.56;0;0;1.68;0.9;0;1.12;
knl06;2177247;_ALL;1.12;40.22;51.96;179;0;0.56;1.12;1.12;2.79;0.9;0;1.12;
knl06;2177247;2177247;1.12;40.22;51.96;179;0;0.56;1.12;1.12;2.79;0.9;0;1.12;
knl06;2177255;_ALL;1.11;46.67;46.11;180;0.56;0;1.11;1.67;2.78;0.9;0;0;
knl06;2177255;2177255;1.11;46.67;46.11;180;0.56;0;1.11;1.67;2.78;0.9;0;0;
knl06;2177245;_ALL;0.58;39.53;52.91;172;0;0;1.16;1.74;2.91;0.86;0;1.16;
knl06;2177245;2177245;0.58;39.53;52.91;172;0;0;1.16;1.74;2.91;0.86;0;1.16;
knl06;2177253;_ALL;2.94;58.82;29.41;136;0;0;0.74;2.94;2.21;0.68;0;2.94;
knl06;2177253;2177253;2.94;58.82;29.41;136;0;0;0.74;2.94;2.21;0.68;0;2.94;
knl06;2177243;_ALL;0;33.52;59.89;182;1.1;1.65;1.1;0.55;1.65;0.91;0;0.55;
knl06;2177243;2177243;0;33.52;59.89;182;1.1;1.65;1.1;0.55;1.65;0.91;0;0.55;
