block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
488;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;46.1;3.16;;;;;;
368;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;5.4;0.37;;;;;;
369;lbm;lbm_phys.c:236-241;4.3;0.29;;;;;;
374;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;4.01;0.27;;;;;;
370;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;3.87;0.26;;;;;;
382;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;3.79;0.26;;;;;;
378;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;3.65;0.25;;;;;;
376;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;3.28;0.22;;;;;;
380;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;3.14;0.21;;;;;;
367;lbm;lbm_phys.c:236-241;2.92;0.2;;;;;;
372;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.7;0.18;;;;;;
379;lbm;lbm_phys.c:236-241;2.41;0.16;;;;;;
371;lbm;lbm_phys.c:236-241;2.33;0.16;;;;;;
377;lbm;lbm_phys.c:236-241;1.97;0.13;;;;;;
373;lbm;lbm_phys.c:236-241;1.9;0.13;;;;;;
375;lbm;lbm_phys.c:236-241;1.53;0.1;;;;;;
339;lbm;lbm_phys.c:239-241;1.31;0.09;;;;;;
409;lbm;lbm_struct.h:148-148,lbm_phys.c:191-192;0.66;0.04;;;;;;
443;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,main.c:89-95,lbm_phys.c:39-59;0.66;0.04;;;;;;
286;lbm;lbm_init.c:51-58,lbm_phys.c:98-145,lbm_struct.h:130-148;0.51;0.03;;;;;;
341;lbm;lbm_phys.c:239-241;0.29;0.02;;;;;;
366;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.29;0.02;;;;;;
407;lbm;lbm_phys.c:192-192;0.29;0.02;;;;;;
333;lbm;lbm_phys.c:234-236;0.22;0.01;;;;;;
337;lbm;lbm_struct.h:130-130,lbm_phys.c:238-238;0.22;0.01;;;;;;
417;lbm;lbm_phys.c:192-192;0.22;0.01;;;;;;
364;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.15;0.01;;;;;;
396;lbm;lbm_struct.h:148-148,lbm_phys.c:192-192;0.15;0.01;;;;;;
381;lbm;lbm_phys.c:236-236;0.15;0.01;;;;;;
413;lbm;lbm_phys.c:192-192;0.15;0.01;;;;;;
383;lbm;lbm_phys.c:233-233;0.07;0;;;;;;
395;lbm;lbm_struct.h:148-148,lbm_phys.c:191-191;0.07;0;;;;;;
411;lbm;lbm_phys.c:192-192;0.07;0;;;;;;
415;lbm;lbm_phys.c:191-191;0.07;0;;;;;;
408;lbm;lbm_struct.h:130-130,lbm_phys.c:123-129;0.07;0;;;;;;
