Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.8;81.92;14.72;1875;0.21;0.48;0.21;0.48;0.85;2.43;0;0.32;
knl06;_ALL;_ALL;0.8;81.92;14.72;1875;0.21;0.48;0.21;0.48;0.85;2.43;0;0.32;
knl06;2167875;_ALL;1.19;93.81;2.62;420;0;0.95;0.48;0.24;0.48;2.1;0;0.24;
knl06;2167875;2167875;1.19;93.81;2.62;420;0;0.95;0.48;0.24;0.48;2.1;0;0.24;
knl06;2167878;_ALL;0.83;78.1;18.8;484;0.62;0.41;0;0.21;1.03;2.42;0;0;
knl06;2167878;2167878;0.83;78.1;18.8;484;0.62;0.41;0;0.21;1.03;2.42;0;0;
knl06;2167876;_ALL;0.41;78.81;17.9;486;0;0.21;0.21;1.03;1.03;2.43;0;0.41;
knl06;2167876;2167876;0.41;78.81;17.9;486;0;0.21;0.21;1.03;1.03;2.43;0;0.41;
knl06;2167877;_ALL;0.82;78.56;17.94;485;0.21;0.41;0.21;0.41;0.82;2.43;0;0.62;
knl06;2167877;2167877;0.82;78.56;17.94;485;0.21;0.41;0.21;0.41;0.82;2.43;0;0.62;
