block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
488;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;24.92;0.4;;;;;;
369;lbm;lbm_phys.c:236-241;3.43;0.05;;;;;;
370;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;3.12;0.05;;;;;;
368;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.8;0.04;;;;;;
382;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.8;0.04;;;;;;
380;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.18;0.03;;;;;;
371;lbm;lbm_phys.c:236-241;1.87;0.03;;;;;;
378;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.87;0.03;;;;;;
372;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.87;0.03;;;;;;
374;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.87;0.03;;;;;;
376;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.25;0.02;;;;;;
339;lbm;lbm_phys.c:239-241;0.93;0.01;;;;;;
367;lbm;lbm_phys.c:236-241;0.93;0.01;;;;;;
377;lbm;lbm_phys.c:236-241;0.93;0.01;;;;;;
375;lbm;lbm_phys.c:236-241;0.62;0.01;;;;;;
343;lbm;lbm_phys.c:239-241;0.31;0;;;;;;
396;lbm;lbm_struct.h:148-148,lbm_phys.c:192-192;0.31;0;;;;;;
373;lbm;lbm_phys.c:236-241;0.31;0;;;;;;
409;lbm;lbm_struct.h:148-148,lbm_phys.c:191-192;0.31;0;;;;;;
379;lbm;lbm_phys.c:236-241;0.31;0;;;;;;
286;lbm;lbm_init.c:51-58,lbm_phys.c:98-145,lbm_struct.h:130-148;0.31;0;;;;;;
