block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
488;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;20.8;0.22;0.19;0.21;0.24;3.2290110588074;16;
370;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.92;0.02;0;0.02;0.04;0.92332828044891;16;
382;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.86;0.02;0;0.02;0.04;1.0105686187744;16;
378;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.86;0.02;0;0.02;0.05;1.1919709444046;16;
368;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.76;0.02;0;0.02;0.03;0.89506429433823;16;
380;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.7;0.02;0.01;0.02;0.03;0.91255748271942;14;
372;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.52;0.02;0;0.02;0.03;0.78339529037476;14;
371;lbm;lbm_phys.c:236-241;1.45;0.02;0;0.02;0.03;0.68441027402878;15;
376;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.36;0.01;0;0.01;0.03;0.64350664615631;16;
374;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.3;0.01;0;0.01;0.02;0.67194050550461;15;
367;lbm;lbm_phys.c:236-241;1.3;0.01;0.01;0.01;0.03;0.80206680297852;14;
369;lbm;lbm_phys.c:236-241;1.24;0.01;0;0.02;0.03;0.58013868331909;13;
377;lbm;lbm_phys.c:236-241;1.11;0.01;0;0.01;0.03;0.77099448442459;15;
379;lbm;lbm_phys.c:236-241;0.87;0.01;0;0.01;0.03;0.58494049310684;13;
339;lbm;lbm_phys.c:239-241;0.84;0.01;0;0.01;0.02;0.45568069815636;11;
375;lbm;lbm_phys.c:236-241;0.8;0.01;0;0.01;0.02;0.47897565364838;12;
373;lbm;lbm_phys.c:236-241;0.8;0.01;0;0.01;0.02;0.6881827712059;14;
286;lbm;lbm_init.c:51-58,lbm_phys.c:98-145,lbm_struct.h:130-148;0.53;0.01;0;0.01;0.01;0.20736949145794;14;
409;lbm;lbm_struct.h:148-148,lbm_phys.c:191-192;0.28;0;0;0.01;0.01;0.17033566534519;8;
443;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,main.c:89-95,lbm_phys.c:39-59;0.25;0;0.04;0.04;0.04;0;1;
396;lbm;lbm_struct.h:148-148,lbm_phys.c:192-192;0.22;0;0;0.01;0.01;0.20190006494522;6;
381;lbm;lbm_phys.c:236-236;0.19;0;0;0;0.01;0.10042079538107;6;
366;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.19;0;0;0;0;0.10001776367426;6;
341;lbm;lbm_phys.c:239-241;0.19;0;0;0.01;0.01;0.27827697992325;4;
333;lbm;lbm_phys.c:234-236;0.15;0;0;0.01;0.01;0.2482658624649;4;
413;lbm;lbm_phys.c:192-192;0.12;0;0;0;0;0.0019242425914854;4;
415;lbm;lbm_phys.c:191-191;0.09;0;0;0;0;0.0023339928593487;3;
383;lbm;lbm_phys.c:233-233;0.06;0;0;0;0;0.0016750211361796;2;
343;lbm;lbm_phys.c:239-241;0.06;0;0;0;0;0.0049756462685764;2;
364;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.06;0;0;0;0;0.0016587945865467;2;
411;lbm;lbm_phys.c:192-192;0.06;0;0;0;0;0.0016584363766015;2;
447;lbm;main.c:84-84;0.06;0;0.01;0.01;0.01;0;1;
417;lbm;lbm_phys.c:192-192;0.06;0;0;0;0;0.0016583520919085;2;
102;lbm;lbm_comm.c:253-253;0.03;0;0.01;0.01;0.01;0;1;
479;lbm;lbm_phys.c:215-215;0.03;0;0;0;0;0;1;
303;lbm;lbm_init.c:26-26;0.03;0;0;0;0;0;1;
407;lbm;lbm_phys.c:192-192;0.03;0;0;0;0;0;1;
336;lbm;lbm_phys.c:233-233;0.03;0;0;0;0;0;1;
340;lbm;lbm_phys.c:236-236;0.03;0;0;0;0;0;1;
338;lbm;lbm_struct.h:130-130,lbm_phys.c:236-236;0.03;0;0;0;0;0;1;
302;lbm;lbm_init.c:27-27;0.03;0;0;0;0;0;1;
337;lbm;lbm_struct.h:130-130,lbm_phys.c:238-238;0.03;0;0;0;0;0;1;
