function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
542;libmpich.so.12.1.8;mpirinitf_;;55.46;0.49;0.07;0.47;0.59;10.071513175964;32;"0,100,0,0,0,0,0,0,0,0";
9;lbm;propagation._omp_fn.0;lbm_struct.h:130-130,lbm_phys.c:229-242;15.91;0.14;0.06;0.14;0.24;5.2746028900146;32;"100,0,0,0,0,0,0,0,0,0";
15;lbm;collision._omp_fn.0;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;13.03;0.11;0.04;0.11;0.2;4.4772539138794;32;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;3.72;0.03;0;0.03;0.07;1.4044216871262;32;"0,100,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;2.11;0.02;0;0.02;0.03;0.97635442018509;31;"0,14.782651453805,0,0,85.217348546195,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;2.05;0.02;0;0.02;0.04;0.98800373077393;31;"0,100,0,0,0,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.99;0.01;0;0.01;0.03;0.84773355722427;25;"0,9.2590375224829,0,0,0,0,0,0,90.740962477517,0";
10;lbm;special_cells._omp_fn.0;lbm_struct.h:130-148,lbm_phys.c:123-200;0.62;0.01;0;0.01;0.02;0.56298261880875;21;"100,0,0,0,0,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.57;0;0;0.01;0.02;0.3905237019062;18;"0,0,0,0,0,100,0,0,0,0";
518;libc-2.31.so;_IO_default_xsputn;;0.37;0;0;0.01;0.01;0.23308795690536;17;"0,0,0,0,0,0,100,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.37;0;0;0.01;0.01;0.36387002468109;15;"0,5.0004501123822,0,0,0,0,0,0,0,94.999549887618";
588;libc-2.31.so;__libc_malloc;;0.33;0;0;0.01;0.01;0.23926785588264;15;"0,0,0,0,0,0,0,0,100,0";
1016;libc-2.31.so;openat;;0.29;0;0;0.01;0.02;0.36924973130226;12;"0,0,0,0,0,0,100,0,0,0";
13;lbm;save_frame;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,main.c:77-109,lbm_phys.c:39-59;0.26;0;0.07;0.07;0.07;0;1;"100,0,0,0,0,0,0,0,0,0";
8;lbm;setup_init_state;lbm_init.c:25-122,lbm_phys.c:98-145,lbm_struct.h:130-148;0.26;0;0;0;0.01;0.0054214117117226;14;"100,0,0,0,0,0,0,0,0,0";
266;libc-2.31.so;__strtol_l;;0.26;0;0;0.01;0.01;0.22649829089642;12;"0,0,0,0,0,0,0,100,0,0";
589;libc-2.31.so;__libc_free;;0.26;0;0;0.01;0.01;0.37669396400452;11;"0,0,0,0,0,0,0,0,100,0";
-1;kernel;unknown_kernel_region;;0.22;0;0;0.01;0.01;0.31135129928589;8;"0,24.987444014726,0,0,58.341586265812,16.670969719461,0,0,0,0";
378;libc-2.31.so;_IO_ungetc;;0.18;0;0;0.01;0.01;0.41888234019279;8;"0,0,0,0,0,0,100,0,0,0";
1028;libc-2.31.so;__close;;0.18;0;0;0.01;0.01;0.19452287256718;9;"0,0,0,0,0,100,0,0,0,0";
546;libc-2.31.so;_IO_str_pbackfail;;0.16;0;0;0;0;0.0047060078941286;9;"0,0,0,0,0,0,100,0,0,0";
265;libc-2.31.so;strtoul;;0.15;0;0;0;0.01;0.10583403706551;8;"0,0,0,0,0,0,0,100,0,0";
306;libc-2.31.so;cuserid;;0.15;0;0;0.01;0.01;0.44420725107193;7;"0,0,0,0,100,0,0,0,0,0";
1018;libc-2.31.so;__read;;0.15;0;0;0;0.01;0.0058921538293362;8;"0,0,0,0,0,0,100,0,0,0";
1063;libc-2.31.so;__poll;;0.13;0;0;0.01;0.01;0.23301133513451;6;"0,0,0,0,0,0,100,0,0,0";
515;libc-2.31.so;_IO_setb;;0.13;0;0;0;0;0.0064745992422104;7;"0,0,0,0,0,0,100,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.11;0;0;0;0;0.12000153213739;6;"0,0,100,0,0,0,0,0,0,0";
205;libgomp.so.1.0.0;GOMP_parallel;;0.09;0;0;0.01;0.01;0.29410365223885;4;"0,0,100,0,0,0,0,0,0,0";
1453;libc-2.31.so;__sprintf_chk;;0.09;0;0;0;0;0.0045524751767516;5;"0,0,0,0,0,0,0,100,0,0";
49;libc-2.31.so;.plt.sec@start;;0.09;0;0;0;0;0.0055584004148841;5;"0,0,0,0,100,0,0,0,0,0";
522;libc-2.31.so;_IO_enable_locks;;0.07;0;0;0;0;0.004338389262557;4;"0,0,0,0,0,0,100,0,0,0";
525;libc-2.31.so;_IO_sputbackc;;0.07;0;0;0;0;0.0042338785715401;4;"0,0,0,0,0,0,100,0,0,0";
357;libc-2.31.so;_IO_fgets;;0.07;0;0;0;0;0.14965291321278;4;"0,0,0,0,0,0,100,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.07;0;0;0;0.01;0.0031644171103835;4;"0,0,100,0,0,0,0,0,0,0";
349;libc-2.31.so;__isoc99_sscanf;;0.07;0;0;0;0;0.0057783885858953;4;"0,0,0,0,0,0,0,100,0,0";
568;libc-2.31.so;pthread_mutex_lock;;0.05;0;0;0;0;0.16682966053486;3;"0,0,0,0,0,100,0,0,0,0";
