block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
628;lbm;lbm_phys.c:45-217;47.74;55.07;;;;;;
654;lbm;lbm_phys.c:232-239,lbm_struct.h:130-130;21.66;24.99;;;;;;
667;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;4.04;4.66;;;;;;
664;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;3.99;4.6;;;;;;
668;lbm;lbm_phys.c:228-239,lbm_struct.h:130-130;3.87;4.46;;;;;;
665;lbm;lbm_phys.c:238-239,lbm_struct.h:130-130;3.51;4.04;;;;;;
662;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;3.42;3.95;;;;;;
661;lbm;lbm_phys.c:238-239,lbm_struct.h:130-130;2.65;3.05;;;;;;
655;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;2.08;2.39;;;;;;
600;lbm;lbm_phys.c:191-191,lbm_struct.h:148-148;1.08;1.25;;;;;;
658;lbm;lbm_phys.c:238-239,lbm_struct.h:130-130;1.01;1.17;;;;;;
630;lbm;lbm_phys.c:53-53,lbm_struct.h:130-130;0.64;0.73;;;;;;
590;lbm;lbm_phys.c:131-135;0.59;0.68;;;;;;
637;lbm;lbm_phys.c:228-235;0.4;0.46;;;;;;
577;lbm;lbm_phys.c:45-99;0.36;0.41;;;;;;
606;lbm;lbm_phys.c:190-190;0.27;0.31;;;;;;
707;lbm;main.c:89-95;0.25;0.28;;;;;;
657;lbm;lbm_phys.c:232-235;0.21;0.24;;;;;;
643;lbm;lbm_phys.c:236-236;0.2;0.22;;;;;;
645;lbm;lbm_phys.c:236-236;0.17;0.19;;;;;;
573;lbm;lbm_phys.c:75-81;0.16;0.18;;;;;;
604;lbm;lbm_phys.c:191-191;0.15;0.17;;;;;;
659;lbm;lbm_phys.c:236-236;0.14;0.16;;;;;;
666;lbm;lbm_phys.c:236-236;0.14;0.16;;;;;;
506;lbm;lbm_struct.h:148-148,lbm_init.c:52-58;0.13;0.14;;;;;;
656;lbm;lbm_phys.c:235-235;0.12;0.14;;;;;;
609;lbm;lbm_phys.c:191-191;0.12;0.14;;;;;;
652;lbm;lbm_phys.c:236-236;0.12;0.13;;;;;;
663;lbm;lbm_phys.c:235-235;0.11;0.13;;;;;;
660;lbm;lbm_phys.c:235-235;0.1;0.12;;;;;;
624;lbm;lbm_phys.c:216-216;0.1;0.12;;;;;;
505;lbm;lbm_struct.h:130-130,lbm_init.c:52-56;0.08;0.09;;;;;;
641;lbm;lbm_phys.c:236-236;0.07;0.08;;;;;;
605;lbm;lbm_phys.c:122-128,lbm_struct.h:130-130;0.07;0.07;;;;;;
562;lbm;lbm_phys.c:42-49;0.04;0.04;;;;;;
553;lbm;lbm_init.c:27-27;0.02;0.02;;;;;;
504;lbm;lbm_init.c:54-54;0.02;0.02;;;;;;
572;lbm;lbm_phys.c:67-67;0.01;0.01;;;;;;
704;lbm;lbm_struct.h:130-130,main.c:86-86;0.01;0.01;;;;;;
705;lbm;lbm_struct.h:130-130,main.c:88-88;0.01;0.01;;;;;;
568;lbm;lbm_phys.c:65-66;0;0;;;;;;
566;lbm;lbm_phys.c:56-61;0;0;;;;;;
706;lbm;main.c:89-89;0;0;;;;;;
599;lbm;lbm_phys.c:178-190;0;0;;;;;;
607;lbm;lbm_phys.c:190-190;0;0;;;;;;
507;lbm;lbm_init.c:51-51;0;0;;;;;;
