loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
46;lbm;collision;39;lbm_phys.c:45-217,lbm_struct.h:130-130;Innermost;48.38;55.75;;;;;;
48;lbm;propagation;40;lbm_phys.c:228-239,lbm_struct.h:130-130;Innermost;48.05;55.37;;;;;;
44;lbm;special_cells;38;lbm_phys.c:122-200,lbm_struct.h:130-148;Innermost;1.71;1.97;;;;;;
33;lbm;setup_init_state_global_poiseuille_profile;25;lbm_struct.h:130-148,lbm_init.c:52-58;Innermost;0.24;0.28;;;;;;
51;lbm;save_frame;46;lbm_struct.h:130-130,main.c:84-100;Innermost;0.23;0.26;;;;;;
45;lbm;collision;39;lbm_phys.c:45-218,lbm_struct.h:130-130;Outermost;0.06;0.07;;;;;;
42;lbm;setup_init_state;27;lbm_struct.h:148-148,lbm_init.c:26-30;Innermost;0.02;0.02;;;;;;
34;lbm;setup_init_state_global_poiseuille_profile;25;lbm_struct.h:130-148,lbm_init.c:51-58;InBetween;0.01;0.01;;;;;;
47;lbm;propagation;40;lbm_phys.c:227-239,lbm_struct.h:130-130;Outermost;0;0;;;;;;
43;lbm;special_cells;38;lbm_phys.c:122-200,lbm_struct.h:130-148;Outermost;0;0;;;;;;
