run_index;run_name;nb_processes;nb_threads;time;ideal_speedup;speedup;efficiency;
0;run_0;1;1;118.51152801514;1;1;1;
1;R2x4;1;1;118.03076934814;1;1.0040731638847;1.0040731638847;
2;R3x4;1;1;118.56992340088;1;0.99950750254308;0.99950750254308;
3;R4x2;1;1;118.03048706055;1;1.0040755652761;1.0040755652761;
4;R4x4;1;1;118.44622802734;1;1.000551304916;1.000551304916;
5;R6x2;1;1;118.32550048828;1;1.0015721676738;1.0015721676738;
6;R8x2;1;1;118.18019104004;1;1.0028036591596;1.0028036591596;
7;R16x16;1;1;117.54820251465;1;1.008195152966;1.008195152966;
8;R10x8;1;1;118.13316345215;1;1.003202864902;1.003202864902;
9;R16x1;1;1;118.46265411377;1;1.0004125680092;1.0004125680092;
