block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
173;mpiBench;;7.39;0.77;0.75;0.77;0.8;0.22107328474522;4;
172;mpiBench;;0.17;0.02;0.01;0.02;0.02;0.050067156553268;4;
347;mpiBench;;0.02;0;0.01;0.01;0.01;7.0851485361345e-05;2;
430;mpiBench;;0.01;0;0.01;0.01;0.01;0;1;
337;mpiBench;;0.01;0;0.01;0.01;0.01;0;1;
314;mpiBench;;0.01;0;0.01;0.01;0.01;0;1;
378;mpiBench;;0.01;0;0.01;0.01;0.01;0;1;
263;mpiBench;;0.01;0;0.01;0.01;0.01;0;1;
348;mpiBench;;0.01;0;0.01;0.01;0.01;0;1;
216;mpiBench;;0.01;0;0.01;0.01;0.01;0;1;
423;mpiBench;;0.01;0;0.01;0.01;0.01;0;1;
