function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
54;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;71.34;7.52;7.19;7.51;7.8;2.382652759552;4;"0,100,0,0,0,0,0,0,0,0";
11;mpiBench;init_sbuffer;;7.52;0.79;0.77;0.79;0.82;0.24778674542904;4;"100,0,0,0,0,0,0,0,0,0";
1318;libc-2.31.so;process_vm_readv;;4.54;0.48;0.35;0.48;0.64;1.175005197525;4;"0,0,0,0,100,0,0,0,0,0";
333;libopen-pal.so.40.20.3;opal_progress;;3.4;0.36;0.33;0.36;0.4;0.31238654255867;4;"0,100,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;1.79;0.19;0.13;0.19;0.22;0.37336352467537;4;"0,0,0,0,0,0,0,0,0,100";
1086;libopen-pal.so.40.20.3;opal_shmem_unlink;;1.69;0.18;0.16;0.18;0.21;0.19724431633949;4;"0,100,0,0,0,0,0,0,0,0";
105;mca_pml_ob1.so;mca_pml_ob1_recv_req_start;;0.99;0.1;0.1;0.1;0.11;0.040830183774233;4;"0,100,0,0,0,0,0,0,0,0";
89;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_match;;0.89;0.09;0.08;0.09;0.1;0.089634455740452;4;"0,100,0,0,0,0,0,0,0,0";
432;libmpi.so.40.20.3;ompi_request_default_wait;;0.65;0.07;0.05;0.07;0.08;0.15797393023968;4;"0,100,0,0,0,0,0,0,0,0";
81;mca_pml_ob1.so;mca_pml_ob1_send;;0.62;0.06;0.05;0.06;0.08;0.12405269593;4;"0,100,0,0,0,0,0,0,0,0";
78;mca_pml_ob1.so;mca_pml_ob1_mrecv;;0.5;0.05;0.04;0.05;0.06;0.0844566822052;4;"0,100,0,0,0,0,0,0,0,0";
75;mca_pml_ob1.so;mca_pml_ob1_irecv;;0.44;0.05;0.02;0.05;0.08;0.24821245670319;4;"0,100,0,0,0,0,0,0,0,0";
57;mca_btl_vader.so;mca_btl_vader_sendi;;0.44;0.05;0.03;0.05;0.06;0.14492808282375;4;"0,100,0,0,0,0,0,0,0,0";
86;mca_pml_ob1.so;mca_pml_ob1_rdma_pipeline_btls;;0.43;0.05;0.02;0.05;0.08;0.2584080696106;4;"0,100,0,0,0,0,0,0,0,0";
1166;libmpi.so.40.20.3;ompi_op_base_find_available;;0.34;0.04;0.01;0.04;0.06;0.24458976089954;4;"0,100,0,0,0,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.34;0.04;0.03;0.04;0.05;0.080473162233829;4;"0,0,0,0,0,100,0,0,0,0";
331;libopen-pal.so.40.20.3;opal_mem_hooks_unregister_release;;0.33;0.04;0.03;0.04;0.05;0.084284082055092;4;"0,100,0,0,0,0,0,0,0,0";
254;libmpi.so.40.20.3;.plt.sec@start;;0.32;0.03;0.01;0.03;0.06;0.18237607181072;4;"0,100,0,0,0,0,0,0,0,0";
95;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_fin;;0.23;0.02;0.01;0.02;0.04;0.10934992134571;4;"0,100,0,0,0,0,0,0,0,0";
116;mca_pml_ob1.so;mca_pml_ob1_start;;0.21;0.02;0.02;0.02;0.03;0.062059715390205;4;"0,100,0,0,0,0,0,0,0,0";
1064;libmpi.so.40.20.3;ompi_coll_base_barrier_intra_recursivedoubling;;0.17;0.02;0.01;0.02;0.03;0.094319529831409;4;"0,100,0,0,0,0,0,0,0,0";
52;mca_pml_ob1.so;.plt.sec@start;;0.14;0.01;0.01;0.01;0.02;0.061955139040947;4;"0,100,0,0,0,0,0,0,0,0";
76;mca_pml_ob1.so;mca_pml_ob1_recv;;0.12;0.01;0.01;0.01;0.02;0.085315801203251;4;"0,100,0,0,0,0,0,0,0,0";
588;libc-2.31.so;__libc_malloc;;0.11;0.01;0.01;0.02;0.03;0.13057138025761;3;"0,0,0,0,0,0,0,0,100,0";
56;mca_btl_vader.so;mca_btl_vader_send;;0.11;0.01;0.01;0.02;0.02;0.049164161086082;3;"0,100,0,0,0,0,0,0,0,0";
110;mca_pml_ob1.so;mca_pml_ob1_send_request_start_copy;;0.1;0.01;0.01;0.01;0.01;8.4128449088894e-05;4;"0,100,0,0,0,0,0,0,0,0";
99;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_match;;0.1;0.01;0.02;0.02;0.03;0.069888904690742;2;"0,100,0,0,0,0,0,0,0,0";
562;libopen-pal.so.40.20.3;opal_convertor_prepare_for_recv;;0.09;0.01;0.01;0.01;0.02;0.073972590267658;4;"0,100,0,0,0,0,0,0,0,0";
594;libc-2.31.so;__libc_calloc;;0.07;0.01;0.01;0.01;0.02;0.049346156418324;3;"0,0,0,0,0,0,0,0,100,0";
589;libc-2.31.so;__libc_free;;0.07;0.01;0.01;0.01;0.02;0.085231617093086;3;"0,0,0,0,0,0,0,0,100,0";
1030;libmpi.so.40.20.3;ompi_coll_base_sendrecv_actual;;0.06;0.01;0.01;0.01;0.02;0.034678291529417;2;"0,100,0,0,0,0,0,0,0,0";
828;libc-2.31.so;clock_nanosleep;;0.06;0.01;0.01;0.01;0.01;0.028426989912987;3;"0,0,0,0,100,0,0,0,0,0";
587;libopen-pal.so.40.20.3;opal_datatype_commit;;0.06;0.01;0.01;0.01;0.01;0.028426989912987;3;"0,100,0,0,0,0,0,0,0,0";
568;libopen-pal.so.40.20.3;opal_datatype_add;;0.06;0.01;0.01;0.01;0.02;0.034712690860033;2;"0,100,0,0,0,0,0,0,0,0";
561;libmpi.so.40.20.3;MPI_Barrier;;0.06;0.01;0.01;0.01;0.01;0.028412945568562;3;"0,100,0,0,0,0,0,0,0,0";
559;libopen-pal.so.40.20.3;opal_convertor_unpack;;0.06;0.01;0.01;0.01;0.01;0.028412945568562;3;"0,100,0,0,0,0,0,0,0,0";
113;mca_pml_ob1.so;mca_pml_ob1_send_request_start_rdma;;0.06;0.01;0.01;0.01;0.01;0.028483003377914;3;"0,100,0,0,0,0,0,0,0,0";
98;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_rget;;0.06;0.01;0.01;0.01;0.01;0.028441108763218;3;"0,100,0,0,0,0,0,0,0,0";
84;mca_coll_tuned.so;ompi_coll_tuned_barrier_intra_dec_fixed;;0.06;0.01;0.01;0.01;0.02;0.05695192143321;3;"0,100,0,0,0,0,0,0,0,0";
52;mca_btl_vader.so;mca_btl_vader_alloc;;0.06;0.01;0.01;0.01;0.01;0.028483003377914;3;"0,100,0,0,0,0,0,0,0,0";
1025;libmpi.so.40.20.3;ompi_coll_base_allgatherv_intra_bruck;;0.05;0.01;0.01;0.01;0.01;0.028377827256918;3;"0,100,0,0,0,0,0,0,0,0";
694;libmpi.so.40.20.3;MPI_Gather;;0.05;0.01;0.01;0.01;0.01;0.028518084436655;3;"0,100,0,0,0,0,0,0,0,0";
563;libopen-pal.so.40.20.3;opal_convertor_prepare_for_send;;0.05;0.01;0.01;0.01;0.01;4.2064224544447e-05;4;"0,100,0,0,0,0,0,0,0,0";
434;libmpi.so.40.20.3;ompi_request_default_wait_all;;0.05;0.01;0.01;0.01;0.01;4.2064224544447e-05;4;"0,100,0,0,0,0,0,0,0,0";
88;mca_pml_ob1.so;check_cantmatch_for_match;;0.05;0.01;0.01;0.01;0.01;0.00013740400027018;2;"0,100,0,0,0,0,0,0,0,0";
84;mca_pml_ob1.so;mca_pml_ob1_rdma_btls;;0.05;0.01;0.01;0.01;0.01;0.028384847566485;3;"0,100,0,0,0,0,0,0,0,0";
49;mca_btl_vader.so;.plt.sec@start;;0.05;0.01;0.01;0.01;0.02;0.069734402000904;2;"0,100,0,0,0,0,0,0,0,0";
1275;libc-2.31.so;epoll_wait;;0.04;0;0.03;0.03;0.03;0;3;"0,0,0,0,0,0,100,0,0,0";
1063;libc-2.31.so;__poll;;0.04;0;0.03;0.03;0.03;0;3;"0,0,0,0,0,0,100,0,0,0";
1047;libmpi.so.40.20.3;ompi_coll_base_alltoall_intra_basic_linear;;0.04;0;0.01;0.01;0.01;4.2050240153912e-05;3;"0,100,0,0,0,0,0,0,0,0";
999;libmpi.so.40.20.3;ompi_coll_base_bcast_intra_generic;;0.04;0;0.01;0.01;0.01;5.055748988525e-05;3;"0,100,0,0,0,0,0,0,0,0";
522;libmpi.so.40.20.3;ompi_datatype_sndrcv;;0.04;0;0.01;0.01;0.01;4.2050240153912e-05;3;"0,100,0,0,0,0,0,0,0,0";
111;mca_pml_ob1.so;mca_pml_ob1_send_request_start_prepare;;0.04;0;0.01;0.01;0.01;0.034849997609854;2;"0,100,0,0,0,0,0,0,0,0";
80;mca_pml_ob1.so;mca_pml_ob1_isend;;0.04;0;0.01;0.01;0.01;0.0347641967237;2;"0,100,0,0,0,0,0,0,0,0";
79;mca_pml_ob1.so;mca_pml_ob1_isend_init;;0.04;0;0.01;0.01;0.01;0.0347641967237;2;"0,100,0,0,0,0,0,0,0,0";
74;mca_pml_ob1.so;mca_pml_ob1_irecv_init;;0.04;0;0.01;0.01;0.01;5.055748988525e-05;3;"0,100,0,0,0,0,0,0,0,0";
21;mpiBench;time_gather;;0.04;0;0.01;0.01;0.01;5.055748988525e-05;3;"100,0,0,0,0,0,0,0,0,0";
17;mpiBench;time_alltoall;;0.04;0;0.01;0.01;0.01;0.034901600331068;2;"100,0,0,0,0,0,0,0,0,0";
1052;libmpi.so.40.20.3;ompi_coll_base_alltoallv_intra_pairwise;;0.02;0;0.01;0.01;0.01;5.150081415195e-05;2;"0,100,0,0,0,0,0,0,0,0";
1010;libmpi.so.40.20.3;ompi_coll_base_scatter_intra_basic_linear;;0.02;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
806;libmpi.so.40.20.3;MPI_Scatter;;0.02;0;0.01;0.01;0.01;1.7201182345161e-05;2;"0,100,0,0,0,0,0,0,0,0";
563;libmpi.so.40.20.3;MPI_Bcast;;0.02;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
545;libmpi.so.40.20.3;MPI_Allgather;;0.02;0;0.01;0.01;0.01;6.870200013509e-05;2;"0,100,0,0,0,0,0,0,0,0";
504;libmpi.so.40.20.3;ompi_datatype_create_indexed;;0.02;0;0.01;0.01;0.01;5.150081415195e-05;2;"0,100,0,0,0,0,0,0,0,0";
500;libmpi.so.40.20.3;ompi_datatype_create;;0.02;0;0.01;0.01;0.01;0;2;"0,100,0,0,0,0,0,0,0,0";
20;mpiBench;time_allgatherv;;0.02;0;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
19;mca_allocator_bucket.so;mca_allocator_bucket_alloc;;0.02;0;0.01;0.01;0.01;5.150081415195e-05;2;"0,100,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.02;0;0.01;0.01;0.01;5.150081415195e-05;2;"0,0,0,0,100,0,0,0,0,0";
0;ld-2.31.so;Unknown function;;0.02;0;0.01;0.01;0.01;0;1;"0,0,0,0,100,0,0,0,0,0";
1103;libc-2.31.so;brk;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,100,0";
1061;libmpi.so.40.20.3;ompi_coll_base_reduce_intra_basic_linear;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
1050;libmpi.so.40.20.3;ompi_coll_base_gather_intra_basic_linear;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
1043;libmpi.so.40.20.3;ompi_coll_base_alltoall_intra_pairwise;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
1022;libmpi.so.40.20.3;ompi_coll_base_allgather_intra_neighborexchange;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
696;libmpi.so.40.20.3;MPI_Gatherv;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
570;libopen-pal.so.40.20.3;opal_datatype_copy_content_same_ddt;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
552;libmpi.so.40.20.3;MPI_Alltoall;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
518;libc-2.31.so;_IO_default_xsputn;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,100,0,0,0";
501;libmpi.so.40.20.3;ompi_datatype_destroy;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
217;libopen-pal.so.40.20.3;.plt.sec@start;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
91;mca_coll_tuned.so;ompi_coll_tuned_gather_intra_dec_fixed;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
89;mca_coll_tuned.so;ompi_coll_tuned_allgather_intra_dec_fixed;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
79;mca_coll_tuned.so;.plt.sec@start;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
