Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;4.16;7.38;86.64;7911;0;1.48;0;0.08;0.1;10.31;0;0.16;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;_ALL;_ALL;4.16;7.38;86.64;7911;0;1.48;0;0.08;0.1;10.31;0;0.16;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35402;_ALL;3.94;7.38;86.65;1978;0;1.62;0;0.05;0.15;10.31;0;0.2;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35402;35402;3.95;7.38;86.7;1977;0;1.62;0;0.05;0.1;10.31;0;0.2;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35402;35409;0;0;0;1;0;0;0;0;100;0.03;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35412;_ALL;5.16;7.38;85.69;1977;0;1.37;0;0.15;0.15;10.23;0;0.1;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35412;35412;5.16;7.39;85.73;1976;0;1.37;0;0.15;0.1;10.23;0;0.1;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35412;35414;0;0;0;1;0;0;0;0;100;0.03;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35407;_ALL;4.04;7.53;86.52;1980;0;1.62;0;0.05;0.1;10.3;0;0.15;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35407;35407;4.04;7.53;86.56;1979;0;1.62;0;0.05;0.05;10.3;0;0.15;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35407;35411;0;0;0;1;0;0;0;0;100;0.03;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35416;_ALL;3.49;7.24;87.7;1976;0;1.32;0;0.05;0;10.27;0;0.2;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35416;35416;3.49;7.24;87.7;1976;0;1.32;0;0.05;0;10.27;0;0.2;
