function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
54;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;71.86;7.38;;;;;;"0,100,0,0,0,0,0,0,0,0";
11;mpiBench;init_sbuffer;;7.09;0.73;;;;;;"100,0,0,0,0,0,0,0,0,0";
333;libopen-pal.so.40.20.3;opal_progress;;5.26;0.54;;;;;;"0,100,0,0,0,0,0,0,0,0";
1318;libc-2.31.so;process_vm_readv;;3.49;0.36;;;;;;"0,0,0,0,100,0,0,0,0,0";
1086;libopen-pal.so.40.20.3;opal_shmem_unlink;;1.47;0.15;;;;;;"0,100,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;1.32;0.14;;;;;;"0,0,0,0,0,0,0,0,0,100";
89;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_match;;1.27;0.13;;;;;;"0,100,0,0,0,0,0,0,0,0";
105;mca_pml_ob1.so;mca_pml_ob1_recv_req_start;;0.71;0.07;;;;;;"0,100,0,0,0,0,0,0,0,0";
1166;libmpi.so.40.20.3;ompi_op_base_find_available;;0.66;0.07;;;;;;"0,100,0,0,0,0,0,0,0,0";
331;libopen-pal.so.40.20.3;opal_mem_hooks_unregister_release;;0.66;0.07;;;;;;"0,100,0,0,0,0,0,0,0,0";
432;libmpi.so.40.20.3;ompi_request_default_wait;;0.61;0.06;;;;;;"0,100,0,0,0,0,0,0,0,0";
81;mca_pml_ob1.so;mca_pml_ob1_send;;0.61;0.06;;;;;;"0,100,0,0,0,0,0,0,0,0";
95;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_fin;;0.51;0.05;;;;;;"0,100,0,0,0,0,0,0,0,0";
57;mca_btl_vader.so;mca_btl_vader_sendi;;0.51;0.05;;;;;;"0,100,0,0,0,0,0,0,0,0";
86;mca_pml_ob1.so;mca_pml_ob1_rdma_pipeline_btls;;0.46;0.05;;;;;;"0,100,0,0,0,0,0,0,0,0";
75;mca_pml_ob1.so;mca_pml_ob1_irecv;;0.46;0.05;;;;;;"0,100,0,0,0,0,0,0,0,0";
254;libmpi.so.40.20.3;.plt.sec@start;;0.3;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
78;mca_pml_ob1.so;mca_pml_ob1_mrecv;;0.3;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
52;mca_pml_ob1.so;.plt.sec@start;;0.25;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
1064;libmpi.so.40.20.3;ompi_coll_base_barrier_intra_recursivedoubling;;0.15;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
1030;libmpi.so.40.20.3;ompi_coll_base_sendrecv_actual;;0.15;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.15;0.02;;;;;;"0,0,0,0,0,100,0,0,0,0";
561;libmpi.so.40.20.3;MPI_Barrier;;0.15;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
116;mca_pml_ob1.so;mca_pml_ob1_start;;0.15;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
49;mca_btl_vader.so;.plt.sec@start;;0.15;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
110;mca_pml_ob1.so;mca_pml_ob1_send_request_start_copy;;0.1;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
99;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_match;;0.1;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
98;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_rget;;0.1;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
76;mca_pml_ob1.so;mca_pml_ob1_recv;;0.1;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
1055;libmpi.so.40.20.3;ompi_coll_base_reduce_generic;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
1052;libmpi.so.40.20.3;ompi_coll_base_alltoallv_intra_pairwise;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
589;libc-2.31.so;__libc_free;;0.05;0.01;;;;;;"0,0,0,0,0,0,0,0,100,0";
587;libopen-pal.so.40.20.3;opal_datatype_commit;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
554;libmpi.so.40.20.3;MPI_Alltoallv;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
545;libmpi.so.40.20.3;MPI_Allgather;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
522;libmpi.so.40.20.3;ompi_datatype_sndrcv;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
434;libmpi.so.40.20.3;ompi_request_default_wait_all;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
217;libopen-pal.so.40.20.3;.plt.sec@start;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
191;libpthread-2.31.so;__pthread_cond_wait;;0.05;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
86;mca_coll_tuned.so;ompi_coll_tuned_reduce_intra_dec_fixed;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
79;mca_pml_ob1.so;mca_pml_ob1_isend_init;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
56;mca_btl_vader.so;mca_btl_vader_send;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
52;mca_btl_vader.so;mca_btl_vader_alloc;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
25;mpiBench;time_reduce;;0.05;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
21;mpiBench;time_gather;;0.05;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
20;mpiBench;time_allgatherv;;0.05;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
16;mca_allocator_bucket.so;mca_allocator_bucket_alloc_wrapper;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
