Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;3.97;7.71;85.94;8002;0;1.77;0.01;0.17;0.12;10.41;0;0.29;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;_ALL;_ALL;3.97;7.71;85.94;8002;0;1.77;0.01;0.17;0.12;10.41;0;0.29;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35217;_ALL;3.1;7.61;87.23;1997;0;1.7;0;0.15;0.05;10.38;0;0.15;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35217;35217;3.11;7.62;87.27;1996;0;1.7;0;0.15;0;10.38;0;0.15;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35217;35220;0;0;0;1;0;0;0;0;100;0.03;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35201;_ALL;3.45;7.65;86.66;2001;0;1.65;0;0.1;0.15;10.41;0;0.35;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35201;35201;3.45;7.65;86.7;2000;0;1.65;0;0.1;0.1;10.41;0;0.35;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35201;35209;0;0;0;1;0;0;0;0;100;0.03;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35205;_ALL;3.2;7.74;86.57;2003;0;1.65;0;0.2;0.2;10.41;0;0.45;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35205;35205;3.2;7.75;86.7;2000;0;1.65;0;0.2;0.05;10.41;0;0.45;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35205;35213;0;0;0;3;0;0;0;0;100;0.08;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35204;_ALL;6.15;7.85;83.31;2001;0;2.1;0.05;0.25;0.1;10.41;0;0.2;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35204;35204;6.15;7.85;83.35;2000;0;2.1;0.05;0.25;0.05;10.41;0;0.2;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;35204;35212;0;0;0;1;0;0;0;0;100;0.03;0;0;
