function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
54;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;72.32;5.35;;;;;;"0,100,0,0,0,0,0,0,0,0";
1318;libc-2.31.so;process_vm_readv;;7.24;0.54;;;;;;"0,0,0,0,100,0,0,0,0,0";
333;libopen-pal.so.40.20.3;opal_progress;;4.9;0.36;;;;;;"0,100,0,0,0,0,0,0,0,0";
1;mpiBench;main;unistd.h:354-354,stdio2.h:36-107,mpiBench.c:455-1132,string_fortified.h:71-90;2.91;0.22;;;;;;"100,0,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;2.34;0.17;;;;;;"0,0,0,0,0,0,0,0,0,100";
1086;libopen-pal.so.40.20.3;opal_shmem_unlink;;1.28;0.09;;;;;;"0,100,0,0,0,0,0,0,0,0";
105;mca_pml_ob1.so;mca_pml_ob1_recv_req_start;;0.71;0.05;;;;;;"0,100,0,0,0,0,0,0,0,0";
89;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_match;;0.64;0.05;;;;;;"0,100,0,0,0,0,0,0,0,0";
1166;libmpi.so.40.20.3;ompi_op_base_find_available;;0.57;0.04;;;;;;"0,100,0,0,0,0,0,0,0,0";
432;libmpi.so.40.20.3;ompi_request_default_wait;;0.57;0.04;;;;;;"0,100,0,0,0,0,0,0,0,0";
1064;libmpi.so.40.20.3;ompi_coll_base_barrier_intra_recursivedoubling;;0.5;0.04;;;;;;"0,100,0,0,0,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.5;0.04;;;;;;"0,0,0,0,0,100,0,0,0,0";
331;libopen-pal.so.40.20.3;opal_mem_hooks_unregister_release;;0.5;0.04;;;;;;"0,100,0,0,0,0,0,0,0,0";
81;mca_pml_ob1.so;mca_pml_ob1_send;;0.5;0.04;;;;;;"0,100,0,0,0,0,0,0,0,0";
57;mca_btl_vader.so;mca_btl_vader_sendi;;0.43;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
78;mca_pml_ob1.so;mca_pml_ob1_mrecv;;0.35;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
86;mca_pml_ob1.so;mca_pml_ob1_rdma_pipeline_btls;;0.28;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
254;libmpi.so.40.20.3;.plt.sec@start;;0.21;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
99;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_match;;0.21;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
56;mca_btl_vader.so;mca_btl_vader_send;;0.21;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
828;libc-2.31.so;clock_nanosleep;;0.14;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
116;mca_pml_ob1.so;mca_pml_ob1_start;;0.14;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
98;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_rget;;0.14;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
95;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_fin;;0.14;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
75;mca_pml_ob1.so;mca_pml_ob1_irecv;;0.14;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
52;mca_pml_ob1.so;.plt.sec@start;;0.14;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
0;ld-2.31.so;Unknown function;;0.14;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
1189;libc-2.31.so;__munmap;;0.07;0.01;;;;;;"0,0,0,0,0,0,0,0,100,0";
1103;libc-2.31.so;brk;;0.07;0.01;;;;;;"0,0,0,0,0,0,0,0,100,0";
1013;libc-2.31.so;__open;;0.07;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
1003;libmpi.so.40.20.3;ompi_coll_base_bcast_intra_binomial;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
694;libmpi.so.40.20.3;MPI_Gather;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
568;libopen-pal.so.40.20.3;opal_datatype_add;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
563;libopen-pal.so.40.20.3;opal_convertor_prepare_for_send;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
562;libopen-pal.so.40.20.3;opal_convertor_prepare_for_recv;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
561;libmpi.so.40.20.3;MPI_Barrier;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
559;libopen-pal.so.40.20.3;opal_convertor_unpack;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
545;libmpi.so.40.20.3;MPI_Allgather;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
501;libmpi.so.40.20.3;ompi_datatype_destroy;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
434;libmpi.so.40.20.3;ompi_request_default_wait_all;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.07;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
153;libc-2.31.so;__sigsetjmp;;0.07;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
110;mca_pml_ob1.so;mca_pml_ob1_send_request_start_copy;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
103;mca_pml_ob1.so;mca_pml_ob1_recv_request_process_pending;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
92;mca_coll_tuned.so;ompi_coll_tuned_scatter_intra_dec_fixed;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
84;mca_pml_ob1.so;mca_pml_ob1_rdma_btls;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
76;mca_pml_ob1.so;mca_pml_ob1_recv;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
64;mca_pml_ob1.so;mca_pml_ob1_send_fin;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
58;mca_btl_vader.so;mca_btl_vader_get_cma;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
49;mca_btl_vader.so;.plt.sec@start;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
21;mca_allocator_bucket.so;mca_allocator_bucket_free;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
10;ld-2.31.so;.text@start;;0.07;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
0;mca_coll_sm.so;.init@start;;0.07;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
