name;time_p;time_s;cpi_ratio;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_btl_vader.so;72.28;5.34;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;10.45;0.77;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/libopen-pal.so.40.20.3;7.7;0.57;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_pml_ob1.so;4.12;0.3;;
/home/benbachir/Documents/PPN/mpiBench-main/Multirun/binaries/mpiBench;2.84;0.21;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/libmpi.so.40.20.3;2.18;0.16;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.21;0.02;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_coll_tuned.so;0.11;0.01;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_allocator_bucket.so;0.04;0;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_btl_openib.so;0.04;0;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_coll_sm.so;0.02;0;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_mtl_psm.so;0.02;0;;
