Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;7.09;2.98;86.64;6234;0;2.44;0.02;0.24;0.29;8.17;0;0.3;
benbachir-Lenovo;_ALL;_ALL;7.09;2.98;86.64;6234;0;2.44;0.02;0.24;0.29;8.17;0;0.3;
benbachir-Lenovo;4981;_ALL;9.37;3.21;84.08;1558;0;2.25;0.06;0.06;0.45;8.17;0;0.51;
benbachir-Lenovo;4981;4981;9.38;3.21;84.14;1557;0;2.25;0.06;0.06;0.39;8.17;0;0.51;
benbachir-Lenovo;4981;4995;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;4983;_ALL;4.56;2.25;90.04;1556;0;2.57;0;0.19;0.26;8.17;0;0.13;
benbachir-Lenovo;4983;4983;4.57;2.25;90.1;1555;0;2.57;0;0.19;0.19;8.17;0;0.13;
benbachir-Lenovo;4983;4990;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;4986;_ALL;9.04;3.08;84.35;1559;0;2.76;0;0.38;0.06;8.16;0;0.32;
benbachir-Lenovo;4986;4986;9.05;3.08;84.4;1558;0;2.76;0;0.39;0;8.16;0;0.32;
benbachir-Lenovo;4986;4993;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;4988;_ALL;5.38;3.4;88.08;1561;0;2.18;0;0.32;0.38;8.15;0;0.26;
benbachir-Lenovo;4988;4988;5.39;3.4;88.25;1558;0;2.18;0;0.32;0.19;8.15;0;0.26;
benbachir-Lenovo;4988;4992;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;4988;4996;0;0;0;2;0;0;0;0;100;0.05;0;0;
