loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
14;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.7;0.06;;;;;;
10;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.52;0.05;;;;;;
26;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.46;0.04;;;;;;
18;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.46;0.04;;;;;;
16;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.46;0.04;;;;;;
12;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.46;0.04;;;;;;
5;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.46;0.04;;;;;;
24;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.23;0.02;;;;;;
20;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.23;0.02;;;;;;
22;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.17;0.02;;;;;;
