block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
153;mpiBench;mpiBench.c:455-457;0.46;0.03;0.03;0.03;0.04;0.042376097291708;3;
190;mpiBench;mpiBench.c:455-457;0.43;0.03;0.03;0.03;0.04;0.072256304323673;3;
287;mpiBench;mpiBench.c:455-457;0.38;0.03;0.02;0.03;0.03;0.083226047456264;3;
360;mpiBench;mpiBench.c:455-457;0.34;0.02;0.02;0.02;0.03;0.041057411581278;3;
385;mpiBench;mpiBench.c:455-457;0.29;0.02;0.01;0.02;0.03;0.14409260451794;3;
262;mpiBench;mpiBench.c:455-457;0.29;0.02;0.02;0.02;0.03;0.071761466562748;3;
217;mpiBench;mpiBench.c:455-457;0.26;0.02;0.02;0.02;0.02;0.04192627966404;3;
336;mpiBench;mpiBench.c:455-457;0.26;0.02;0.02;0.02;0.02;0.041629541665316;3;
123;mpiBench;mpiBench.c:455-457;0.22;0.02;0.01;0.02;0.02;0.071838907897472;3;
312;mpiBench;mpiBench.c:455-457;0.17;0.01;0.01;0.01;0.02;0.041296929121017;3;
88;mpiBench;mpiBench.c:455-457;0.05;0;0.01;0.01;0.01;0;1;
1029;mpiBench;mpiBench.c:633-633;0.02;0;0.01;0.01;0.01;0;1;
1032;mpiBench;mpiBench.c:634-634;0.02;0;0.01;0.01;0.01;0;1;
945;mpiBench;mpiBench.c:596-596;0.02;0;0.01;0.01;0.01;0;1;
872;mpiBench;mpiBench.c:556-556;0.02;0;0.01;0.01;0.01;0;1;
173;mpiBench;mpiBench.c:805-806;0.02;0;0.01;0.01;0.01;0;1;
