Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;7.53;2.84;86.49;5634;0;2.29;0.02;0.27;0.12;7.39;0;0.44;
benbachir-Lenovo;_ALL;_ALL;7.53;2.84;86.49;5634;0;2.29;0.02;0.27;0.12;7.39;0;0.44;
benbachir-Lenovo;4835;_ALL;10.38;3.27;82.15;1406;0;3.27;0.07;0.07;0.14;7.39;0;0.64;
benbachir-Lenovo;4835;4835;10.39;3.27;82.21;1405;0;3.27;0.07;0.07;0.07;7.39;0;0.64;
benbachir-Lenovo;4835;4842;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;4833;_ALL;6.73;2.55;88.24;1412;0;1.49;0;0.5;0.14;7.39;0;0.35;
benbachir-Lenovo;4833;4843;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;4833;4833;6.74;2.55;88.37;1410;0;1.49;0;0.5;0;7.39;0;0.35;
benbachir-Lenovo;4833;4840;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;4831;_ALL;7.73;2.91;86.24;1410;0;2.34;0;0.14;0.07;7.39;0;0.57;
benbachir-Lenovo;4831;4831;7.74;2.91;86.3;1409;0;2.34;0;0.14;0;7.39;0;0.57;
benbachir-Lenovo;4831;4846;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;4836;_ALL;5.26;2.63;89.33;1406;0;2.06;0;0.36;0.14;7.39;0;0.21;
benbachir-Lenovo;4836;4836;5.26;2.63;89.33;1406;0;2.06;0;0.36;0.14;7.39;0;0.21;
