Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;4.14;6.15;87.29;8066;0;1.87;0;0.17;0.07;10.49;0;0.3;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;_ALL;_ALL;4.14;6.15;87.29;8066;0;1.87;0;0.17;0.07;10.49;0;0.3;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33481;_ALL;4.51;5.9;87.65;2017;0;1.78;0;0.1;0.05;10.49;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33481;33481;4.51;5.9;87.7;2016;0;1.79;0;0.1;0;10.49;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33481;33485;0;0;0;1;0;0;0;0;100;0.03;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33476;_ALL;3.47;6.04;88.51;2020;0;1.34;0;0.15;0.1;10.49;0;0.4;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33476;33476;3.47;6.05;88.6;2018;0;1.34;0;0.15;0;10.49;0;0.4;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33476;33480;0;0;0;2;0;0;0;0;100;0.05;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33486;_ALL;5.32;6.26;85.84;2013;0;1.94;0;0.2;0.05;10.46;0;0.4;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33486;33486;5.32;6.26;85.84;2013;0;1.94;0;0.2;0.05;10.46;0;0.4;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33489;_ALL;3.27;6.4;87.15;2016;0;2.43;0;0.25;0.1;10.46;0;0.4;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33489;33492;0;0;0;1;0;0;0;0;100;0.03;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33489;33489;3.28;6.41;87.24;2014;0;2.43;0;0.25;0;10.46;0;0.4;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;33489;33493;0;0;0;1;0;0;0;0;100;0.03;0;0;
