function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
54;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;73.08;7.67;7.42;7.66;7.8;1.5250321626663;4;"0,100,0,0,0,0,0,0,0,0";
11;mpiBench;init_sbuffer;;6.07;0.64;0.61;0.64;0.66;0.21376709640026;4;"100,0,0,0,0,0,0,0,0,0";
333;libopen-pal.so.40.20.3;opal_progress;;4.51;0.47;0.4;0.47;0.57;0.72184765338898;4;"0,100,0,0,0,0,0,0,0,0";
1318;libc-2.31.so;process_vm_readv;;4.05;0.43;0.34;0.42;0.55;0.93667495250702;4;"0,0,0,0,100,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;1.87;0.2;0.14;0.2;0.25;0.45151641964912;4;"0,0,0,0,0,0,0,0,0,100";
1086;libopen-pal.so.40.20.3;opal_shmem_unlink;;1.67;0.18;0.15;0.18;0.21;0.27294313907623;4;"0,100,0,0,0,0,0,0,0,0";
105;mca_pml_ob1.so;mca_pml_ob1_recv_req_start;;0.88;0.09;0.08;0.09;0.1;0.094377771019936;4;"0,100,0,0,0,0,0,0,0,0";
89;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_match;;0.84;0.09;0.05;0.09;0.11;0.25924679636955;4;"0,100,0,0,0,0,0,0,0,0";
81;mca_pml_ob1.so;mca_pml_ob1_send;;0.67;0.07;0.06;0.07;0.08;0.10389670729637;4;"0,100,0,0,0,0,0,0,0,0";
432;libmpi.so.40.20.3;ompi_request_default_wait;;0.6;0.06;0.04;0.06;0.08;0.17661917209625;4;"0,100,0,0,0,0,0,0,0,0";
331;libopen-pal.so.40.20.3;opal_mem_hooks_unregister_release;;0.5;0.05;0.02;0.05;0.08;0.24676787853241;4;"0,100,0,0,0,0,0,0,0,0";
78;mca_pml_ob1.so;mca_pml_ob1_mrecv;;0.46;0.05;0.04;0.05;0.05;0.047853112220764;4;"0,100,0,0,0,0,0,0,0,0";
57;mca_btl_vader.so;mca_btl_vader_sendi;;0.41;0.04;0.02;0.04;0.05;0.14226761460304;4;"0,100,0,0,0,0,0,0,0,0";
254;libmpi.so.40.20.3;.plt.sec@start;;0.37;0.04;0.03;0.04;0.05;0.085596285760403;4;"0,100,0,0,0,0,0,0,0,0";
1166;libmpi.so.40.20.3;ompi_op_base_find_available;;0.32;0.03;0.03;0.03;0.05;0.086235657334328;4;"0,100,0,0,0,0,0,0,0,0";
86;mca_pml_ob1.so;mca_pml_ob1_rdma_pipeline_btls;;0.3;0.03;0.02;0.03;0.04;0.12180433422327;4;"0,100,0,0,0,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.29;0.03;0.04;0.04;0.04;0.029121723026037;3;"0,0,0,0,0,100,0,0,0,0";
95;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_fin;;0.25;0.03;0.01;0.03;0.04;0.10740599781275;4;"0,100,0,0,0,0,0,0,0,0";
75;mca_pml_ob1.so;mca_pml_ob1_irecv;;0.24;0.02;0.02;0.02;0.04;0.084818281233311;4;"0,100,0,0,0,0,0,0,0,0";
52;mca_pml_ob1.so;.plt.sec@start;;0.22;0.02;0.02;0.02;0.03;0.064117170870304;4;"0,100,0,0,0,0,0,0,0,0";
1064;libmpi.so.40.20.3;ompi_coll_base_barrier_intra_recursivedoubling;;0.17;0.02;0.01;0.02;0.03;0.085996113717556;4;"0,100,0,0,0,0,0,0,0,0";
562;libopen-pal.so.40.20.3;opal_convertor_prepare_for_recv;;0.12;0.01;0.01;0.01;0.02;0.028702626004815;4;"0,100,0,0,0,0,0,0,0,0";
594;libc-2.31.so;__libc_calloc;;0.1;0.01;0.01;0.01;0.02;0.057397693395615;4;"0,0,0,0,0,0,0,0,100,0";
561;libmpi.so.40.20.3;MPI_Barrier;;0.1;0.01;0.01;0.01;0.02;0.028595797717571;3;"0,100,0,0,0,0,0,0,0,0";
568;libopen-pal.so.40.20.3;opal_datatype_add;;0.09;0.01;0.01;0.01;0.02;0.057298559695482;3;"0,100,0,0,0,0,0,0,0,0";
76;mca_pml_ob1.so;mca_pml_ob1_recv;;0.09;0.01;0.01;0.01;0.02;0.028482150286436;3;"0,100,0,0,0,0,0,0,0,0";
1030;libmpi.so.40.20.3;ompi_coll_base_sendrecv_actual;;0.07;0.01;0.01;0.01;0.01;0.028617249801755;4;"0,100,0,0,0,0,0,0,0,0";
116;mca_pml_ob1.so;mca_pml_ob1_start;;0.07;0.01;0.01;0.01;0.02;0.08576612174511;3;"0,100,0,0,0,0,0,0,0,0";
1052;libmpi.so.40.20.3;ompi_coll_base_alltoallv_intra_pairwise;;0.06;0.01;0.01;0.01;0.02;0.057355012744665;3;"0,100,0,0,0,0,0,0,0,0";
559;libopen-pal.so.40.20.3;opal_convertor_unpack;;0.06;0.01;0.01;0.01;0.02;0.057404845952988;3;"0,100,0,0,0,0,0,0,0,0";
113;mca_pml_ob1.so;mca_pml_ob1_send_request_start_rdma;;0.06;0.01;0.01;0.01;0.01;0.024731913581491;4;"0,100,0,0,0,0,0,0,0,0";
110;mca_pml_ob1.so;mca_pml_ob1_send_request_start_copy;;0.06;0.01;0.01;0.01;0.01;0.024846768006682;4;"0,100,0,0,0,0,0,0,0,0";
828;libc-2.31.so;clock_nanosleep;;0.05;0.01;0.01;0.01;0.01;0.028631323948503;3;"0,0,0,0,100,0,0,0,0,0";
587;libopen-pal.so.40.20.3;opal_datatype_commit;;0.05;0.01;0.01;0.01;0.01;5.4584175813943e-05;4;"0,100,0,0,0,0,0,0,0,0";
563;libmpi.so.40.20.3;MPI_Bcast;;0.05;0.01;0.01;0.01;0.01;0.028688199818134;3;"0,100,0,0,0,0,0,0,0,0";
56;mca_btl_vader.so;mca_btl_vader_send;;0.05;0.01;0.01;0.01;0.01;3.4887052606791e-05;2;"0,100,0,0,0,0,0,0,0,0";
1063;libc-2.31.so;__poll;;0.04;0;0.03;0.04;0.05;0;2;"0,0,0,0,0,0,100,0,0,0";
1055;libmpi.so.40.20.3;ompi_coll_base_reduce_generic;;0.04;0;0.01;0.01;0.01;0.035179287195206;2;"0,100,0,0,0,0,0,0,0,0";
1037;libmpi.so.40.20.3;ompi_coll_base_allreduce_intra_recursivedoubling;;0.04;0;0.01;0.01;0.01;4.920922947349e-05;3;"0,100,0,0,0,0,0,0,0,0";
696;libmpi.so.40.20.3;MPI_Gatherv;;0.04;0;0.02;0.02;0.02;0;1;"0,100,0,0,0,0,0,0,0,0";
589;libc-2.31.so;__libc_free;;0.04;0;0.01;0.01;0.01;6.1957391153555e-05;3;"0,0,0,0,0,0,0,0,100,0";
588;libc-2.31.so;__libc_malloc;;0.04;0;0.01;0.01;0.01;0.035179164260626;2;"0,0,0,0,0,0,0,0,100,0";
570;libopen-pal.so.40.20.3;opal_datatype_copy_content_same_ddt;;0.04;0;0.01;0.01;0.01;0.035022467374802;2;"0,100,0,0,0,0,0,0,0,0";
550;libmpi.so.40.20.3;MPI_Allreduce;;0.04;0;0.01;0.01;0.01;0.035179287195206;2;"0,100,0,0,0,0,0,0,0,0";
545;libmpi.so.40.20.3;MPI_Allgather;;0.04;0;0.01;0.01;0.01;0.035022467374802;2;"0,100,0,0,0,0,0,0,0,0";
501;libmpi.so.40.20.3;ompi_datatype_destroy;;0.04;0;0.02;0.02;0.02;0;1;"0,100,0,0,0,0,0,0,0,0";
500;libmpi.so.40.20.3;ompi_datatype_create;;0.04;0;0.01;0.01;0.01;0.034952942281961;2;"0,100,0,0,0,0,0,0,0,0";
434;libmpi.so.40.20.3;ompi_request_default_wait_all;;0.04;0;0.01;0.01;0.01;6.5121974330395e-05;3;"0,100,0,0,0,0,0,0,0,0";
111;mca_pml_ob1.so;mca_pml_ob1_send_request_start_prepare;;0.04;0;0.01;0.01;0.01;0.035214051604271;2;"0,100,0,0,0,0,0,0,0,0";
49;mca_btl_vader.so;.plt.sec@start;;0.04;0;0.01;0.01;0.01;0.035109505057335;2;"0,100,0,0,0,0,0,0,0,0";
1275;libc-2.31.so;epoll_wait;;0.02;0;0.03;0.03;0.03;0;2;"0,0,0,0,0,0,100,0,0,0";
1025;libmpi.so.40.20.3;ompi_coll_base_allgatherv_intra_bruck;;0.02;0;0.01;0.01;0.01;5.2272629545769e-05;2;"0,100,0,0,0,0,0,0,0,0";
999;libmpi.so.40.20.3;ompi_coll_base_bcast_intra_generic;;0.02;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
563;libopen-pal.so.40.20.3;opal_convertor_prepare_for_send;;0.02;0;0.01;0.01;0.01;1.7443526303396e-05;2;"0,100,0,0,0,0,0,0,0,0";
522;libmpi.so.40.20.3;ompi_datatype_sndrcv;;0.02;0;0.01;0.01;0.01;5.2272629545769e-05;2;"0,100,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.02;0;0.01;0.01;0.01;1.7443526303396e-05;2;"0,0,0,0,100,0,0,0,0,0";
99;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_match;;0.02;0;0.01;0.01;0.01;6.959235179238e-05;2;"0,100,0,0,0,0,0,0,0,0";
91;mca_coll_tuned.so;ompi_coll_tuned_gather_intra_dec_fixed;;0.02;0;0.01;0.01;0.01;1.7443526303396e-05;2;"0,100,0,0,0,0,0,0,0,0";
90;mca_coll_tuned.so;ompi_coll_tuned_allgatherv_intra_dec_fixed;;0.02;0;0.01;0.01;0.01;1.7443526303396e-05;2;"0,100,0,0,0,0,0,0,0,0";
89;mca_coll_tuned.so;ompi_coll_tuned_allgather_intra_dec_fixed;;0.02;0;0.01;0.01;0.01;5.2272629545769e-05;2;"0,100,0,0,0,0,0,0,0,0";
88;mca_pml_ob1.so;check_cantmatch_for_match;;0.02;0;0.01;0.01;0.01;5.2272629545769e-05;2;"0,100,0,0,0,0,0,0,0,0";
79;mca_pml_ob1.so;mca_pml_ob1_isend_init;;0.02;0;0.01;0.01;0.01;6.959235179238e-05;2;"0,100,0,0,0,0,0,0,0,0";
23;mpiBench;time_scatter;;0.02;0;0.01;0.01;0.01;6.959235179238e-05;2;"100,0,0,0,0,0,0,0,0,0";
0;mpiBench;Unknown function;;0.02;0;0.01;0.01;0.01;3.4763248550007e-05;2;"100,0,0,0,0,0,0,0,0,0";
1020;libmpi.so.40.20.3;ompi_coll_base_allgather_intra_recursivedoubling;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
1019;libc-2.31.so;__write;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,100,0,0,0";
