block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
123;mpiBench;mpiBench.c:455-457;0.43;0.03;0.03;0.03;0.04;0.058219734579325;4;
262;mpiBench;mpiBench.c:455-457;0.41;0.03;0.03;0.03;0.03;0.035338260233402;4;
336;mpiBench;mpiBench.c:455-457;0.36;0.03;0.03;0.03;0.03;0.00047807817463763;4;
360;mpiBench;mpiBench.c:455-457;0.34;0.03;0.02;0.03;0.03;0.068110913038254;4;
153;mpiBench;mpiBench.c:455-457;0.28;0.02;0.02;0.02;0.02;0.0003824601881206;4;
385;mpiBench;mpiBench.c:455-457;0.27;0.02;0.02;0.02;0.03;0.067744828760624;4;
287;mpiBench;mpiBench.c:455-457;0.25;0.02;0.02;0.02;0.02;0.040904451161623;4;
217;mpiBench;mpiBench.c:455-457;0.16;0.01;0.01;0.01;0.02;0.06814006716013;4;
190;mpiBench;mpiBench.c:455-457;0.16;0.01;0.01;0.01;0.02;0.035301007330418;4;
312;mpiBench;mpiBench.c:455-457;0.14;0.01;0.01;0.01;0.01;0.0001912300940603;4;
88;mpiBench;mpiBench.c:455-457;0.11;0.01;0.01;0.01;0.01;0.041121751070023;4;
1108;mpiBench;mpiBench.c:673-673;0.04;0;0.01;0.01;0.01;0;1;
1110;mpiBench;mpiBench.c:665-665;0.02;0;0.01;0.01;0.01;0;1;
245;mpiBench;mpiBench.c:792-792;0.02;0;0.01;0.01;0.01;0;1;
