loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
26;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.43;0.03;0.03;0.03;0.04;0.058219734579325;4;
12;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.41;0.03;0.03;0.03;0.03;0.035338260233402;4;
18;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.36;0.03;0.03;0.03;0.03;0.00047807817463763;4;
22;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.34;0.03;0.02;0.03;0.03;0.068110913038254;4;
5;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.28;0.02;0.02;0.02;0.02;0.0003824601881206;4;
24;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.27;0.02;0.02;0.02;0.03;0.067744828760624;4;
14;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.25;0.02;0.02;0.02;0.02;0.040904451161623;4;
20;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.16;0.01;0.01;0.01;0.02;0.035301007330418;4;
10;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.16;0.01;0.01;0.01;0.02;0.06814006716013;4;
16;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.14;0.01;0.01;0.01;0.01;0.0001912300940603;4;
30;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.11;0.01;0.01;0.01;0.01;0.041121751070023;4;
66;mpiBench;time_allgatherv;24;stdio2.h:107-107,mpiBench.c:455-678,string_fortified.h:71-71;Outermost;0.05;0;0.01;0.01;0.01;0.050077930092812;2;
7;mpiBench;main;1;mpiBench.c:790-792;Innermost;0.02;0;0.01;0.01;0.01;0;1;
