loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
12;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.43;0.03;;;;;;
26;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.36;0.03;;;;;;
18;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.36;0.03;;;;;;
22;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.28;0.02;;;;;;
5;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.28;0.02;;;;;;
24;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.21;0.02;;;;;;
14;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.21;0.02;;;;;;
10;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.21;0.02;;;;;;
30;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.14;0.01;;;;;;
20;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.14;0.01;;;;;;
16;mpiBench;main;1;mpiBench.c:455-457;Innermost;0.14;0.01;;;;;;
66;mpiBench;time_allgatherv;24;stdio2.h:107-107,mpiBench.c:455-678,string_fortified.h:71-71;Outermost;0.07;0.01;;;;;;
