Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;5.75;2.96;88.02;5633;0;2.38;0.02;0.32;0.25;7.42;0;0.3;
benbachir-Lenovo;_ALL;_ALL;5.75;2.96;88.02;5633;0;2.38;0.02;0.32;0.25;7.42;0;0.3;
benbachir-Lenovo;2685;_ALL;6.59;3.19;87.04;1412;0;1.91;0;0.5;0.21;7.42;0;0.57;
benbachir-Lenovo;2685;2685;6.6;3.19;87.22;1409;0;1.85;0;0.5;0.07;7.42;0;0.57;
benbachir-Lenovo;2685;2699;0;0;0;2;0;0;0;0;100;0.05;0;0;
benbachir-Lenovo;2685;2700;0;0;0;1;0;100;0;0;0;0.03;0;0;
benbachir-Lenovo;2688;_ALL;6.83;2.99;86.49;1406;0;2.84;0;0.21;0.36;7.41;0;0.28;
benbachir-Lenovo;2688;2696;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;2688;2688;6.83;2.99;86.55;1405;0;2.85;0;0.21;0.28;7.41;0;0.28;
benbachir-Lenovo;2687;_ALL;4.97;2.84;89;1409;0;2.2;0;0.35;0.28;7.41;0;0.35;
benbachir-Lenovo;2687;2687;4.98;2.84;89.19;1406;0;2.2;0;0.36;0.07;7.41;0;0.36;
benbachir-Lenovo;2687;2694;0;0;0;2;0;0;0;0;100;0.05;0;0;
benbachir-Lenovo;2687;2697;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;2689;_ALL;4.62;2.84;89.54;1406;0;2.56;0.07;0.21;0.14;7.41;0;0;
benbachir-Lenovo;2689;2698;0;0;0;1;0;0;0;0;100;0.03;0;0;
benbachir-Lenovo;2689;2689;4.63;2.85;89.61;1405;0;2.56;0.07;0.21;0.07;7.41;0;0;
