block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3330;lu-mz.A.x;blts.f90:57-227;17.39;2.8;;;;;;
3367;lu-mz.A.x;buts.f90:55-227;15.27;2.46;;;;;;
3344;lu-mz.A.x;jacu.f90:44-349;10.98;1.77;;;;;;
3314;lu-mz.A.x;jacld.f90:40-350;10.76;1.73;;;;;;
3365;lu-mz.A.x;buts.f90:67-67;3.45;0.55;;;;;;
3348;lu-mz.A.x;jacu.f90:39-349;2.67;0.43;;;;;;
3326;lu-mz.A.x;blts.f90:40-48;2.61;0.42;;;;;;
3360;lu-mz.A.x;buts.f90:40-47;1.74;0.28;;;;;;
3168;lu-mz.A.x;rhs.f90:274-303;1.09;0.18;;;;;;
3117;lu-mz.A.x;rhs.f90:180-187;1.09;0.18;;;;;;
3145;lu-mz.A.x;rhs.f90:221-227;1.09;0.18;;;;;;
3112;lu-mz.A.x;rhs.f90:136-160;1.06;0.17;;;;;;
3152;lu-mz.A.x;rhs.f90:242-245;1.03;0.17;;;;;;
3366;lu-mz.A.x;buts.f90:67-67;0.93;0.15;;;;;;
3066;lu-mz.A.x;rhs.f90:68-74;0.84;0.14;;;;;;
3158;lu-mz.A.x;rhs.f90:250-271;0.84;0.14;;;;;;
2234;lu-mz.A.x;ssor.f90:46-48;0.75;0.12;;;;;;
3050;lu-mz.A.x;rhs.f90:65-65;0.75;0.12;;;;;;
3108;lu-mz.A.x;rhs.f90:110-133;0.72;0.12;;;;;;
3173;lu-mz.A.x;rhs.f90:322-329;0.72;0.12;;;;;;
3100;lu-mz.A.x;rhs.f90:103-106;0.72;0.12;;;;;;
3228;lu-mz.A.x;rhs.f90:413-437;0.68;0.11;;;;;;
3233;lu-mz.A.x;rhs.f90:455-462;0.65;0.11;;;;;;
3226;lu-mz.A.x;rhs.f90:447-455;0.59;0.1;;;;;;
3220;lu-mz.A.x;rhs.f90:388-410;0.59;0.1;;;;;;
3149;lu-mz.A.x;rhs.f90:230-239;0.59;0.1;;;;;;
3231;lu-mz.A.x;rhs.f90:358-475;0.56;0.09;;;;;;
3195;lu-mz.A.x;rhs.f90:359-365;0.5;0.08;;;;;;
3364;lu-mz.A.x;buts.f90:67-67;0.47;0.08;;;;;;
3368;lu-mz.A.x;buts.f90:67-67;0.44;0.07;;;;;;
3096;lu-mz.A.x;rhs.f90:90-100;0.44;0.07;;;;;;
2390;lu-mz.A.x;ssor.f90:163-163;0.4;0.06;;;;;;
3166;lu-mz.A.x;rhs.f90:314-322;0.37;0.06;;;;;;
3199;lu-mz.A.x;rhs.f90:368-377;0.34;0.06;;;;;;
3227;lu-mz.A.x;rhs.f90:413-437;0.19;0.03;;;;;;
3169;lu-mz.A.x;rhs.f90:220-342;0.16;0.02;;;;;;
3388;lu-mz.A.x;syncs.f90:113-115;0.16;0.02;;;;;;
2870;lu-mz.A.x;exch_qbc.f90:253-255;0.16;0.02;;;;;;
