loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
182;lu-mz.A.x;blts;42;blts.f90:57-227;Innermost;16;2.3;2.12;2.29;2.52;1.0221871137619;8;
189;lu-mz.A.x;buts;44;buts.f90:55-227;Innermost;15.92;2.29;2.1;2.28;2.47;1.0410017967224;8;
186;lu-mz.A.x;jacu;43;jacu.f90:44-349;Innermost;11.77;1.69;1.47;1.68;1.98;1.4357113838196;8;
178;lu-mz.A.x;jacld;41;jacld.f90:40-350;Innermost;10.27;1.47;1.32;1.47;1.74;1.0012085437775;8;
192;lu-mz.A.x;sync_left;46;syncs.f90:75-77;Single;9.2;1.32;0.51;1.76;2.72;6.7639269828796;6;
184;lu-mz.A.x;jacu;43;jacu.f90:39-349;Innermost;2.37;0.34;0.29;0.34;0.41;0.36695092916489;8;
180;lu-mz.A.x;blts;42;blts.f90:40-48;Innermost;1.83;0.26;0.16;0.26;0.32;0.41488063335419;8;
139;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:209-475;InBetween;1.63;0.23;0.18;0.23;0.28;0.28376519680023;8;
191;lu-mz.A.x;buts;44;buts.f90:47-47;Innermost;1.53;0.22;0.18;0.22;0.27;0.25409498810768;8;
170;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:68-74;Innermost;1.35;0.19;0.18;0.19;0.21;0.078998774290085;8;
164;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:136-160;Innermost;1.19;0.17;0.14;0.17;0.21;0.18699575960636;8;
157;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:221-227;Innermost;1.07;0.15;0.09;0.15;0.22;0.32232969999313;8;
159;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:242-245;Innermost;1.04;0.15;0.09;0.15;0.19;0.21964570879936;8;
142;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:413-437;Innermost;1;0.14;0.09;0.14;0.19;0.20826590061188;8;
155;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:274-303;Innermost;0.9;0.13;0.08;0.13;0.16;0.19416996836662;8;
166;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:103-106;Innermost;0.86;0.12;0.1;0.12;0.18;0.18060196936131;8;
163;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:180-187;Innermost;0.79;0.11;0.09;0.11;0.14;0.12565180659294;8;
154;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:322-329;Innermost;0.78;0.11;0.08;0.11;0.14;0.1468009352684;8;
152;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:220-342;InBetween;0.76;0.11;0.08;0.11;0.15;0.14888653159142;8;
141;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:455-462;Innermost;0.75;0.11;0.07;0.11;0.14;0.19944725930691;8;
144;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:359-365;Innermost;0.74;0.11;0.08;0.11;0.14;0.15038630366325;8;
165;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:110-133;Innermost;0.71;0.1;0.07;0.1;0.16;0.21313448250294;8;
99;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:39-163;InBetween;0.69;0.1;0.05;0.1;0.13;0.17127975821495;8;
146;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:388-410;Innermost;0.68;0.1;0.08;0.1;0.12;0.11635776609182;8;
106;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:46-48;Innermost;0.65;0.09;0.06;0.09;0.14;0.18944779038429;8;
172;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:65-65;Innermost;0.65;0.09;0.08;0.09;0.11;0.066798470914364;8;
160;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:250-271;Innermost;0.59;0.08;0.06;0.08;0.12;0.13757838308811;8;
145;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:368-377;Innermost;0.55;0.08;0.04;0.08;0.1;0.13572573661804;8;
167;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:90-100;Innermost;0.53;0.08;0.06;0.08;0.1;0.090957492589951;8;
158;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:230-239;Innermost;0.52;0.08;0.04;0.07;0.11;0.14776845276356;8;
162;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:90-202;InBetween;0.38;0.06;0.04;0.05;0.07;0.097094617784023;8;
185;lu-mz.A.x;jacu;43;jacu.f90:39-356;Outermost;0.37;0.05;0.04;0.05;0.07;0.091675035655499;8;
187;lu-mz.A.x;buts;44;buts.f90:40-47;Innermost;0.31;0.05;0.03;0.04;0.07;0.10746335238218;8;
100;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:163-163;Innermost;0.29;0.04;0.02;0.04;0.06;0.096448712050915;8;
133;lu-mz.A.x;copy_x_face_._omp_fn.1;33;exch_qbc.f90:263-265;Innermost;0.21;0.03;0.01;0.03;0.06;0.13508044183254;8;
179;lu-mz.A.x;jacld;41;jacld.f90:40-350;Outermost;0.14;0.02;0;0.02;0.04;0.075844913721085;8;
149;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:383-383;Innermost;0.14;0.02;0;0.02;0.04;0.07462415844202;8;
107;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:46-48;InBetween;0.12;0.02;0.01;0.02;0.03;0.067360319197178;8;
151;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:383-383;Innermost;0.12;0.02;0.01;0.02;0.03;0.069771930575371;7;
188;lu-mz.A.x;buts;44;buts.f90:40-47;Outermost;0.11;0.02;0.01;0.02;0.03;0.044819802045822;8;
150;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:380-383;Innermost;0.08;0.01;0;0.01;0.02;0.041502196341753;8;
101;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:115-144;Single;0.08;0.01;0;0.01;0.02;0.036254860460758;8;
129;lu-mz.A.x;copy_y_face_._omp_fn.1;31;exch_qbc.f90:226-228;Innermost;0.07;0.01;0.01;0.01;0.01;0.018807776272297;7;
131;lu-mz.A.x;copy_x_face_._omp_fn.0;32;exch_qbc.f90:253-255;Innermost;0.07;0.01;0;0.01;0.02;0.037310838699341;8;
193;lu-mz.A.x;sync_right;47;syncs.f90:113-115;Single;0.06;0.01;0.01;0.01;0.02;0.029026342555881;5;
127;lu-mz.A.x;copy_y_face_._omp_fn.0;30;exch_qbc.f90:216-218;Innermost;0.05;0.01;0;0.01;0.01;0.018645076081157;7;
183;lu-mz.A.x;blts;42;blts.f90:57-227;Outermost;0.05;0.01;0;0.01;0.02;0.045675586909056;5;
169;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:63-74;InBetween;0.04;0.01;0;0.01;0.01;0.028525179252028;6;
168;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:60-74;Outermost;0.03;0.01;0;0.01;0.01;0.031306535005569;5;
134;lu-mz.A.x;copy_x_face_._omp_fn.1;33;exch_qbc.f90:263-265;Outermost;0.03;0.01;0;0.01;0.01;0.013118292205036;7;
103;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:71-100;Single;0.03;0.01;0;0.01;0.02;0.031371761113405;5;
181;lu-mz.A.x;blts;42;blts.f90:40-48;Outermost;0.02;0;0;0;0.01;9.9001692433376e-05;5;
190;lu-mz.A.x;buts;44;buts.f90:55-227;Outermost;0.02;0;0;0.01;0.01;0.020105818286538;3;
92;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:71-86;Innermost;0.02;0;0;0;0.01;8.1643411249388e-05;4;
87;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:156-180;Innermost;0.01;0;0;0;0;8.828107820591e-05;3;
161;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:87-202;Outermost;0.01;0;0;0.01;0.01;0.024775866419077;2;
140;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:209-475;Outermost;0.01;0;0;0.01;0.01;0.024551052600145;2;
81;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:251-254;Innermost;0.01;0;0;0;0.01;5.4872965847608e-05;3;
58;lu-mz.A.x;setiv_._omp_fn.0;22;setiv.f90:40-60;Innermost;0.01;0;0.01;0.01;0.01;0.024957483634353;2;
61;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:464-471;Innermost;0.01;0;0;0;0;8.6646017734893e-05;2;
66;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:396-419;Innermost;0.01;0;0;0;0.01;7.7450102253351e-05;2;
62;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:422-446;Innermost;0.01;0;0;0;0;7.763976464048e-05;2;
132;lu-mz.A.x;copy_x_face_._omp_fn.0;32;exch_qbc.f90:253-255;Outermost;0.01;0;0;0;0.01;0.00011258477024967;2;
89;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:123-126;Innermost;0.01;0;0;0;0.01;1.7137961549452e-05;2;
153;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:220-342;Outermost;0.01;0;0.01;0.01;0.01;0;1;
16;lu-mz.A.x;lu_mz;9;lu.f90:242-248;Innermost;0.01;0;0.01;0.01;0.01;0;1;
82;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:259-282;Innermost;0;0;0;0;0;0;1;
78;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:285-309;Innermost;0;0;0;0;0;0;1;
205;lu-mz.A.x;pintgr_._omp_fn.2;50;pintgr.f90:199-199;Innermost;0;0;0;0;0;0;1;
65;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:374-385;Innermost;0;0;0;0;0;0;1;
204;lu-mz.A.x;pintgr_._omp_fn.2;50;pintgr.f90:196-215;Outermost;0;0;0;0;0;0;1;
90;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:109-120;Innermost;0;0;0.01;0.01;0.01;0;1;
88;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:129-153;Innermost;0;0;0.01;0.01;0.01;0;1;
85;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:109-221;InBetween;0;0;0.01;0.01;0.01;0;1;
76;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:331-338;Innermost;0;0;0.01;0.01;0.01;0;1;
71;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:391-391;Innermost;0;0;0.01;0.01;0.01;0;1;
64;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:366-371;Innermost;0;0;0.01;0.01;0.01;0;1;
138;lu-mz.A.x;exch_qbc;36;exch_qbc.f90:23-49;Single;0;0;0.01;0.01;0.01;0;1;
97;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:39-163;Outermost;0;0;0.01;0.01;0.01;0;1;
