block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3330;lu-mz.A.x;blts.f90:57-227;19.63;2.79;2.69;2.77;2.88;0.51098698377609;8;
3367;lu-mz.A.x;buts.f90:55-227;16.76;2.38;2.22;2.37;2.48;0.6245179772377;8;
3344;lu-mz.A.x;jacu.f90:44-349;11.68;1.66;1.53;1.65;1.84;0.65574657917023;8;
3314;lu-mz.A.x;jacld.f90:40-350;10.33;1.47;1.38;1.46;1.53;0.43659007549286;8;
3365;lu-mz.A.x;buts.f90:67-67;3.91;0.56;0.49;0.55;0.64;0.38480293750763;8;
3326;lu-mz.A.x;blts.f90:40-48;2.52;0.36;0.31;0.36;0.43;0.29918253421783;8;
3348;lu-mz.A.x;jacu.f90:39-349;2.26;0.32;0.29;0.32;0.35;0.18105457723141;8;
3382;lu-mz.A.x;syncs.f90:75-77;2.01;0.29;0.38;0.57;0.67;0.91092330217361;4;
3360;lu-mz.A.x;buts.f90:40-47;1.94;0.28;0.23;0.27;0.36;0.32905080914497;8;
3066;lu-mz.A.x;rhs.f90:68-74;1.64;0.23;0.17;0.23;0.27;0.27285158634186;8;
3112;lu-mz.A.x;rhs.f90:136-160;1.12;0.16;0.1;0.16;0.2;0.24418616294861;8;
3366;lu-mz.A.x;buts.f90:67-67;1.09;0.15;0.12;0.15;0.18;0.12526951730251;8;
3228;lu-mz.A.x;rhs.f90:413-437;1.02;0.15;0.11;0.14;0.16;0.11725988984108;8;
3145;lu-mz.A.x;rhs.f90:221-227;0.98;0.14;0.1;0.14;0.19;0.23805591464043;8;
3168;lu-mz.A.x;rhs.f90:274-303;0.98;0.14;0.08;0.14;0.2;0.22857120633125;8;
3152;lu-mz.A.x;rhs.f90:242-245;0.91;0.13;0.09;0.13;0.15;0.15389427542686;8;
3117;lu-mz.A.x;rhs.f90:180-187;0.9;0.13;0.1;0.13;0.14;0.10272228717804;8;
3100;lu-mz.A.x;rhs.f90:103-106;0.83;0.12;0.07;0.12;0.15;0.2147901058197;8;
3173;lu-mz.A.x;rhs.f90:322-329;0.83;0.12;0.07;0.12;0.19;0.22519165277481;8;
3233;lu-mz.A.x;rhs.f90:455-462;0.79;0.11;0.09;0.11;0.14;0.11574563384056;8;
3195;lu-mz.A.x;rhs.f90:359-365;0.76;0.11;0.08;0.11;0.14;0.1420414596796;8;
3220;lu-mz.A.x;rhs.f90:388-410;0.75;0.11;0.07;0.11;0.14;0.18763613700867;8;
3050;lu-mz.A.x;rhs.f90:65-65;0.71;0.1;0.05;0.1;0.14;0.19322231411934;8;
3108;lu-mz.A.x;rhs.f90:110-133;0.66;0.09;0.06;0.09;0.12;0.11370430886745;8;
3158;lu-mz.A.x;rhs.f90:250-271;0.65;0.09;0.07;0.09;0.13;0.12036271393299;8;
3149;lu-mz.A.x;rhs.f90:230-239;0.64;0.09;0.05;0.09;0.12;0.16160401701927;8;
3226;lu-mz.A.x;rhs.f90:447-455;0.62;0.09;0.06;0.09;0.12;0.14363235235214;8;
2234;lu-mz.A.x;ssor.f90:46-48;0.61;0.09;0.05;0.09;0.12;0.18728229403496;8;
3096;lu-mz.A.x;rhs.f90:90-100;0.58;0.08;0.06;0.08;0.1;0.10555845499039;8;
3231;lu-mz.A.x;rhs.f90:358-475;0.52;0.07;0.05;0.07;0.1;0.13094185292721;8;
3199;lu-mz.A.x;rhs.f90:368-377;0.5;0.07;0.05;0.07;0.1;0.097262732684612;8;
3368;lu-mz.A.x;buts.f90:67-67;0.43;0.06;0.04;0.06;0.09;0.10836005210876;8;
3364;lu-mz.A.x;buts.f90:67-67;0.39;0.06;0.04;0.06;0.07;0.075225003063679;8;
2389;lu-mz.A.x;ssor.f90:163-163;0.36;0.05;0.03;0.05;0.07;0.09411209076643;8;
2390;lu-mz.A.x;ssor.f90:163-163;0.34;0.05;0.02;0.05;0.07;0.12561137974262;8;
3166;lu-mz.A.x;rhs.f90:314-322;0.24;0.03;0.02;0.03;0.05;0.069294095039368;8;
3343;lu-mz.A.x;jacu.f90:293-293;0.23;0.03;0.01;0.03;0.05;0.086855158209801;8;
