function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
44;lu-mz.A.x;buts;buts.f90:4-235;24.03;1.78;1.63;1.76;1.85;0.70248609781265;16;"100,0,0,0,0,0,0,0,0,0";
42;lu-mz.A.x;blts;blts.f90:4-236;21.22;1.57;1.46;1.55;1.67;0.70169520378113;16;"99.979894928874,0,0.02010507112567,0,0,0,0,0,0,0";
37;lu-mz.A.x;rhs_._omp_fn.0;rhs.f90:58-475;17.57;1.3;1.22;1.29;1.39;0.50345182418823;16;"100,0,0,0,0,0,0,0,0,0";
43;lu-mz.A.x;jacu;jacu.f90:5-356;14.04;1.04;0.96;1.03;1.12;0.6411634683609;16;"100,0,0,0,0,0,0,0,0,0";
41;lu-mz.A.x;jacld;jacld.f90:5-357;10.49;0.78;0.68;0.77;0.83;0.54904812574387;16;"99.959322113872,0,0.040677886127907,0,0,0,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;4.72;0.35;0.28;0.35;0.46;0.6486713886261;16;"0,0,100,0,0,0,0,0,0,0";
46;lu-mz.A.x;sync_left;syncs.f90:73-88;2.43;0.18;0;0.32;0.46;1.7969127893448;9;"100,0,0,0,0,0,0,0,0,0";
26;lu-mz.A.x;ssor_._omp_fn.0;ssor.f90:39-170;1.76;0.13;0.1;0.13;0.17;0.27260047197342;16;"100,0,0,0,0,0,0,0,0,0";
542;libmpich.so.12.1.8;mpirinitf_;;1.51;0.11;0.14;0.22;0.29;0.69050002098083;8;"0,100,0,0,0,0,0,0,0,0";
21;lu-mz.A.x;exact;exact.f90:4-52;0.34;0.03;0;0.02;0.05;0.19437426328659;16;"98.749485565093,0,1.2505144349072,0,0,0,0,0,0,0";
24;lu-mz.A.x;erhs_._omp_fn.0;erhs.f90:53-484;0.23;0.02;0;0.02;0.03;0.10928804427385;16;"100,0,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.16;0.01;0;0.02;0.03;0.15187779068947;8;"0,7.8941814899244,0,0,92.105818510076,0,0,0,0,0";
33;lu-mz.A.x;copy_x_face_._omp_fn.1;exch_qbc.f90:263-265;0.14;0.01;0;0.01;0.02;0.067050576210022;15;"100,0,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.11;0.01;0;0.02;0.02;0.098370686173439;8;"0,0,0,0,0,0,0,0,0,100";
58;lu-mz.A.x;exchange_1;exchange_1.f90:5-147;0.09;0.01;0;0.01;0.02;0.067610092461109;11;"100,0,0,0,0,0,0,0,0,0";
32;lu-mz.A.x;copy_x_face_._omp_fn.0;exch_qbc.f90:253-255;0.09;0.01;0;0.01;0.02;0.06525132060051;13;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;0.08;0.01;0;0.01;0.02;0.10108375549316;7;"0,100,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.07;0.01;0;0.01;0.01;0.054375633597374;9;"0,5.8831394175395,35.288870682522,0,58.827989899939,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;0.07;0.01;0;0.02;0.02;0.10018537938595;5;"0,100,0,0,0,0,0,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.06;0;0;0.01;0.01;0.033684175461531;11;"0,0,100,0,0,0,0,0,0,0";
31;lu-mz.A.x;copy_y_face_._omp_fn.1;exch_qbc.f90:226-228;0.06;0;0;0.01;0.01;0.043691068887711;11;"100,0,0,0,0,0,0,0,0,0";
47;lu-mz.A.x;sync_right;syncs.f90:111-125;0.06;0;0;0.01;0.03;0.18027187883854;5;"100,0,0,0,0,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.05;0;0;0.01;0.02;0.074041001498699;5;"0,36.363640460505,0,0,0,0,0,0,63.636359539495,0";
210;libgomp.so.1.0.0;omp_get_thread_num;;0.04;0;0;0.01;0.01;0.023224277421832;9;"0,0,100,0,0,0,0,0,0,0";
22;lu-mz.A.x;setiv_._omp_fn.0;setiv.f90:34-60;0.04;0;0;0.01;0.01;0.030900925397873;8;"100,0,0,0,0,0,0,0,0,0";
111;libgomp.so.1.0.0;GOMP_barrier;;0.04;0;0;0.01;0.01;0.038745861500502;6;"0,0,100,0,0,0,0,0,0,0";
518;libc-2.31.so;_IO_default_xsputn;;0.04;0;0;0.01;0.01;0.056569911539555;6;"0,0,0,0,0,0,100,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.04;0;0;0.01;0.01;0.05629200860858;5;"0,0,0,0,0,100,0,0,0,0";
30;lu-mz.A.x;copy_y_face_._omp_fn.0;exch_qbc.f90:216-218;0.03;0;0;0.01;0.01;0.027274066582322;6;"100,0,0,0,0,0,0,0,0,0";
209;libgomp.so.1.0.0;omp_get_num_threads;;0.03;0;0;0.01;0.01;0.026982782408595;6;"0,0,100,0,0,0,0,0,0,0";
36;lu-mz.A.x;exch_qbc;exch_qbc.f90:1-201;0.03;0;0;0.01;0.01;0.067476809024811;4;"100,0,0,0,0,0,0,0,0,0";
1016;libc-2.31.so;openat;;0.02;0;0;0;0.01;9.1084912128281e-05;5;"0,0,0,0,0,0,100,0,0,0";
0;lu-mz.A.x;Unknown function;;0.02;0;0;0;0;0.00085180345922709;4;"74.998766393125,0,25.001233606875,0,0,0,0,0,0,0";
266;libc-2.31.so;__strtol_l;;0.02;0;0;0.01;0.01;0.039010178297758;3;"0,0,0,0,0,0,0,100,0,0";
522;libc-2.31.so;_IO_enable_locks;;0.01;0;0;0;0.01;0.00011480373359518;3;"0,0,0,0,0,0,100,0,0,0";
546;libc-2.31.so;_IO_str_pbackfail;;0.01;0;0;0;0;0.00012057368439855;3;"0,0,0,0,0,0,100,0,0,0";
290;libgomp.so.1.0.0;omp_get_num_threads_;;0.01;0;0;0.01;0.01;0.049882896244526;2;"0,0,100,0,0,0,0,0,0,0";
59;lu-mz.A.x;exchange_3;exchange_3.f90:5-171;0.01;0;0;0;0.01;5.1771847211057e-05;3;"100,0,0,0,0,0,0,0,0,0";
589;libc-2.31.so;__libc_free;;0.01;0;0;0;0;0.00010488578118384;3;"0,0,0,0,0,0,0,0,100,0";
525;libc-2.31.so;_IO_sputbackc;;0.01;0;0;0;0;0.00010487072722754;3;"0,0,0,0,0,0,100,0,0,0";
195;libpthread-2.31.so;__pthread_cond_broadcast;;0.01;0;0;0.01;0.01;0.047520603984594;2;"0,0,0,0,0,100,0,0,0,0";
1455;libc-2.31.so;__snprintf_chk;;0.01;0;0;0;0.01;6.5043124777731e-05;2;"0,0,0,0,0,0,0,100,0,0";
153;libpthread-2.31.so;__GI___pthread_mutex_lock;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,100,0,0,0,0";
1028;libc-2.31.so;__close;;0.01;0;0;0;0.01;9.7454052593093e-05;2;"0,0,0,0,0,100,0,0,0,0";
205;libgomp.so.1.0.0;GOMP_parallel;;0.01;0;0;0;0.01;9.7454052593093e-05;2;"0,0,100,0,0,0,0,0,0,0";
49;libc-2.31.so;.plt.sec@start;;0.01;0;0;0;0.01;7.586432957396e-07;2;"0,0,0,0,100,0,0,0,0,0";
202;libgomp.so.1.0.0;GOMP_doacross_ull_wait;;0.01;0;0;0;0.01;6.3731305999681e-05;2;"0,0,100,0,0,0,0,0,0,0";
419;libmpich.so.12.1.8;MPI_Wait;;0.01;0;0;0;0;0.00012877442350145;2;"0,100,0,0,0,0,0,0,0,0";
1453;libc-2.31.so;__sprintf_chk;;0.01;0;0;0;0.01;6.3420469814446e-05;2;"0,0,0,0,0,0,0,100,0,0";
306;libc-2.31.so;cuserid;;0.01;0;0;0;0;0.00012876388791483;2;"0,0,0,0,100,0,0,0,0,0";
7;lu-mz.A.x;init_workarray_._omp_fn.0;lu.f90:436-456;0.01;0;0;0;0;0.00012876388791483;2;"100,0,0,0,0,0,0,0,0,0";
568;libc-2.31.so;pthread_mutex_lock;;0.01;0;0;0;0;6.4152773120441e-05;2;"0,0,0,0,0,100,0,0,0,0";
987;libc-2.31.so;__sched_cpualloc;;0;0;0.01;0.01;0.01;0;1;"0,0,0,0,100,0,0,0,0,0";
268;libpthread-2.31.so;__pthread_cleanup_pop_restore;;0;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,100,0,0,0,0";
19;ld-2.31.so;_dl_find_dso_for_object;;0;0;0.01;0.01;0.01;0;1;"0,0,0,0,100,0,0,0,0,0";
1477;libgfortran.so.5.0.0;_gfortran_st_set_nml_var_dim;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
539;libmpich.so.12.1.8;MPII_Grequest_set_lang_f77;;0;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
386;libmpich.so.12.1.8;MPI_Irecv;;0;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
226;libgomp.so.1.0.0;GOMP_single_copy_end;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
34;lu-mz.A.x;copy_y_face;exch_qbc.f90:204-238;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
12;libmpich.so.12.1.8;close@plt;;0;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
988;libc-2.31.so;__sched_cpufree;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
45;lu-mz.A.x;sync_init;syncs.f90:27-50;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
