function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
256;libgomp.so.1.0.0;omp_get_num_procs;;35.26;0.75;0.45;0.67;0.93;5.7164993286133;256;"0,0,100,0,0,0,0,0,0,0";
37;lu-mz.A.x;rhs_._omp_fn.0;rhs.f90:58-475;14.76;0.31;0.1;0.28;0.4;3.2085273265839;256;"100,0,0,0,0,0,0,0,0,0";
46;lu-mz.A.x;sync_left;syncs.f90:73-88;14.28;0.3;0;0.28;0.76;10.339967727661;243;"100,0,0,0,0,0,0,0,0,0";
43;lu-mz.A.x;jacu;jacu.f90:5-356;8.34;0.18;0.04;0.16;0.24;1.8224583864212;256;"99.938153208552,0,0.061846791448397,0,0,0,0,0,0,0";
41;lu-mz.A.x;jacld;jacld.f90:5-357;7.81;0.17;0.04;0.15;0.23;1.8386610746384;256;"99.867884591901,0,0.13211540809892,0,0,0,0,0,0,0";
44;lu-mz.A.x;buts;buts.f90:4-235;7.7;0.16;0.05;0.15;0.23;1.7990366220474;256;"99.986615350715,0,0.013384649284676,0,0,0,0,0,0,0";
42;lu-mz.A.x;blts;blts.f90:4-236;6.65;0.14;0.02;0.13;0.19;1.7719572782516;256;"99.937973811787,0,0.062026188213223,0,0,0,0,0,0,0";
26;lu-mz.A.x;ssor_._omp_fn.0;ssor.f90:39-170;1.97;0.04;0;0.04;0.08;0.69333302974701;256;"100,0,0,0,0,0,0,0,0,0";
542;libmpich.so.12.1.8;mpirinitf_;;1.24;0.03;0.3;0.37;0.44;1.5419185161591;16;"0,100,0,0,0,0,0,0,0,0";
47;lu-mz.A.x;sync_right;syncs.f90:111-125;0.27;0.01;0;0.01;0.02;0.24088573455811;150;"100,0,0,0,0,0,0,0,0,0";
58;lu-mz.A.x;exchange_1;exchange_1.f90:5-147;0.17;0;0;0.01;0.02;0.14721262454987;126;"87.879595131235,0,12.120404868765,0,0,0,0,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.16;0;0;0.01;0.03;0.316480666399;90;"0,0,100,0,0,0,0,0,0,0";
32;lu-mz.A.x;copy_x_face_._omp_fn.0;exch_qbc.f90:253-255;0.13;0;0;0.01;0.02;0.17173860967159;92;"100,0,0,0,0,0,0,0,0,0";
209;libgomp.so.1.0.0;omp_get_num_threads;;0.13;0;0;0.01;0.03;0.16518695652485;97;"0,0,100,0,0,0,0,0,0,0";
33;lu-mz.A.x;copy_x_face_._omp_fn.1;exch_qbc.f90:263-265;0.12;0;0;0.01;0.02;0.10327168554068;100;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;0.1;0;0.01;0.03;0.07;0.77963012456894;16;"0,100,0,0,0,0,0,0,0,0";
210;libgomp.so.1.0.0;omp_get_thread_num;;0.1;0;0;0.01;0.01;0.14407561719418;74;"0,0,100,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.08;0;0.01;0.02;0.04;0.36966553330421;16;"0,2.5001765458419,0,0,97.499823454158,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.08;0;0;0.01;0.01;0.095458373427391;65;"0,2.6666722616631,19.999661535725,0,76.000282002674,1.333384199938,0,0,0,0";
21;lu-mz.A.x;exact;exact.f90:4-52;0.08;0;0;0.01;0.01;0.082934215664864;67;"91.891920952697,0,8.1080790473033,0,0,0,0,0,0,0";
30;lu-mz.A.x;copy_y_face_._omp_fn.0;exch_qbc.f90:216-218;0.07;0;0;0.01;0.01;0.12771260738373;60;"100,0,0,0,0,0,0,0,0,0";
111;libgomp.so.1.0.0;GOMP_barrier;;0.07;0;0;0.01;0.01;0.09304091334343;58;"0,0,100,0,0,0,0,0,0,0";
24;lu-mz.A.x;erhs_._omp_fn.0;erhs.f90:53-484;0.05;0;0;0;0.01;0.007067596539855;52;"100,0,0,0,0,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;0.05;0;0.01;0.02;0.03;0.35841819643974;15;"0,100,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.04;0;0;0.01;0.03;0.39152133464813;16;"0,2.3815899860457,0,0,0,0,0,0,0,97.618410013954";
31;lu-mz.A.x;copy_y_face_._omp_fn.1;exch_qbc.f90:226-228;0.04;0;0;0.01;0.01;0.078718699514866;34;"100,0,0,0,0,0,0,0,0,0";
0;lu-mz.A.x;Unknown function;;0.03;0;0;0.01;0.01;0.081855550408363;30;"75.755262111859,0,24.244737888141,0,0,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.02;0;0;0.01;0.02;0.14661295711994;15;"0,9.9976914498881,0,0,0,0,0,0,90.002308550112,0";
