run_index;run_name;nb_processes;nb_threads;time;ideal_speedup;speedup;efficiency;
0;run_0;1;1;106.73188781738;1;1;1;
1;R2x4;2;8;16.983480453491;8;6.2844531843555;0.78555664804444;
2;R3x4;3;12;21.992853164673;12;4.8530259815869;0.40441883179891;
3;R4x2;4;8;15.113545417786;8;7.0620019900678;0.88275024875848;
4;R4x4;4;16;9.0803241729736;16;11.754193549065;0.73463709681654;
5;R6x2;6;12;13.899013519287;12;7.6790980647134;0.63992483872612;
6;R8x2;8;16;8.807825088501;16;12.117848248;0.75736551550001;
7;R16x16;16;256;4.3875060081482;256;24.32632288575;0.095024698772463;
8;R10x8;10;80;20.562810897827;80;5.1905300470696;0.06488162558837;
9;R16x1;16;16;9.7528829574585;16;10.943624391161;0.68397652444757;
