Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0235;1.192;1.1956;1.1158;
2;1.0354;1.4653;1.4711;1.1787;
3;1.0425;1.6142;1.7383;1.2015;
4;1.0463;1.6517;2.0402;1.2181;
5;1.049;1.6817;2.1313;1.2346;
6;1.0515;1.7024;2.2246;1.2513;
7;1.0534;1.7231;2.3055;1.2649;
8;1.0551;1.7384;2.3828;1.277;
9;1.0569;1.7539;2.4538;1.2875;
10;1.0586;1.7688;2.5282;1.298;
11;1.0599;1.778;2.6;1.308;
12;1.0611;1.7871;2.6705;1.3172;
13;1.0622;1.7961;2.7403;1.3262;
14;1.0633;1.805;2.8097;1.3349;
15;1.0641;1.8135;2.8776;1.3426;
16;1.0646;1.8202;2.9444;1.3502;
17;1.065;1.826;3.0111;1.3573;
18;1.0655;1.8307;3.0809;1.3643;
19;1.0659;1.8344;3.1488;1.3704;
20;1.0663;1.8368;3.2179;1.3765;
21;1.0667;1.8391;3.2902;1.3826;
22;1.0671;1.8411;3.3648;1.3881;
23;1.0674;1.8428;3.4405;1.3935;
24;1.0678;1.8446;3.5189;1.3989;
25;1.068;1.8462;3.5998;1.4034;
26;1.0683;1.8478;3.6738;1.4074;
27;1.0685;1.8493;3.7486;1.4113;
28;1.0687;1.8505;3.7966;1.415;
29;1.0688;1.8516;3.8436;1.4187;
30;1.069;1.8521;3.8801;1.4221;
31;1.0691;1.8526;3.9053;1.4253;
32;1.0692;1.853;3.9305;1.4282;
33;1.0693;1.853;3.954;1.4305;
34;1.0694;1.853;3.9751;1.4326;
35;1.0695;1.853;3.991;1.4341;
36;1.0695;1.853;4.005;1.4356;
37;1.0695;1.853;4.0191;1.4367;
38;1.0695;1.853;4.0304;1.4378;
39;1.0695;1.853;4.0418;1.4386;
40;1.0695;1.853;4.0504;1.4393;
